analysis_scope,repeat,domain,model,n_predictions,rmse,mae,r2
repeat,16,Executive function,mean_baseline,81,11.5622046675962,9.308591820987655,-0.02736678359209166
repeat,16,Executive function,ridge,81,11.860712068742375,9.591454392532675,-0.08109968511962129
repeat,17,Executive function,mean_baseline,81,11.577746134995628,9.408825083095914,-0.030130533032994622
repeat,17,Executive function,ridge,81,11.913304886693657,9.763492663152851,-0.09070857516929909
repeat,18,Executive function,mean_baseline,81,11.459297129721653,9.254765254036085,-0.009160342785059727
repeat,18,Executive function,ridge,81,11.547250240354243,9.54084973592623,-0.024710932627741267
repeat,19,Executive function,mean_baseline,81,11.519603066826148,9.280345738366574,-0.019809948377806252
repeat,19,Executive function,ridge,81,11.67659733012467,9.574729413999043,-0.04779620743953439
repeat,20,Executive function,mean_baseline,81,11.448302165273278,9.258088793922129,-0.007224733833741004
repeat,20,Executive function,ridge,81,11.520067103116235,9.484373272928323,-0.019892110645667316
pooled,pooled,Executive function,mean_baseline,1620,11.419716072905375,9.230320438627729,-0.0022009894083481196
pooled,pooled,Executive function,ridge,1620,11.584949081484806,9.36989110729566,-0.03141269678766756
repeat,1,Processing speed,mean_baseline,71,13.6611284752683,11.165302340357934,-0.019149528691427387
repeat,1,Processing speed,ridge,71,13.75516204113521,11.190328092175823,-0.033228027729715004
repeat,2,Processing speed,mean_baseline,71,13.74369052296874,11.275589501923823,-0.0315053651242172
repeat,2,Processing speed,ridge,71,14.61592583289333,11.860065952959257,-0.16658776633538652
repeat,3,Processing speed,mean_baseline,71,13.567254416710327,11.144680804122984,-0.005191239227434696
repeat,3,Processing speed,ridge,71,13.52995601522636,11.238333225373056,0.0003280043392897003
repeat,4,Processing speed,mean_baseline,71,13.762466520248385,11.287688852412725,-0.034325680587404594
repeat,4,Processing speed,ridge,71,13.798763085135864,11.216483434567207,-0.03978865128518372
repeat,5,Processing speed,mean_baseline,71,13.56063062333353,11.110344082036079,-0.004209971604214102
