k,mean_silhouette,sd_silhouette,mean_pairwise_ari,min_pairwise_ari
2,0.4466491344932709,1.1102230246251565e-16,1.0,1.0
3,0.32236910596957735,0.02334170268241304,0.8678781471151796,0.5686149723664378
4,0.30479633694580516,0.04240316277720654,0.8054793851587597,0.42860758212279193
