feature_name,cluster_0_mean_z,cluster_1_mean_z,cluster_difference_z,absolute_difference_z,cohort_missing_percent,feature_family,rank
touch_click_event_count,-0.2981430107471821,2.7205549730680367,3.018697983815219,3.018697983815219,19.753086419753085,touch_action_profile,1
touch_distinct_event_count,-0.28730576354515214,2.6216650923495135,2.9089708558946654,2.9089708558946654,19.753086419753085,touch_interaction_volume,2
touch_active_hour_count,-0.2850280276743518,2.6008807525284605,2.8859087802028123,2.8859087802028123,19.753086419753085,touch_temporal_spread,3
touch_scroll_direction_change_count,-0.2717609304381063,2.47981849024772,2.751579420685826,2.751579420685826,22.22222222222222,touch_interaction_variability,4
touch_scroll_event_count,-0.26431460199885126,2.411870743239518,2.6761853452383693,2.6761853452383693,19.753086419753085,touch_action_profile,5
screen_active_hour_count,-0.24712623905858494,2.2550269314095885,2.5021531704681736,2.5021531704681736,11.11111111111111,screen_temporal_spread,6
unique_gsm_cell_count,-0.24237453717527838,2.211667651724415,2.4540421888996935,2.4540421888996935,12.345679012345679,gsm_cell_context,7
unique_gsm_lac_count,-0.23570199621282673,2.1507807154420435,2.38648271165487,2.38648271165487,12.345679012345679,gsm_cell_context,8
touch_unique_app_count,-0.23279314966593861,2.1242374907016894,2.357030640367628,2.357030640367628,19.753086419753085,touch_app_context,9
unique_foreground_apps,-0.2316370689313952,2.113688253998982,2.3453253229303774,2.3453253229303774,17.28395061728395,app_use_breadth,10
gsm_cell_transition_count,-0.23079696968541724,2.1060223483794314,2.3368193180648484,2.3368193180648484,12.345679012345679,gsm_cell_context,11
keyboard_typing_burst_count,-0.23063462466067222,2.104540950028634,2.3351755746893064,2.3351755746893064,29.629629629629626,keyboard_typing_burst,12
message_distinct_event_count,-0.229581704159662,2.094933050456916,2.3245147546165783,2.3245147546165783,28.39506172839506,message_communication_context,13
screen_transition_count,-0.20215435065364384,1.8446584497144998,2.0468128003681434,2.0468128003681434,11.11111111111111,screen_interaction_variability,14
keyboard_deletion_event_count,-0.19667471389774813,1.7946567643169518,1.9913314782146998,1.9913314782146998,29.629629629629626,keyboard_correction_behavior,15
keyboard_long_pause_count_2s,-0.1826169527732292,1.6663796940557165,1.8489966468289456,1.8489966468289456,29.629629629629626,keyboard_typing_pause,16
app_use_diversity,-0.11281843232344206,1.029468194951407,1.142286627274849,1.142286627274849,17.28395061728395,app_use_breadth,17
touch_app_diversity,-0.11067491408931951,1.00990859106504,1.1205835051543596,1.1205835051543596,19.753086419753085,touch_app_context,18
activity_state_diversity,0.10277558323520812,-0.937827197021287,-1.0406027802564952,1.0406027802564952,12.345679012345679,activity_context_breadth,19
telephony_event_count,-0.10192074752169157,0.9300268211354359,1.0319475686571276,1.0319475686571276,12.345679012345679,telephony_connectivity_context,20
activity_still_fraction,-0.07571869426876654,0.6909330852024924,0.766651779471259,0.766651779471259,12.345679012345679,activity_context_state,21
screen_off_event_count,-0.0715516601197463,0.6529088985926847,0.7244605587124311,0.7244605587124311,11.11111111111111,screen_interaction_context,22
screen_event_count,-0.05606386255515755,0.5115827458158122,0.5676466083709697,0.5676466083709697,11.11111111111111,screen_interaction_context,23
night_screen_event_count,-0.04805774197848359,0.43852689555366275,0.4865846375321463,0.4865846375321463,11.11111111111111,screen_nighttime_context,24
median_unlocked_session_duration_seconds,-0.04802394375564352,0.4382184867702478,0.4862424305258913,0.4862424305258913,13.580246913580247,screen_session_duration,25
screen_on_event_count,-0.046550583244532415,0.42477407210635776,0.4713246553508902,0.4713246553508902,11.11111111111111,screen_interaction_context,26
screen_unlock_event_count,-0.046037660936436804,0.42009365604498544,0.46613131698142224,0.46613131698142224,11.11111111111111,screen_interaction_context,27
activity_active_hour_count,0.03941083236583773,-0.35962384533826874,-0.3990346777041065,0.3990346777041065,12.345679012345679,activity_context_temporal_spread,28
outgoing_message_count,-0.03307620600164962,0.3018203797650531,0.3348965857667027,0.3348965857667027,28.39506172839506,message_communication_context,29
telephony_network_type_diversity,-0.02991871815457597,0.2730083031605066,0.3029270213150826,0.3029270213150826,12.345679012345679,telephony_network_context,30
activity_transition_count,-0.027499693964144357,0.25093470742281726,0.2784344013869616,0.2784344013869616,12.345679012345679,activity_context_variability,31
touch_scroll_index_change_median,0.0242781555139711,-0.22153816906498433,-0.24581632457895544,0.24581632457895544,22.22222222222222,touch_scroll_intensity,32
telephony_mobile_data_enabled_fraction,0.02393619876101292,-0.21841781369424185,-0.24235401245525476,0.24235401245525476,12.345679012345679,telephony_connectivity_context,33
app_foreground_event_count,-0.00601571977648778,0.054893442960451164,0.06090916273693894,0.06090916273693894,17.28395061728395,app_use_intensity,34
keyboard_median_inter_event_interval_ms,-0.0035448509122009927,0.032346764573834084,0.035891615486035075,0.035891615486035075,29.629629629629626,keyboard_typing_dynamics,35
keyboard_inter_event_interval_iqr_ms,-0.00033965881113059526,0.0030993866515666435,0.003439045462697239,0.003439045462697239,29.629629629629626,keyboard_typing_dynamics,36
activity_unknown_fraction,-3.915463692265708e-05,0.0003572860619146523,0.0003964406988373094,0.0003964406988373094,12.345679012345679,activity_context_quality,37
