feature_name,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
app_foreground_event_count,0.04055833953824419,0.1966493323281847,-0.173698458218072,-0.10783773122864038,0.0830724165169462,0.22076331176054276,-0.11021946674530993,-0.11646881696327081,0.3627684867429829,-0.3207437743812875
app_use_diversity,0.10442553319286502,0.05327796183865119,0.12097151748249271,0.1905632712942576,-0.2247618641883909,0.43196119443045866,-0.06951629199236072,-0.14250235122174287,-0.2658070269013126,-0.10881549409539076
unique_foreground_apps,0.2256293785437743,0.05940239383753579,0.15744463381472884,0.15233969762983657,-0.10431446808649875,0.1719440220719312,-0.14524355455886184,-0.12876916107072156,-0.09818748508948298,-0.13130493345942396
gsm_cell_transition_count,0.20643499114430036,0.039530125454464354,0.09858118634112502,0.1472324318538274,-0.06988391701263322,-0.3028010238021738,-0.01849216503311063,0.21303230427272143,0.1614155832775294,-0.12033782383335873
unique_gsm_cell_count,0.20181522654469855,0.07693191208766331,0.25238410163256875,0.09234672645733497,-0.08003051422839638,-0.17346264460114957,-0.10695466830494767,0.13308603862049112,0.20242764828474266,-0.01958153957054824
unique_gsm_lac_count,0.20494955230659806,0.08728454657083258,0.22793512811563305,0.13693559778984105,-0.07548042907887914,-0.19450350244315956,-0.05753620231104056,0.07512527610426856,0.17862557995311978,0.03390003119263765
keyboard_deletion_event_count,0.19690805293212807,-0.17104309314974894,-0.07098691994792639,-0.21257764276469646,-0.03548217260504084,0.18023988669885938,0.23532266986062336,0.14311729850063543,0.01783841885918528,0.11555217802044244
keyboard_inter_event_interval_iqr_ms,0.009626483267215012,-0.053503177515170836,-0.003135834249076777,0.3105150599113936,0.47009265423879454,0.009820638770236464,0.17958401068923455,0.07125687439349385,0.01655606802873111,0.24042923391376086
keyboard_long_pause_count_2s,0.1929883026987427,-0.17973052218000074,-0.10203942879319683,-0.2047461264263714,-0.008511292490527955,0.18363328040218432,0.23650417034349872,0.12221190572763381,0.005411823620509584,0.1621620898558977
keyboard_median_inter_event_interval_ms,0.020995913390215025,-0.07792268851439141,-0.06452724710253387,0.38495443421754905,0.44685914367660795,0.0498397852351966,0.09952554431534417,0.06913010096046512,0.01530939360281378,0.03968625803053043
keyboard_typing_burst_count,0.22998173744459582,-0.1341281076032589,-0.014897496006888722,-0.20227614561249466,-0.005225964519070404,0.09877302924767502,0.1794174015614995,0.13859317979098693,-0.028980258873962828,0.08685131932022955
message_distinct_event_count,0.2435082890972639,-0.02375307358485336,0.038181903124503945,-0.04394421070159055,0.08059408770543092,-0.12453002792614207,-0.08947284826768465,0.010897894888140167,-0.11846231324686105,-0.07135109631994434
outgoing_message_count,0.08564358855393955,0.005722727430657826,0.007405825972021926,-0.12061565510206584,0.13933295534318899,-0.2964068239007096,-0.21622721447824836,-0.29233852299395596,-0.3197849951019679,0.006555453831104982
activity_active_hour_count,-0.046920308717383535,0.22099426055257734,0.07232616037027463,0.09589605748119977,-0.3470252652737877,-0.029370506033275092,0.1702892913941904,-0.13542547544226669,0.12262211957762463,0.33589535879561677
activity_state_diversity,-0.06447510307415447,0.26706983702113807,0.28911453017240873,-0.17064596363368692,0.08481272241841593,-0.004370440600755511,0.18417379482404722,-0.00997438758953229,-0.26858851823575225,-0.1389072239062932
activity_still_fraction,0.040546928040635255,-0.23582262825675457,-0.31707538445358074,0.18562796771711443,-0.17448490894691546,-0.002213246582930501,-0.1857204595220951,-0.050014656132604696,0.31471531646934564,0.11841115904120028
activity_transition_count,0.012957908243667937,0.2480338478670153,0.2742364652220143,-0.024499760969699302,-0.12017703008810617,0.08177947921984396,0.22761968485885684,0.03292674954732695,0.33674213970658917,0.15421239533986428
activity_unknown_fraction,-0.00903152016515649,0.13333901662658362,0.3421138528441689,-0.1446520239484253,0.28272903857853693,0.06591055285781308,0.2151130658821001,0.16802781842577533,-0.04324304012299984,-0.037110965150654006
median_unlocked_session_duration_seconds,0.06343158451530206,0.04986236198578549,-0.10102395797919733,0.35026521416688433,-0.10316401100221488,0.2249301162825802,0.14888116031754228,0.24293107214440637,-0.14995226293777658,-0.38995790341767933
night_screen_event_count,0.07669857043029965,0.22143786867129622,-0.00940006125765959,-0.04373787597353765,0.15701822018305783,0.14800188092331515,0.16792758475717895,-0.3343228660902564,0.3533745007710305,-0.12989683253446221
screen_active_hour_count,0.24102188971546262,-0.04342086307449877,0.01133025282873779,0.0005905872724767114,0.08950898874329125,-0.18080478772533876,-0.03865962625295914,-0.034854558154968455,0.11336864739448774,-0.19379435622808658
screen_event_count,0.12403671669032178,0.3368656952062656,-0.24291494299651045,-0.1100047804068468,0.08524061199131258,0.02377059026413511,-0.04033276887298148,0.004135712593874644,-0.011276164742970218,0.07848442857702462
screen_off_event_count,0.1399697747181291,0.32058947230956036,-0.21612767706297795,-0.11788089159272455,0.11404554694257657,-0.006176011594555275,-0.06480060653634007,-0.009439973050927052,0.0030875470434006264,0.1004674700512781
screen_on_event_count,0.11797967485629891,0.3363166076516661,-0.27258086766472195,-0.06606898581822206,0.046942047756045546,-0.010891625722985243,-0.04028977187633192,0.06655765390384431,-0.07066909782381003,0.07335087969958319
screen_transition_count,0.23452546982215275,0.002912265419417602,0.015506792569445215,-0.11683503236494236,0.15073835082388398,-0.20529073917374777,-0.09192357809142143,-0.16314509110829203,0.0072670565893530464,-0.01897141872465115
screen_unlock_event_count,0.09778705438831181,0.3050512847088126,-0.30085357019512804,0.014777376881331752,-0.032652913584651555,-0.004761620652339066,0.016880693135761016,0.14247607386429434,-0.1722909669851825,0.09014853859653464
telephony_event_count,0.10546168261752042,0.2281656558239064,-0.0955961444465141,0.18122126504747996,-0.14047190762254746,-0.06536911832196166,-0.10166453766320208,0.4226385983217286,-0.13773887130703116,0.07030581865548775
telephony_mobile_data_enabled_fraction,-0.03060815596489584,-0.03655591534467634,0.14446704448058553,-0.2130350689633597,0.06547715621966223,0.09928517664457107,-0.3693322625148082,0.422748641104256,0.10070388502280252,0.0970208288114013
telephony_network_type_diversity,0.029646015444510815,0.016436094129173656,-0.16006890263866475,0.2177026813299649,-0.07658410496758258,-0.3459963778594287,0.45024693065092164,-0.08835156332636439,-0.038680211579046636,-0.08349150164091639
touch_active_hour_count,0.26242275598442716,-0.0902063272272649,0.030819074361241802,0.008854959874089005,0.020278559083793307,-0.05628017650518521,0.016036697205765178,-0.005709388547577856,-0.02213986052385635,-0.041052839832791004
touch_app_diversity,0.11663384684867728,0.06591581626421239,0.15528640894941767,0.18473876192431637,-0.026733143310981016,0.07900449328029895,-0.10090553708745587,-0.21791331898356253,-0.13972148261986714,0.5390440345588385
touch_click_event_count,0.2659540904624297,-0.08935799576418448,0.06371193233710057,-0.06606106653441202,-0.04015430706607115,0.020044307380756896,0.056828131805851945,0.0641146535582031,0.03923469671395176,-0.009668760103879775
