k,n_seeds,mean_silhouette,sd_silhouette,min_silhouette,max_silhouette,mean_pairwise_ari,min_pairwise_ari,max_pairwise_ari
2,20,0.5281427710912983,0.0,0.5281427710912983,0.5281427710912983,1.0,1.0,1.0
3,20,0.32746297897541976,0.008411205619423136,0.3249233985097543,0.36320852518107255,0.9781171651095768,0.8606728982985875,1.0
4,20,0.3219936291866847,0.024934611376754047,0.26861793246322907,0.3755767703182881,0.8300448679650586,0.5222019547521167,1.0
5,20,0.2839045804780017,0.06453656717958747,0.1486223822351933,0.37003425347440805,0.662180069935165,0.4102480588726999,1.0
