device_id,n_rows,Subject_ID_D
e2569598-0fd8-4d72-a20e-378428f477a0,50,044
87beff6c-301b-44de-9347-19a13b4178bc,50,022
c11000fb-a64c-4122-a73a-f929697c66cb,49,015
52edeca1-615e-4163-832e-ba395caaa2eb,42,087
9aa9b24a-4980-475a-91a1-fc141647d394,40,039
33fab45f-5d44-4384-998a-d3e77228849f,38,037
95324fb1-57d7-409e-af1c-99a29227984d,35,052
911357f0-0c89-4fe2-babb-75000476002f,35,015
dda728dc-feee-4444-8237-70f41c97d1c6,35,078
a293c071-508a-4d30-948b-a67a6336fa41,33,NOT_MAPPED
5de41172-2692-4407-b096-72f06e4c22a7,31,NOT_MAPPED
7048e34b-2368-43fe-88af-23eaf8c551e9,31,NOT_MAPPED
62ff0abd-a9a5-4174-84fa-9825f83079dc,28,023
4e225d42-68d9-4721-aab4-cf8355c071c9,27,p001
4b212ab8-f9dd-4e61-be16-1787edb030d3,26,074
c02ea95d-0ca1-4e80-9d6e-d5df5de07991,24,NOT_MAPPED
8ba0268b-1951-49e3-8fea-692d77fdd7bc,21,NOT_MAPPED
3cb4ec3a-332a-441a-9617-a9d2576c6a33,19,041
26b25b93-8dcc-4a4e-8ca2-0d920e37acba,19,007
69ac287b-07c5-434c-ab0f-be657e970722,18,NOT_MAPPED
7bb3b27a-40b3-4b3d-957c-f266a3ca0906,17,p003
1f17227b-a259-4caa-bf40-4eccf742447e,17,002
8ae5390c-c8fd-41d0-b47b-bfde7eb1714f,17,010
ca067fc5-febc-4f06-a504-5688ff17b5a0,15,NOT_MAPPED
5d40da66-06f2-4646-a277-3474576e74d7,14,NOT_MAPPED
4c5e8b01-cc73-484f-9d26-43dcf4546455,13,NOT_MAPPED
22ffa8d7-3792-4769-bca3-75e6a17f7292,11,NOT_MAPPED
008a4e8e-8f46-4dbd-983a-8f4006f40f9a,11,NOT_MAPPED
49f7d20c-3314-4821-96e1-cb7b35970dc9,11,NOT_MAPPED
f62d0a34-6c00-4699-b800-c51adc63376b,11,NOT_MAPPED
4e11d6b1-417c-413e-809b-b7646557cbd0,11,046
0d83bc9c-1884-4a60-8883-2e7a6a887a9f,9,p002
2f1f5677-1e4b-4506-9167-b26ca554eebd,8,064
a19eb3b2-6e8c-455f-a551-7231f62080da,7,NOT_MAPPED
ca1d9d28-454f-4e58-aba1-61a3c93f5cb5,7,029
5278bdbc-c56d-43c8-b543-ad75bab7aca8,6,052
1d74fbf7-e9f3-4dab-aa94-844b71c8aa24,5,NOT_MAPPED
6d3de151-603c-4b7e-a6e4-96b4508fa004,5,NOT_MAPPED
204448d3-4767-44ba-b7f6-3d2c1cb48247,5,049
6e3b48ff-8b7a-440f-9159-f74012fbc77f,4,070
845baf83-8b4e-4bf9-b669-8d7ec16eec42,4,043
eb8f2229-d207-42a1-9344-c07717bf5155,4,NOT_MAPPED
ecf52bb5-691d-4366-9937-3ffa808d3f53,4,NOT_MAPPED
8332ea74-6721-4ab6-8e90-5e9f4ce00eed,3,NOT_MAPPED
cd8ad3cb-e604-4db0-bd6c-f89d97aa30de,3,NOT_MAPPED
3b301a33-0640-4ca1-b5da-f92ce279a860,3,012
27109bfb-8879-4068-ab2a-83839ecad0fc,2,NOT_MAPPED
937ee40a-d71b-4dc0-a9f9-1b8aff7e0e64,2,018
49732e52-032c-4306-95cc-dd57970293ab,1,NOT_MAPPED
1bf1f866-1d5a-4f9c-a6ef-ecfdd07ad2e1,1,NOT_MAPPED
68066778-1f7c-4857-b88b-104fca83d1de,1,NOT_MAPPED
cc487616-c3e7-47fb-9a4c-c5545e5d1a3d,1,NOT_MAPPED
