analysis_scope,repeat,domain,model,n_predictions,rmse,mae,r2
repeat,16,Executive function,mean_baseline,81,11.5622046675962,9.308591820987655,-0.02736678359209166
repeat,16,Executive function,ridge,81,12.141515933392132,9.785560286731181,-0.13289599878607938
repeat,17,Executive function,mean_baseline,81,11.577746134995628,9.408825083095914,-0.030130533032994622
repeat,17,Executive function,ridge,81,11.562977746112551,9.45259562956138,-0.02750417291600371
repeat,18,Executive function,mean_baseline,81,11.459297129721653,9.254765254036085,-0.009160342785059727
repeat,18,Executive function,ridge,81,11.478244527773994,9.302183597410052,-0.012500298158241607
repeat,19,Executive function,mean_baseline,81,11.519603066826148,9.280345738366574,-0.019809948377806252
repeat,19,Executive function,ridge,81,11.61658755140403,9.345260261441087,-0.037053960939546826
repeat,20,Executive function,mean_baseline,81,11.448302165273278,9.258088793922129,-0.007224733833741004
repeat,20,Executive function,ridge,81,11.357066441672568,9.176724606830176,0.008765183987820113
pooled,pooled,Executive function,mean_baseline,1620,11.419716072905375,9.230320438627729,-0.0022009894083481196
pooled,pooled,Executive function,ridge,1620,11.597771623099955,9.351133948155384,-0.03369715245775673
repeat,1,Processing speed,mean_baseline,71,13.6611284752683,11.165302340357934,-0.019149528691427387
repeat,1,Processing speed,ridge,71,12.846159179193513,10.509899032165633,0.09882039397670439
repeat,2,Processing speed,mean_baseline,71,13.74369052296874,11.275589501923823,-0.0315053651242172
repeat,2,Processing speed,ridge,71,13.230221614037575,10.548551847167666,0.0441296410963925
repeat,3,Processing speed,mean_baseline,71,13.567254416710327,11.144680804122984,-0.005191239227434696
repeat,3,Processing speed,ridge,71,11.743073465956002,9.353626642179144,0.2469421978617684
repeat,4,Processing speed,mean_baseline,71,13.762466520248385,11.287688852412725,-0.034325680587404594
repeat,4,Processing speed,ridge,71,12.177002608356943,9.598168738462295,0.19026007184874116
repeat,5,Processing speed,mean_baseline,71,13.56063062333353,11.110344082036079,-0.004209971604214102
repeat,5,Processing speed,ridge,71,12.185464547745056,9.95482620707477,0.1891342856156074
repeat,6,Processing speed,mean_baseline,71,13.981191668149156,11.505297133679269,-0.06746374980209668
repeat,6,Processing speed,ridge,71,12.324831753263133,9.960636949843417,0.17048020238914097
