local_hour,valid_chunks,valid_minutes,mean_dynamic_magnitude,median_dynamic_magnitude,very_low_lt_0_3hz_candidate_minutes,very_low_lt_0_3hz_mean_power_ratio,handling_0_3_1hz_candidate_minutes,handling_0_3_1hz_mean_power_ratio,walking_like_1_3hz_candidate_minutes,walking_like_1_3hz_mean_power_ratio,vigorous_2_5_4hz_candidate_minutes,vigorous_2_5_4hz_mean_power_ratio,shaking_like_3_8hz_candidate_minutes,shaking_like_3_8hz_mean_power_ratio,high_freq_8_12hz_candidate_minutes,high_freq_8_12hz_mean_power_ratio
0,12,60.0,0.010070836402652427,0.006364101083521589,0.0,0.48265322277441863,0.0,0.2682034271384724,0.0,0.28462716127935334,0.0,0.0447737819083184,0.0,0.016866563216106755,0.0,
1,12,60.0,0.008583333742790984,0.006106591907257375,0.0,0.4714298977777913,0.0,0.26343996334837927,0.0,0.28878346517344594,0.0,0.04302148898538496,0.0,0.016800589848257285,0.0,
2,12,60.0,0.00975131017752373,0.006442463334808135,0.0,0.4408127275209229,0.0,0.28468945976420834,0.0,0.315167294193298,0.0,0.04891593953434902,0.0,0.018559636101046714,0.0,
3,12,60.0,0.00881218738776829,0.006211619922863676,0.0,0.39081729519801045,0.0,0.3073425299330279,0.0,0.3205959425948926,0.0,0.049514966730981075,0.0,0.019615321812409835,0.0,
4,12,60.0,0.008156917534954804,0.005774740356423003,0.0,0.3435532172492802,0.0,0.31234055208977507,0.0,0.33978205074460516,0.0,0.05387099918404233,0.0,0.020373919285245526,0.0,
5,12,60.0,0.011907655475061571,0.006060617512733124,0.0,0.4088418550413482,0.0,0.27668175550477986,0.0,0.33329464029878336,0.0,0.052057662932260884,0.0,0.019511238361695063,0.0,
6,12,60.0,0.16197942775535137,0.010711547068980032,5.0,0.48745643359238766,0.0,0.2606451050820454,0.0,0.29519848212403604,0.0,0.04987600782571949,0.0,0.020462350136963094,0.0,
7,12,60.0,0.30072967771183995,0.02505662501581396,5.0,0.27866288331283445,5.0,0.29967533644662264,20.0,0.3962995517423395,0.0,0.06593708181329704,0.0,0.035221311526521214,0.0,
8,11,55.0,0.14551133813278638,0.020596949360999872,5.0,0.46658169088903034,0.0,0.2766405419907023,5.0,0.3334692137566004,0.0,0.05508438659337187,0.0,0.021895081521364074,0.0,
9,12,60.0,0.048951561398244296,0.012218892082262567,5.0,0.3051417298641312,0.0,0.33667763940754086,0.0,0.3385040603670366,0.0,0.05055403734579364,0.0,0.021960140138900408,0.0,
10,12,60.0,0.4502194793475726,0.19116548773644793,45.0,0.4685038841490017,0.0,0.2522989628115346,5.0,0.2809534447384707,0.0,0.05663197592483885,0.0,0.04202125197083195,0.0,
11,12,60.0,0.14530653926758572,0.06574586868948407,10.0,0.4065541366925037,0.0,0.2894255801115816,0.0,0.28410172940046485,0.0,0.05590000936957771,0.0,0.03414269540447074,0.0,
12,12,60.0,0.38446764363277675,0.18494484476104134,40.0,0.4300037366180846,0.0,0.26651283442004997,10.0,0.3243163314990269,0.0,0.05971520912408954,0.0,0.037072590262110634,0.0,
13,12,60.0,0.1760096805865192,0.007492792319231167,10.0,0.3377112849310226,0.0,0.3055435340250452,10.0,0.3605169485173081,0.0,0.06114120952024058,0.0,0.02622772722784887,0.0,
14,12,60.0,0.10020038781024061,0.022501981528021187,5.0,0.3615176710820183,0.0,0.32138840511456773,0.0,0.3033153752941597,0.0,0.04945219848147389,0.0,0.02287513569109828,0.0,
15,12,60.0,0.008541218554067054,0.00594725914836447,0.0,0.4778869574779929,0.0,0.27605904368307077,0.0,0.2866517095675554,0.0,0.04395008662647959,0.0,0.01747312339184826,0.0,
16,12,60.0,0.12745864606633353,0.008437273271622914,15.0,0.3611563956512583,0.0,0.3010973443188251,0.0,0.3345882433708358,0.0,0.05233829029471528,0.0,0.022760067414007074,0.0,
17,12,60.0,0.050715735171123044,0.007211252605060281,5.0,0.42323538023131824,0.0,0.27065615285071515,0.0,0.30930890358035074,0.0,0.05579387144073506,0.0,0.023568112853901826,0.0,
18,12,60.0,0.186605715576145,0.0784790592579836,10.0,0.3925864950400457,0.0,0.2924174698886544,0.0,0.30024520203809746,0.0,0.06245074903495531,0.0,0.039354031949802616,0.0,
19,12,60.0,0.06669024045953124,0.021917897236247263,0.0,0.37293303200202055,0.0,0.26064427342617363,0.0,0.293200068486961,0.0,0.08038536409597252,0.0,0.07801186980270101,0.0,
20,12,60.0,0.010636675025419798,0.00662849813033084,0.0,0.4340055810067212,0.0,0.2745270984454861,0.0,0.3027419156359131,0.0,0.05458121927564049,0.0,0.023853986202864236,0.0,
21,12,60.0,0.009866411977842602,0.006814635762729004,0.0,0.40993607207334865,0.0,0.2886589898680494,0.0,0.3175399401037331,0.0,0.05269451555593082,0.0,0.023142474884439056,0.0,
22,12,60.0,0.06555970993434852,0.03388449174419028,0.0,0.36571504510980574,0.0,0.2873382227438183,0.0,0.3032387357103094,0.0,0.07049157909209668,0.0,0.051412324374840855,0.0,
23,12,60.0,0.017171229665173492,0.006512500983478553,0.0,0.49470930729844426,0.0,0.26832757002397717,0.0,0.2616228053353745,0.0,0.03919922721836861,0.0,0.01566724124434639,0.0,
