local_hour,valid_chunks,valid_minutes,median_dynamic_magnitude,mean_dynamic_magnitude,high_motion_fraction,walking_like_minutes,shaking_like_minutes
0,12,60,0.006364101083521589,0.010070836402652428,0.0,0.0,0.0
1,12,60,0.006106591907257375,0.008583333742790982,0.0,0.0,0.0
2,12,60,0.006442463334808135,0.00975131017752373,0.0,0.0,0.0
3,12,60,0.006211619922863676,0.00881218738776829,0.0,0.0,0.0
4,12,60,0.005774740356423003,0.008156917534954802,0.0,0.0,0.0
5,12,60,0.006060617512733124,0.011907655475061571,0.001888888888888889,0.0,0.0
6,12,60,0.010711547068980032,0.16197942775535137,0.04551077383197299,0.0,0.0
7,12,60,0.02505662501581396,0.30072967771184,0.11036570668944601,0.0,0.0
8,11,55,0.020596949360999872,0.14551133813278636,0.04747047076320227,0.0,0.0
9,12,60,0.012218892082262567,0.048951561398244296,0.008791723895943397,0.0,0.0
10,12,60,0.19116548773644793,0.4502194793475725,0.15855181445235558,0.0,0.0
11,12,60,0.06574586868948407,0.14530653926758572,0.03258236663119935,0.0,0.0
12,12,60,0.18494484476104134,0.38446764363277675,0.13315041696779034,0.0,0.0
13,12,60,0.007492792319231167,0.17600968058651914,0.06390951754350453,0.0,0.0
14,12,60,0.022501981528021187,0.1002003878102406,0.021640898454753615,0.0,0.0
15,12,60,0.00594725914836447,0.008541218554067054,0.0,0.0,0.0
16,12,60,0.008437273271622914,0.12745864606633353,0.04278204806558767,0.0,0.0
17,12,60,0.007211252605060281,0.050715735171123044,0.01530191326626409,0.0,0.0
18,12,60,0.0784790592579836,0.18660571557614494,0.06393359726033533,0.0,0.0
19,12,60,0.021917897236247263,0.06669024045953124,0.00788247433358084,0.0,0.0
20,12,60,0.00662849813033084,0.010636675025419798,0.0002222222222222222,0.0,0.0
21,12,60,0.006814635762729004,0.009866411977842602,5.555555555555555e-05,0.0,0.0
22,12,60,0.03388449174419028,0.06555970993434851,0.00626503248295367,0.0,0.0
23,12,60,0.006512500983478553,0.017171229665173492,0.0031255279608041896,0.0,0.0
