band_name,clinical_candidate_label,frequency_low_hz,frequency_high_hz,chunks_with_sampling_feasible,minutes_with_sampling_feasible,mean_power_ratio_all_valid_chunks,median_power_ratio_all_valid_chunks,mean_power_all_valid_chunks,candidate_chunks_after_dynamic_and_frequency_gates,candidate_minutes_after_dynamic_and_frequency_gates,day_candidate_minutes,night_candidate_minutes,interpretation_caution
very_low_lt_0_3hz,slow orientation/drift,0.0,0.3,287,1435.0,0.4086490923348985,0.3720895243891306,0.037819803356643575,32,160.0,160.0,0.0,phone-state candidate only; sampling feasibility and phone placement limit clinical interpretation
handling_0_3_1hz,irregular phone handling,0.3,1.0,287,1435.0,0.2850806305479252,0.29683843599861914,0.02778467099268611,1,5.0,5.0,0.0,phone-state candidate only; sampling feasibility and phone placement limit clinical interpretation
walking_like_1_3hz,walking-like rhythmic phone motion,1.0,3.0,74,370.0,0.3127640744699611,0.31828829034946554,0.035781469151418985,10,50.0,50.0,0.0,phone-state candidate only; sampling feasibility and phone placement limit clinical interpretation
vigorous_2_5_4hz,vigorous rhythmic phone motion,2.5,4.0,74,370.0,0.054511839401777805,0.05298082616632412,0.006504089383332296,0,0.0,0.0,0.0,phone-state candidate only; sampling feasibility and phone placement limit clinical interpretation
shaking_like_3_8hz,shaking/tremor-like phone motion,3.0,8.0,74,370.0,0.02788951335875295,0.021871762478437144,0.003456322997746752,0,0.0,0.0,0.0,phone-state candidate only; sampling feasibility and phone placement limit clinical interpretation
high_freq_8_12hz,high-frequency vibration check,8.0,12.0,69,345.0,,,,0,0.0,0.0,0.0,phone-state candidate only; sampling feasibility and phone placement limit clinical interpretation
