chunk_index,chunk_start_ms,chunk_end_ms,chunk_start_local,chunk_end_local,local_hour,is_night_22_06,valid_sample_count,status,observed_span_seconds,median_interval_ms,p95_interval_ms,max_gap_seconds,gap_count_gt_1s,gap_burden_fraction,gravity_baseline_median,magnitude_mean,magnitude_sd,dynamic_magnitude_mean,dynamic_magnitude_median,dynamic_magnitude_sd,high_motion_fraction,dominant_frequency_hz,total_power,very_low_lt_0_3hz_power,very_low_lt_0_3hz_power_ratio,handling_0_3_1hz_power,handling_0_3_1hz_power_ratio,walking_like_1_3hz_power,walking_like_1_3hz_power_ratio,vigorous_2_5_4hz_power,vigorous_2_5_4hz_power_ratio,shaking_like_3_8hz_power,shaking_like_3_8hz_power_ratio,high_freq_8_12hz_power,high_freq_8_12hz_power_ratio,walking_like_power_ratio,shaking_like_power_ratio,chunk_state_candidate
0,1736320047852,1736320347852,2025-01-08 09:07:27+0200,2025-01-08 09:12:27+0200,9,False,3202,ok,299.832,20.0,200.0,0.209,0,0.0,9.907420720405325,9.9060672635281,0.3137177547143306,0.08283954971715134,0.022263913501425314,0.302585972033039,0.01967520299812617,0.08333333333333333,0.017051413532813108,0.005773128729440293,0.3385718561297395,0.005332367111371819,0.3127228778488311,0.005312778285905874,0.31157406837164325,0.0008815789701734954,0.05170122514928264,0.0005872485981645069,0.034439877786931125,,,0.31157406837164325,0.034439877786931125,still_phone_candidate
1,1736320347852,1736320647852,2025-01-08 09:12:27+0200,2025-01-08 09:17:27+0200,9,False,2739,ok,299.8,44.0,201.0,0.203,0,0.0,9.902983541911828,9.904135909531135,0.06439887267363237,0.028496379837182565,0.0151013870203478,0.057762436660339686,0.0018254837531945967,0.21666666666666667,0.0037020464494476467,0.001430342717419177,0.3863654162504058,0.0010236114343816461,0.27649880906663693,0.0012003379605667757,0.32423633170401434,0.00020334788515519284,0.05492850722754513,8.09942743586288e-05,0.021878243686195054,,,0.32423633170401434,0.021878243686195054,still_phone_candidate
2,1736320647852,1736320947852,2025-01-08 09:17:27+0200,2025-01-08 09:22:27+0200,9,False,1500,ok,299.8,200.0,201.0,0.204,0,0.0,9.903485204505651,9.904109942417696,0.060125757795363576,0.019152937505698717,0.01041075374598499,0.0569970352985861,0.0013333333333333333,0.03333333333333333,0.001494663570274994,0.0003770846964623743,0.25228734008215425,0.000533117904802577,0.3566808714716262,0.0005332065591264121,0.3567401853704849,6.335330938759526e-05,0.042386334053715696,3.6628287394023234e-05,0.024506041441342028,,,0.3567401853704849,0.024506041441342028,still_phone_candidate
3,1736320947852,1736321247852,2025-01-08 09:22:27+0200,2025-01-08 09:27:27+0200,9,False,1500,ok,299.799,200.0,201.0,0.213,0,0.0,9.90485889813279,9.905221917477302,0.03333979762591471,0.016016320514128844,0.009661676559397314,0.029242971223357825,0.0,0.16666666666666666,0.0007278398567405338,0.00019460863123265892,0.26737836548848765,0.00027468539109119945,0.37739811656003,0.0002380020857113432,0.3269978739240549,2.913003708070887e-05,0.040022591248521554,1.3102637470699716e-05,0.01800208843931262,,,0.3269978739240549,0.01800208843931262,still_phone_candidate
4,1736321247852,1736321547852,2025-01-08 09:27:27+0200,2025-01-08 09:32:27+0200,9,False,1500,ok,299.8,200.0,201.0,0.211,0,0.0,9.902461790531744,9.89826432264311,0.08050055181277661,0.02513593946372047,0.013039926490118425,0.07659074438934396,0.0006666666666666666,0.06666666666666667,0.005921039300610583,0.0013106283334460985,0.22135106134339377,0.0022397635091252212,0.37827202209150257,0.0022113059210904728,0.3734658408469677,0.0003264091734262489,0.055127006738933365,0.00013659814340085367,0.023069960604174263,,,0.3734658408469677,0.023069960604174263,still_phone_candidate
5,1736321547852,1736321847852,2025-01-08 09:32:27+0200,2025-01-08 09:37:27+0200,9,False,1500,ok,299.801,200.0,201.0,0.211,0,0.0,9.905368825393843,9.906860632058994,0.03659858783791753,0.017596622996417784,0.00950369316615074,0.03212539459645424,0.0,0.08333333333333333,0.0008869564123081261,0.0002287167671743381,0.25786697519796786,0.00029228708769811116,0.32953940423914707,0.00033806714666795605,0.38115418297524245,5.14545064341402e-05,0.05801244088223025,1.8827010435701255e-05,0.021226533992474036,,,0.38115418297524245,0.021226533992474036,still_phone_candidate
6,1736321847852,1736322147852,2025-01-08 09:37:27+0200,2025-01-08 09:42:27+0200,9,False,1500,ok,299.8,200.0,201.0,0.229,0,0.0,9.904476749003901,9.90630658561245,0.14785507609628074,0.04875700497678376,0.012657146202436742,0.1395966557448452,0.007333333333333333,0.03333333333333333,0.015579383526475732,0.005773425467055627,0.37058112455118786,0.00567988383828726,0.3645769313422973,0.004163896482064486,0.26726965640125144,0.0008253620743928958,0.052977839141726546,0.00026450117229490333,0.016977640472449238,,,0.26726965640125144,0.016977640472449238,still_phone_candidate
7,1736322147852,1736322447852,2025-01-08 09:42:27+0200,2025-01-08 09:47:27+0200,9,False,1500,ok,299.8,200.0,201.0,0.203,0,0.0,9.905709949965548,9.908919054923002,0.14407664728385064,0.03697696176996338,0.011426983864513574,0.1392877702651806,0.006666666666666667,0.2,0.02200663955911071,0.006135414993494885,0.27879835887777943,0.007859961981956463,0.35716320798749357,0.007218740058355707,0.3280255506055744,0.0010888470353062679,0.049478114656332756,0.00041335429397266056,0.018783162820583055,,,0.3280255506055744,0.018783162820583055,still_phone_candidate
8,1736322447852,1736322747852,2025-01-08 09:47:27+0200,2025-01-08 09:52:27+0200,9,False,1500,ok,299.8,200.0,201.0,0.203,0,0.0,9.905768287810098,9.904375227256836,0.03393486176315566,0.016978097144264622,0.01023314941511888,0.029415296666011222,0.0,0.06666666666666667,0.0005059367384799804,0.000126249291644712,0.24953572658908146,0.0001707903162598022,0.3375724735327958,0.00019848705587908704,0.39231595727840396,2.9207567668350095e-05,0.057729683272458816,1.1690954505900207e-05,0.023107542142569295,,,0.39231595727840396,0.023107542142569295,still_phone_candidate
9,1736322747852,1736323047852,2025-01-08 09:52:27+0200,2025-01-08 09:57:27+0200,9,False,1500,ok,299.801,200.0,201.0,0.211,0,0.0,9.902477002202145,9.899481013345673,0.039949573555704526,0.022749232798640502,0.013993859493658611,0.03297600314750122,0.0,0.16666666666666666,0.0009368679131785832,0.00023869693288608923,0.25478184227298806,0.00028571241880296543,0.30496552906119617,0.00038686593502352233,0.41293540912397436,5.939168264902149e-05,0.06339386995069433,2.516524049675686e-05,0.026861033602246908,,,0.41293540912397436,0.026861033602246908,still_phone_candidate
10,1736323047852,1736323347852,2025-01-08 09:57:27+0200,2025-01-08 10:02:27+0200,9,False,1500,ok,299.8,200.0,201.0,0.212,0,0.0,9.904762667057412,9.903169206682351,0.06733193620757809,0.02460364226205141,0.011780637962088392,0.06269600893892094,0.0026666666666666666,0.016666666666666666,0.0026848042106443685,0.0007633285479065908,0.2843144184891559,0.0008934699788801931,0.33278775984404285,0.0009913566113581298,0.3692472648201779,0.00014846208361757798,0.05529717326461814,6.102992147987045e-05,0.022731609715861894,,,0.3692472648201779,0.022731609715861894,still_phone_candidate
