patient_id,candidate_device_day_count,completed_patient_day_count,completed_device_day_count,total_valid_signal_minutes,median_daily_coverage_fraction,mean_daily_coverage_fraction,aggregation_rule,acc_median_accelerometer_raw_row_count,acc_mean_accelerometer_raw_row_count,acc_median_accelerometer_valid_numeric_row_count,acc_mean_accelerometer_valid_numeric_row_count,acc_median_accelerometer_exact_duplicate_rows_removed,acc_mean_accelerometer_exact_duplicate_rows_removed,acc_median_accelerometer_valid_signal_minutes,acc_mean_accelerometer_valid_signal_minutes,acc_median_accelerometer_calendar_coverage_fraction,acc_mean_accelerometer_calendar_coverage_fraction,acc_median_accelerometer_observed_span_hours,acc_mean_accelerometer_observed_span_hours,acc_median_accelerometer_median_sampling_interval_ms,acc_mean_accelerometer_median_sampling_interval_ms,acc_median_accelerometer_p95_sampling_interval_ms,acc_mean_accelerometer_p95_sampling_interval_ms,acc_median_accelerometer_gap_burden_fraction,acc_mean_accelerometer_gap_burden_fraction,acc_median_accelerometer_magnitude_median,acc_mean_accelerometer_magnitude_median,acc_median_accelerometer_magnitude_sd,acc_mean_accelerometer_magnitude_sd,acc_median_accelerometer_magnitude_p95,acc_mean_accelerometer_magnitude_p95,acc_median_accelerometer_dynamic_magnitude_rms,acc_mean_accelerometer_dynamic_magnitude_rms,acc_median_accelerometer_dynamic_magnitude_p95,acc_mean_accelerometer_dynamic_magnitude_p95,acc_median_accelerometer_low_motion_fraction,acc_mean_accelerometer_low_motion_fraction,acc_median_accelerometer_high_motion_fraction,acc_mean_accelerometer_high_motion_fraction,acc_median_accelerometer_motion_bout_count,acc_mean_accelerometer_motion_bout_count,acc_median_accelerometer_longest_observed_quiet_interval_minutes,acc_mean_accelerometer_longest_observed_quiet_interval_minutes,acc_median_accelerometer_daytime_motion_minutes,acc_mean_accelerometer_daytime_motion_minutes,acc_median_accelerometer_nighttime_motion_minutes,acc_mean_accelerometer_nighttime_motion_minutes,acc_median_accelerometer_day_night_motion_ratio,acc_mean_accelerometer_day_night_motion_ratio,acc_median_accelerometer_hourly_motion_entropy,acc_mean_accelerometer_hourly_motion_entropy,acc_median_accelerometer_magnitude_jerk_median,acc_mean_accelerometer_magnitude_jerk_median,acc_median_accelerometer_magnitude_jerk_p95,acc_mean_accelerometer_magnitude_jerk_p95,acc_median_accelerometer_motion_bout_count_per_observed_hour,acc_mean_accelerometer_motion_bout_count_per_observed_hour,acc_median_accelerometer_longest_observed_quiet_interval_minutes_per_observed_hour,acc_mean_accelerometer_longest_observed_quiet_interval_minutes_per_observed_hour,acc_median_accelerometer_daytime_motion_minutes_per_observed_hour,acc_mean_accelerometer_daytime_motion_minutes_per_observed_hour,acc_median_accelerometer_nighttime_motion_minutes_per_observed_hour,acc_mean_accelerometer_nighttime_motion_minutes_per_observed_hour
020,237,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
021,20,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022,187,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023,173,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
024,129,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
029,127,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
030,115,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
031,61,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032,65,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
034,133,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
035,190,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
036,174,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
038,128,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
039,68,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
040,117,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041,110,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
044,121,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
045,110,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
046,50,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
048,1,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
053,117,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
057,231,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060,192,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062,147,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
067,83,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
068,169,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
070,178,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071,26,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072,148,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
073,24,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074,135,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
075,87,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
076,59,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
077,188,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
078,124,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
080,247,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082,37,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
083,177,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
085,141,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
087,158,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
089,193,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090,100,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
091,171,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
093,90,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
095,151,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
096,94,0,0,0,,,median across completed patient-local days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
