k,mean_silhouette,sd_silhouette,mean_pairwise_ari,min_pairwise_ari
2,0.37688123152905195,0.0,1.0,1.0
3,0.4043759897736095,5.551115123125783e-17,1.0,1.0
4,0.38390128361928866,0.007912142589361392,0.9720777806751886,0.8518601468766868
