feature_name,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
app_foreground_event_count,0.029347881607855987,0.22587540472781137,0.11122836152022204,-0.04914788082263409,0.19431330234973018,-0.31376167593227133,0.01342261932689542,-0.1580212677368215,0.20763758322790546,0.07741891439780536
app_use_diversity,0.13489380520230906,0.05294137434220625,-0.05368476523456586,-0.06507609330615391,-0.2220279726375156,0.05154636912567698,-0.2951447321392797,-0.3236094234079832,-0.12527175787027608,0.5508083474811373
unique_foreground_apps,0.25188828625480897,0.0613842987259286,-0.003021516709571348,-0.06634322231074954,-0.046867775308973875,-0.028306912659112837,-0.3245283546751622,-0.1425199407424831,-0.011848154303367081,0.15451006542102325
gsm_cell_transition_count,0.19973483312753865,-0.018715766069927302,-0.09343659600916124,0.38444669947603616,-0.11407551428835122,-0.08728226882116252,0.027620237042028394,0.05649189775664169,-0.017761031211263628,-0.004738589133630171
unique_gsm_cell_count,0.18042589580881618,-0.009948597939996896,-0.15602060711366456,0.3960899179493954,-0.08129476982657374,-0.09154480688155109,0.07185865928296542,-0.06914796526720746,-0.09986685763263628,0.005980101401502541
unique_gsm_lac_count,0.1924693732739369,-0.009318563662855259,-0.0772287209960483,0.4077054016834055,-0.10776233344685465,-0.05900319938503423,0.059861781441400135,-0.012122206873715291,-0.04787733031810522,-0.06846930101803692
keyboard_deletion_event_count,0.2256269744424736,-0.0749049424222542,-0.034292909957086094,-0.27970952566221535,0.005566812314695177,0.07966497820515843,0.3092584376066432,-0.050617854824035594,0.018988861750178686,0.023647840689872808
keyboard_inter_event_interval_iqr_ms,0.05210146130120998,-0.03529936424263083,0.14503074039940902,0.05741177441285182,0.4465891855787337,0.13999807883736715,-0.02246060681856426,0.20872468085543824,-0.3107413281699234,0.17936590612997336
keyboard_long_pause_count_2s,0.20685233950170276,-0.07734384825046525,-0.03255600379990916,-0.2665379840283574,0.04215556948096381,0.08155043273331197,0.3646542481785492,-0.018786333951588394,-0.04073741791990929,-0.01703025280964062
keyboard_median_inter_event_interval_ms,0.06360883899119954,-0.03743353095117567,0.22175063834607045,0.0867488319652732,0.45082377827853704,0.030325532016046812,-0.13637884958260246,0.1517740929776719,-0.24392435485973982,0.11599844211723462
keyboard_typing_burst_count,0.2372453740558393,-0.05864539435473058,-0.05744883617435666,-0.22288616560875915,-0.00016788063826627536,0.07578907650392822,0.31448341578814476,-0.06261248396847793,-0.025693239824738964,-0.01663448611005036
message_distinct_event_count,0.2186641398631925,0.002960428565856682,-0.1503646779751325,0.13382562216129756,-0.06255060176142177,-0.035401516196996614,0.31925922443624094,-0.13814368278411449,-0.04275559989555067,0.11671492239151614
outgoing_message_count,0.0027811014432257575,-0.047595683625700075,0.27008506572145585,0.1591942761724,0.23019526123642772,0.34047749318725656,0.05298152295751561,-0.1274521129685935,0.03789589196112605,0.12007488329742853
activity_active_hour_count,0.04629236239636905,0.09910264423445748,-0.08776539195486655,-0.14760072160708004,-0.19965238746882555,0.4866082536523769,-0.06071948553551057,0.12954957047191754,-0.18808932257977706,0.03790780307765891
activity_state_diversity,-0.008812777186899663,0.12046364982004155,-0.4303008399764208,-0.017657523443069163,0.10637250369443467,-0.039159685146390615,-0.03718486433074058,0.2675475128289343,-0.06234047614454821,0.18383684840020223
activity_still_fraction,0.009048297876733613,-0.12863033173725383,0.43757141223886686,-0.04109431179347485,-0.1508759332087238,0.05421198506823556,0.05664251521030017,-0.20616819280650323,0.06831705622690168,-0.1353809962023425
activity_transition_count,0.045395847937343796,0.10775661967165967,-0.3290427591867471,-0.03360325337550474,0.07537782894774087,0.3234917181710689,-0.08312859483019297,0.11757422446925417,0.1671029150209156,0.043671129697022845
activity_unknown_fraction,-0.0168657302880683,0.13160226334556085,-0.32911888164043157,-0.05894312526692523,0.2339068992233494,-0.055175477861391854,-0.027582641065543107,0.08493161082545597,0.09800907051390458,-0.22380622449501408
median_unlocked_session_duration_seconds,0.12165800526880774,0.049832408725330374,0.12551030224856383,-0.11119331664345798,-0.18290238350400304,-0.2470242374549538,-0.15131931493912326,0.12804943453035766,0.1415908534618011,0.26907296215834875
night_screen_event_count,0.014389815231944974,0.037183604637585806,-0.09429021625649739,0.010627949177979122,0.08103144453331915,0.28012856587955554,-0.04208603511570404,-0.1016467701676571,0.6139411886249448,0.1083442036971707
screen_active_hour_count,0.25282214120926627,0.027300438746650876,0.08716982298268937,0.1793651378255481,0.12733729722224418,0.08423379806467933,0.04190806330606312,-0.03339169783791836,0.12625366714845973,0.01105085737107507
screen_event_count,0.03763407792540038,0.42199453132156806,0.09116323131915588,-0.012929915034236975,-0.006088991633224173,0.019162217742569224,0.09335273046568673,-0.044833507414181656,-0.01420178497738776,0.0020598510210363408
screen_off_event_count,0.04423442358253843,0.4168356460944565,0.0951092408320347,-0.007044957170646737,0.008004831404633875,0.021548231904845463,0.0898921333176537,-0.04812765732614768,-0.01394638394606246,-0.004960993459886237
screen_on_event_count,0.03207287847399848,0.42319964501757584,0.09568738143905597,-0.01222197474651815,-0.017866161903405283,0.017428399230949368,0.09927898433314626,-0.010394874924662734,-0.04642461479426784,-0.009532146419873239
screen_transition_count,0.21157706168672719,-0.0027813497324483266,0.019892266119415095,0.2533078396891057,0.1337184315227492,0.18133081603906043,0.12800919792804183,-0.12477056507290846,0.12879474979299313,0.1297437302942779
screen_unlock_event_count,0.02856398494637638,0.4150100314875449,0.10703738716168323,-0.01282600031561476,-0.021111011629027863,0.016416133666875915,0.09299624254488806,0.042022386213077356,-0.07943799376172332,-0.04481753699420454
telephony_event_count,0.013261066887204603,0.3493879606058221,0.061207136256050204,-0.01672349225956475,-0.03557165849259326,-0.062050559546825985,-0.01723416674345581,0.01780087899833427,-0.1287683749942995,-0.12229758775126418
telephony_mobile_data_enabled_fraction,-0.08928005474997086,-0.020982804513301444,-0.2409593548358091,-0.03816108198565188,0.10786170342510101,-0.16974494870022078,0.11421097219915763,-0.38287053343296923,-0.3012144365330335,-0.00688822008336961
telephony_network_type_diversity,0.05488413931568695,0.03675953672665099,0.16842948838274077,0.1547453625135164,-0.25204379941945493,0.03865404758430667,0.028340481027954032,0.4432606527138663,0.16958466554378918,-0.08395861029115706
touch_active_hour_count,0.2736994113497722,0.0007529147717627582,-0.0006891632683527528,0.08374364915906744,0.06282986638405855,-0.10581720377816084,-0.08701682850209042,0.08065896529088284,0.02655890246385409,-0.14379115978540616
touch_app_diversity,0.0962039786890953,0.03922222795046151,-0.05239611873232534,0.04745944844122647,-0.027268973564114264,0.27650492572774377,-0.3199897691040068,-0.3342554364355521,-0.1387682653839718,-0.5261398487558734
touch_click_event_count,0.2744675213360049,-0.06678123327048356,-0.008008645094686353,-0.11587117524375773,0.03565033735238922,-0.08134716395968358,-0.06330376915270669,0.09948846431391997,0.00739678998571279,-0.17576214886653252
touch_distinct_event_count,0.2786733203862317,-0.06560573215240822,0.03780667102861775,-0.14852732641246133,0.013056663872651454,-0.07476213977481103,-0.07117991329559749,0.11387375075937645,-0.028716601573698236,-0.06315996309809735
touch_scroll_direction_change_count,0.27786424744737115,-0.06701421385113246,0.04847645163069036,-0.13440547477359702,-0.0008110053393337521,-0.09902672483427694,-0.02517172513531177,0.041955614082583345,0.009704018490064185,-0.05341835333981943
touch_scroll_event_count,0.27000321720679055,-0.061453416476090664,0.0624142125945683,-0.16091479805646264,-0.0017924199550169717,-0.06657607250283336,-0.07166269575390888,0.11967449221345076,-0.04941473416714484,0.0017903672729560165
touch_scroll_index_change_median,-0.04776627432129166,-0.02719199770846857,0.04047962474522955,0.0574027285356369,-0.3552778593289072,0.20743715873006702,0.12142829546668234,0.1758540688857043,-0.29340803846304986,0.08835958432657579
touch_unique_app_count,0.26300910833511737,0.033999495575282174,-0.023985348411312328,-0.09790047566543242,-0.0045627177786529555,0.03265354702226111,-0.31428041274263746,0.00999198378924919,-0.03332437985589382,-0.1154334648594113
