k,n_seeds,mean_silhouette,sd_silhouette,min_silhouette,max_silhouette,mean_pairwise_ari,min_pairwise_ari,max_pairwise_ari
2,20,0.4965937954136552,1.1102230246251565e-16,0.4965937954136551,0.4965937954136551,1.0,1.0,1.0
3,20,0.4271482835465143,0.000552464635360428,0.4260433542757935,0.42742451586419455,0.982631089957784,0.948436048312171,1.0
4,20,0.4303475839301152,0.009468676099804136,0.4157141926652257,0.46911026882360274,0.9355509753199263,0.744938998834115,1.0
5,20,0.4177254019471074,0.034205685369523633,0.34762770329610637,0.47598395768572277,0.8496911393999668,0.6405692641488618,1.0
