cluster_k,cluster_label,n_patients,global_T1_mean,global_T1_median,baseline_feature_missing_fraction_mean,baseline_feature_missing_fraction_median,baseline_table_coverage_fraction_mean,baseline_table_coverage_fraction_median
2,0,72,97.57083333333334,99.35,0.5103677621283255,0.4225352112676056,0.45915032679738566,0.5294117647058824
2,1,9,100.8,101.0,0.30829420970266036,0.352112676056338,0.6405228758169934,0.6470588235294118
