feature_name,feature_family,cluster_0_mean_z,cluster_1_mean_z,cluster_mean_difference_z,absolute_difference_z,cohort_missing_percent,rank
touch_distinct_event_count,touch_interaction_volume,-0.3115636152389461,2.4925089219115684,2.8040725371505144,2.8040725371505144,24.691358024691358,1
touch_click_event_count,touch_action_profile,-0.3038699636300993,2.430959709040795,2.7348296726708945,2.7348296726708945,24.691358024691358,2
touch_scroll_event_count,touch_action_profile,-0.30227199630409374,2.41817597043275,2.7204479667368435,2.7204479667368435,24.691358024691358,3
touch_scroll_direction_change_count,touch_interaction_variability,-0.29722723657035494,2.3778178925628404,2.675045129133195,2.675045129133195,29.629629629629626,4
touch_active_hour_count,touch_temporal_spread,-0.290318800647866,2.322550405182928,2.612869205830794,2.612869205830794,24.691358024691358,5
touch_unique_app_count,touch_app_context,-0.2667549629709093,2.134039703767274,2.400794666738183,2.400794666738183,24.691358024691358,6
unique_foreground_apps,app_use_breadth,-0.25273265970064684,2.0218612776051748,2.2745939373058217,2.2745939373058217,22.22222222222222,7
screen_active_hour_count,screen_temporal_spread,-0.24061436117140678,1.924914889371254,2.1655292505426607,2.1655292505426607,16.049382716049383,8
keyboard_typing_burst_count,keyboard_typing_burst,-0.22128821255008568,1.7703057004006857,1.9915939129507714,1.9915939129507714,35.80246913580247,9
keyboard_deletion_event_count,keyboard_correction_behavior,-0.21640819525934094,1.7312655620747275,1.9476737573340683,1.9476737573340683,35.80246913580247,10
screen_transition_count,screen_interaction_variability,-0.2065640708769644,1.6525125670157153,1.8590766378926797,1.8590766378926797,16.049382716049383,11
unique_gsm_lac_count,gsm_cell_context,-0.2004014216520775,1.6032113732166204,1.803612794868698,1.803612794868698,17.28395061728395,12
message_distinct_event_count,message_communication_context,-0.19356226994195805,1.5484981595356644,1.7420604294776225,1.7420604294776225,33.33333333333333,13
gsm_cell_transition_count,gsm_cell_context,-0.19221806032256517,1.537744482580521,1.7299625429030863,1.7299625429030863,17.28395061728395,14
unique_gsm_cell_count,gsm_cell_context,-0.18431177227949191,1.4744941782359353,1.6588059505154273,1.6588059505154273,17.28395061728395,15
keyboard_long_pause_count_2s,keyboard_typing_pause,-0.18422372176280957,1.4737897741024761,1.6580134958652857,1.6580134958652857,35.80246913580247,16
app_use_diversity,app_use_breadth,-0.14219644247025767,1.1375715397620665,1.2797679822323242,1.2797679822323242,22.22222222222222,17
median_unlocked_session_duration_seconds,screen_session_duration,-0.11772355927823466,0.9417884742258776,1.0595120335041124,1.0595120335041124,25.925925925925924,18
telephony_mobile_data_enabled_fraction,telephony_connectivity_context,0.1139799556235682,-0.9118396449885431,-1.0258196006121112,1.0258196006121112,17.28395061728395,19
touch_app_diversity,touch_app_context,-0.07714271189050537,0.6171416951240447,0.6942844070145501,0.6942844070145501,24.691358024691358,20
keyboard_median_inter_event_interval_ms,keyboard_typing_dynamics,-0.04487764325065689,0.3590211460052563,0.4038987892559132,0.4038987892559132,35.80246913580247,21
activity_unknown_fraction,activity_context_quality,0.038321464642450516,-0.3065717171396061,-0.34489318178205663,0.34489318178205663,17.28395061728395,22
activity_active_hour_count,activity_context_temporal_spread,-0.03314426849925248,0.26515414799402126,0.2982984164932737,0.2982984164932737,17.28395061728395,23
activity_transition_count,activity_context_variability,-0.032257064400903944,0.25805651520723155,0.2903135796081355,0.2903135796081355,17.28395061728395,24
telephony_event_count,telephony_connectivity_context,0.029691494899833297,-0.23753195919866632,-0.2672234540984996,0.2672234540984996,17.28395061728395,25
keyboard_inter_event_interval_iqr_ms,keyboard_typing_dynamics,-0.027404734027281028,0.21923787221824761,0.24664260624552864,0.24664260624552864,35.80246913580247,26
activity_still_fraction,activity_context_state,-0.025229114416217526,0.2018329153297397,0.22706202974595724,0.22706202974595724,17.28395061728395,27
telephony_network_type_diversity,telephony_network_context,-0.02513674852293235,0.20109398818345797,0.22623073670639032,0.22623073670639032,17.28395061728395,28
screen_on_event_count,screen_interaction_context,0.0216356254756527,-0.17308500380522174,-0.19472062928087444,0.19472062928087444,16.049382716049383,29
app_foreground_event_count,app_use_intensity,0.020142112195429877,-0.1611368975634395,-0.18127900975886937,0.18127900975886937,22.22222222222222,30
screen_event_count,screen_interaction_context,0.020131320787226556,-0.16105056629781236,-0.1811818870850389,0.1811818870850389,16.049382716049383,31
activity_state_diversity,activity_context_breadth,0.01992417173968967,-0.15939337391752534,-0.179317545657215,0.179317545657215,17.28395061728395,32
screen_unlock_event_count,screen_interaction_context,0.019394726900629107,-0.1551578152050326,-0.1745525421056617,0.1745525421056617,16.049382716049383,33
touch_scroll_index_change_median,touch_scroll_intensity,0.014727217484786177,-0.11781773987828971,-0.1325449573630759,0.1325449573630759,29.629629629629626,34
outgoing_message_count,message_communication_context,0.013975424859373642,-0.11180339887498948,-0.1257788237343631,0.1257788237343631,33.33333333333333,35
screen_off_event_count,screen_interaction_context,0.013503604466336337,-0.10802883573069134,-0.12153244019702768,0.12153244019702768,16.049382716049383,36
night_screen_event_count,screen_nighttime_context,-0.0064111972240180615,0.051289577792144936,0.057700775016163,0.057700775016163,16.049382716049383,37
