raw_pool_index,_id,timestamp,local_datetime,device_id,label,bt_name,bt_rssi,bt_address
1,327,1741076773084,2025-03-04 10:26:13+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,1741076772295,,-69,7F:72:B9:A1:92:62
2,16686,1741076773084,2025-03-04 10:26:13+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,1741076772295,,-69,7F:72:B9:A1:92:62
3,33371,1741076773084,2025-03-04 10:26:13+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,1741076772295,,-69,7F:72:B9:A1:92:62
4,60817,1741076773084,2025-03-04 10:26:13+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,1741076772295,,-69,7F:72:B9:A1:92:62
5,81048,1741076773084,2025-03-04 10:26:13+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,1741076772295,,-69,7F:72:B9:A1:92:62
6,85138,1741076773084,2025-03-04 10:26:13+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,1741076772295,,-69,7F:72:B9:A1:92:62
7,100239,1741076773084,2025-03-04 10:26:13+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,1741076772295,,-69,7F:72:B9:A1:92:62
8,114340,1741076773084,2025-03-04 10:26:13+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,1741076772295,,-69,7F:72:B9:A1:92:62
9,128941,1741076773084,2025-03-04 10:26:13+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,1741076772295,,-69,7F:72:B9:A1:92:62
10,143542,1741076773084,2025-03-04 10:26:13+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,1741076772295,,-69,7F:72:B9:A1:92:62
11,158143,1741076773084,2025-03-04 10:26:13+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,1741076772295,,-69,7F:72:B9:A1:92:62
12,172744,1741076773084,2025-03-04 10:26:13+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,1741076772295,,-69,7F:72:B9:A1:92:62
13,187857,1741076773084,2025-03-04 10:26:13+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,1741076772295,,-69,7F:72:B9:A1:92:62
14,190125,1741076773084,2025-03-04 10:26:13+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,1741076772295,,-69,7F:72:B9:A1:92:62
15,193310,1741076773084,2025-03-04 10:26:13+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,1741076772295,,-69,7F:72:B9:A1:92:62
16,196495,1741076773084,2025-03-04 10:26:13+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,1741076772295,,-69,7F:72:B9:A1:92:62
17,199680,1741076773084,2025-03-04 10:26:13+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,1741076772295,,-69,7F:72:B9:A1:92:62
18,202865,1741076773084,2025-03-04 10:26:13+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,1741076772295,,-69,7F:72:B9:A1:92:62
19,206050,1741076773084,2025-03-04 10:26:13+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,1741076772295,,-69,7F:72:B9:A1:92:62
20,209735,1741076773084,2025-03-04 10:26:13+0200,b89546ef-9f57-4fd0-ad48-638a4a783d19,1741076772295,,-69,7F:72:B9:A1:92:62
