table_name,Subject_ID_D,Subject_ID_N,T2_date_iso,device_id,week_first_ts,week_rows,fallback_latest_ts,fallback_rows
applications_foreground,005,9,2025-09-15,3da896f5-a563-44f7-b546-35ed578491af,,0,,0
battery,005,9,2025-09-15,3da896f5-a563-44f7-b546-35ed578491af,,0,,0
bluetooth,005,9,2025-09-15,3da896f5-a563-44f7-b546-35ed578491af,,0,,0
calls,005,9,2025-09-15,3da896f5-a563-44f7-b546-35ed578491af,,0,,0
gsm,005,9,2025-09-15,3da896f5-a563-44f7-b546-35ed578491af,,0,,0
keyboard,005,9,2025-09-15,3da896f5-a563-44f7-b546-35ed578491af,,0,,0
locations,005,9,2025-09-15,3da896f5-a563-44f7-b546-35ed578491af,,0,,0
messages,005,9,2025-09-15,3da896f5-a563-44f7-b546-35ed578491af,,0,,0
plugin_google_activity_recognition,005,9,2025-09-15,3da896f5-a563-44f7-b546-35ed578491af,,0,,0
screen,005,9,2025-09-15,3da896f5-a563-44f7-b546-35ed578491af,,0,,0
telephony,005,9,2025-09-15,3da896f5-a563-44f7-b546-35ed578491af,,0,,0
gsm_neighbor,005,9,2025-09-15,3da896f5-a563-44f7-b546-35ed578491af,,0,,0
touch,005,9,2025-09-15,3da896f5-a563-44f7-b546-35ed578491af,,0,,0
significant,005,9,2025-09-15,3da896f5-a563-44f7-b546-35ed578491af,,0,,0
sensor_linear_accelerometer,005,9,2025-09-15,3da896f5-a563-44f7-b546-35ed578491af,,0,,0
barometer,005,9,2025-09-15,3da896f5-a563-44f7-b546-35ed578491af,,0,,0
applications_foreground,006,8,2025-09-18,ce1b6ec7-2b75-4d73-b3c8-3d06f049d22a,1757539050226.0,327,1757943784945.0,252
applications_foreground,006,8,2025-09-18,f4be3bd3-21f6-4b83-9728-ad22dd496a0a,,0,,0
battery,006,8,2025-09-18,ce1b6ec7-2b75-4d73-b3c8-3d06f049d22a,,0,,0
battery,006,8,2025-09-18,f4be3bd3-21f6-4b83-9728-ad22dd496a0a,,0,,0
bluetooth,006,8,2025-09-18,ce1b6ec7-2b75-4d73-b3c8-3d06f049d22a,,0,,0
bluetooth,006,8,2025-09-18,f4be3bd3-21f6-4b83-9728-ad22dd496a0a,,0,,0
