Subject_ID_D,Subject_ID_N,T2_date_iso,table_name,feature_name,feature_family,feature_value,feature_status,window_rule,window_start_local,window_end_local,rows_in_window,device_ids_used,error_message
003,11,2025-09-18,barometer,barometer_estimated_elevation_change_m,barometer_vertical_transition,,missing_no_pre_t2_window,,,,0,,
003,11,2025-09-18,barometer,barometer_upward_transition_count,barometer_vertical_transition,,missing_no_pre_t2_window,,,,0,,
003,11,2025-09-18,barometer,barometer_downward_transition_count,barometer_vertical_transition,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,applications_foreground,app_foreground_event_count,app_use_intensity,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,applications_foreground,unique_foreground_apps,app_use_breadth,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,applications_foreground,app_use_diversity,app_use_breadth,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,battery,low_battery_event_count,battery_context,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,battery,charging_or_plugged_event_count,battery_context,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,bluetooth,unique_bluetooth_addresses,bluetooth_proximity_context,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,bluetooth,bluetooth_address_diversity_ratio,bluetooth_proximity_context,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,calls,call_event_count,call_communication_context,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,calls,incoming_call_count,call_direction_context,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,calls,outgoing_call_count,call_direction_context,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,calls,missed_rejected_blocked_call_count,call_unanswered_context,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,calls,total_call_duration_seconds,call_duration_context,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,gsm,unique_gsm_cell_count,gsm_cell_context,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,gsm,unique_gsm_lac_count,gsm_cell_context,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,gsm,gsm_cell_transition_count,gsm_cell_context,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,keyboard,keyboard_median_inter_event_interval_ms,keyboard_typing_dynamics,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,keyboard,keyboard_inter_event_interval_iqr_ms,keyboard_typing_dynamics,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,keyboard,keyboard_long_pause_count_2s,keyboard_typing_pause,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,keyboard,keyboard_typing_burst_count,keyboard_typing_burst,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,keyboard,keyboard_median_word_completion_time_ms,keyboard_word_timing,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,keyboard,keyboard_deletion_event_count,keyboard_correction_behavior,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,locations,location_distinct_observation_count,location_data_coverage,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,locations,location_total_distance_km,location_mobility_extent,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,messages,message_distinct_event_count,message_communication_context,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,messages,outgoing_message_count,message_communication_context,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,plugin_google_activity_recognition,activity_transition_count,activity_context_variability,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,plugin_google_activity_recognition,activity_still_fraction,activity_context_state,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,plugin_google_activity_recognition,activity_active_hour_count,activity_context_temporal_spread,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,plugin_google_activity_recognition,activity_unknown_fraction,activity_context_quality,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,plugin_google_activity_recognition,activity_state_diversity,activity_context_breadth,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,screen,screen_event_count,screen_interaction_context,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,screen,screen_unlock_event_count,screen_interaction_context,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,screen,screen_on_event_count,screen_interaction_context,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,screen,screen_off_event_count,screen_interaction_context,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,screen,screen_active_hour_count,screen_temporal_spread,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,screen,night_screen_event_count,screen_nighttime_context,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,screen,screen_transition_count,screen_interaction_variability,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,screen,median_unlocked_session_duration_seconds,screen_session_duration,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,telephony,telephony_event_count,telephony_connectivity_context,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,telephony,telephony_mobile_data_enabled_fraction,telephony_connectivity_context,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,telephony,telephony_network_type_diversity,telephony_network_context,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,gsm_neighbor,unique_gsm_neighbor_cell_count,gsm_neighbor_cell_context,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,gsm_neighbor,unique_gsm_neighbor_lac_count,gsm_neighbor_cell_context,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,gsm_neighbor,gsm_neighbor_cell_transition_count,gsm_neighbor_cell_context,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,touch,touch_distinct_event_count,touch_interaction_volume,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,touch,touch_click_event_count,touch_action_profile,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,touch,touch_scroll_event_count,touch_action_profile,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,touch,touch_scroll_direction_change_count,touch_interaction_variability,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,touch,touch_unique_app_count,touch_app_context,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,touch,touch_app_diversity,touch_app_context,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,touch,touch_active_hour_count,touch_temporal_spread,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,touch,touch_scroll_index_change_median,touch_scroll_intensity,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,significant,significant_moving_event_count,significant_motion_context,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,significant,significant_moving_fraction,significant_motion_context,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,significant,significant_active_hour_count,significant_temporal_spread,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,significant,significant_motion_transition_count,significant_motion_variability,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,sensor_linear_accelerometer,sensor_linear_accelerometer_event_count,sensor_linear_accelerometer_metadata_coverage,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,sensor_linear_accelerometer,sensor_linear_accelerometer_active_hour_count,sensor_linear_accelerometer_metadata_coverage,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,sensor_linear_accelerometer,sensor_linear_accelerometer_resolution,sensor_hardware_context,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,sensor_linear_accelerometer,sensor_linear_accelerometer_maximum_range,sensor_hardware_context,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,sensor_linear_accelerometer,sensor_linear_accelerometer_power_ma,sensor_hardware_context,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,barometer,barometer_pressure_range,barometer_vertical_context,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,barometer,barometer_pressure_sd,barometer_vertical_context,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,barometer,barometer_large_vertical_shift_count,barometer_vertical_transition,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,barometer,barometer_estimated_elevation_change_m,barometer_vertical_transition,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,barometer,barometer_upward_transition_count,barometer_vertical_transition,,missing_no_pre_t2_window,,,,0,,
004,5,2025-09-11,barometer,barometer_downward_transition_count,barometer_vertical_transition,,missing_no_pre_t2_window,,,,0,,
005,9,2025-09-15,applications_foreground,app_foreground_event_count,app_use_intensity,,missing_no_pre_t2_window,,,,0,,
