table_name,json_key,n_sampled_rows,n_rows_with_key,percent_rows_with_key,inferred_value_type,example_values_compact,possible_feature_family,possible_feature_notes
plugin_google_activity_recognition,activity_name,200,200,100.0,string,"""unknown"" | ""tilting"" | ""still"" | ""on_foot""",activity_pattern,activity-recognition related
plugin_google_activity_recognition,activity_type,200,200,100.0,string,"""4"" | ""5"" | ""3"" | ""2""",activity_pattern,activity-recognition related
plugin_google_activity_recognition,confidence,200,200,100.0,string,"""40"" | ""100"" | ""96"" | ""99"" | ""28"" | ""97"" | ""98"" | ""51"" | ""53"" | ""88""",unknown,table=plugin_google_activity_recognition key=confidence
plugin_google_activity_recognition,device_id,200,200,100.0,string,"""4870fb6a-a6a6-458d-aba8-56ed070c200e""",unknown,table=plugin_google_activity_recognition key=device_id
plugin_google_activity_recognition,timestamp,200,200,100.0,number,1743325121630 | 1743325189249 | 1743325189276 | 1743325241718 | 1743325309337 | 1743325376952 | 1743325444539 | 1743326352964 | 1743326364962 | 1743328122131 | 1743329272043 | 1743329333806 | 1743329393829 | 1743329453906 | 1743329513951 | 1743329574013 | 1743329625481 | 1743329686835 | 1743329686866 | 1743329746906,unknown,table=plugin_google_activity_recognition key=timestamp
screen,device_id,200,200,100.0,string,"""4870fb6a-a6a6-458d-aba8-56ed070c200e""",unknown,table=screen key=device_id
screen,screen_status,200,200,100.0,string,"""1"" | ""3"" | ""0"" | ""2""",sleep_circadian,screen/light timing behavior
screen,timestamp,200,200,100.0,number,1743325072931 | 1743325072941 | 1743325243273 | 1743325243279 | 1743325258001 | 1743325258010 | 1743326233607 | 1743326233922 | 1743326245035,unknown,table=screen key=timestamp
telephony,data_enabled,200,200,100.0,string,"""2""",unknown,table=telephony key=data_enabled
telephony,device_id,200,200,100.0,string,"""4870fb6a-a6a6-458d-aba8-56ed070c200e""",unknown,table=telephony key=device_id
telephony,imei_meid_esn,200,200,100.0,string,"""""",unknown,table=telephony key=imei_meid_esn
telephony,line_number,200,200,100.0,string,"""2876cded74c58537176f252dce8ad1b50c1cfb5c""",unknown,table=telephony key=line_number
telephony,network_country_iso_mcc,200,200,100.0,string,"""il""",social_environment,connectivity/context exposure
telephony,network_operator_code,200,200,100.0,string,"""42502""",social_environment,connectivity/context exposure
telephony,network_operator_name,200,200,100.0,string,"""Cellcom IL""",social_environment,connectivity/context exposure
telephony,network_type,200,200,100.0,string,"""13""",social_environment,connectivity/context exposure
telephony,phone_type,200,200,100.0,string,"""1""",unknown,table=telephony key=phone_type
telephony,sim_operator_code,200,200,100.0,string,"""42502""",unknown,table=telephony key=sim_operator_code
telephony,sim_operator_name,200,200,100.0,string,"""Cellcom""",unknown,table=telephony key=sim_operator_name
telephony,sim_serial,200,200,100.0,string,"""""",unknown,table=telephony key=sim_serial
telephony,sim_state,200,200,100.0,string,"""5""",unknown,table=telephony key=sim_state
telephony,software_version,200,200,100.0,string,"""00""",unknown,table=telephony key=software_version
telephony,subscriber_id,200,200,100.0,string,"""""",unknown,table=telephony key=subscriber_id
telephony,timestamp,200,200,100.0,number,1743325074200 | 1743325074260 | 1743325075030 | 1743325078711 | 1743325078758 | 1743325105306 | 1743325134652 | 1743325143924 | 1743325243795,unknown,table=telephony key=timestamp
touch,device_id,200,200,100.0,string,"""4870fb6a-a6a6-458d-aba8-56ed070c200e""",unknown,table=touch key=device_id
touch,scroll_from_index,200,200,100.0,string,"""-1""",unknown,table=touch key=scroll_from_index
touch,scroll_items,200,200,100.0,string,"""-1""",unknown,table=touch key=scroll_items
touch,scroll_to_index,200,200,100.0,string,"""-1""",unknown,table=touch key=scroll_to_index
touch,timestamp,200,200,100.0,number,1743325078530,unknown,table=touch key=timestamp
touch,touch_action,200,200,100.0,string,"""ACTION_AWARE_TOUCH_CLICKED""",unknown,table=touch key=touch_action
touch,touch_action_text,200,200,100.0,string,"""[]""",unknown,table=touch key=touch_action_text
touch,touch_app,200,200,100.0,string,"""com.miui.securitycenter""",unknown,table=touch key=touch_app
wifi,bssid,6,6,100.0,string,"""""",social_environment,connectivity/context exposure
wifi,device_id,6,6,100.0,string,"""444ce4c5-7ef7-4be0-a6f6-58e98a35ca12""",unknown,table=wifi key=device_id
wifi,frequency,6,6,100.0,string,"""0""",unknown,table=wifi key=frequency
wifi,label,6,6,100.0,string,"""disabled""",unknown,table=wifi key=label
wifi,rssi,6,6,100.0,string,"""0""",social_environment,connectivity/context exposure
wifi,security,6,6,100.0,string,"""""",unknown,table=wifi key=security
wifi,ssid,6,6,100.0,string,"""""",social_environment,connectivity/context exposure
wifi,timestamp,6,6,100.0,number,1753079230057 | 1753079234971 | 1753079287342 | 1753079347532 | 1753079407757 | 1753079468050,unknown,table=wifi key=timestamp
