Subject_ID_N,Subject_ID_D,global_delta,global_decline_amount,screen_early_event_count,screen_late_event_count,screen_delta_event_count,screen_delta_status,app_early_foreground_event_count,app_late_foreground_event_count,app_delta_foreground_event_count,app_delta_status,keyboard_early_event_count,keyboard_late_event_count,keyboard_delta_event_count,keyboard_delta_status,touch_early_event_count,touch_late_event_count,touch_delta_event_count,touch_delta_status,activity_early_event_count,activity_late_event_count,activity_delta_event_count,activity_delta_status,aware_log_early_rows,aware_log_late_rows,aware_log_delta_rows,aware_log_delta_status,data_availability_note,change_interpretation
68,024,-6.5,6.5,428.0,20.0,-408.0,ok,386.0,1.0,-385.0,ok,205.0,,,missing_early_or_late,1521.0,,,missing_early_or_late,597.0,476.0,-121.0,ok_both_windows,9375.0,68897.0,59522.0,ok,change analysis exploratory and limited; do not use as confirmatory evidence,screen: change not interpretable (ok); app: change not interpretable (ok); keyboard: change not interpretable (missing_early_or_late); touch: change not interpretable (missing_early_or_late); activity: interpretable early-late change; aware_log (data quality): ok
77,077,-5.099999999999994,5.099999999999994,91.0,0.0,,missing_early_or_late,67.0,0.0,,missing_early_or_late,221.0,1.0,-220.0,ok_both_windows,2613.0,,,missing_early_or_late,1835.0,1697.0,-138.0,ok_both_windows,6697.0,6728.0,31.0,ok,change analysis exploratory and limited; do not use as confirmatory evidence,screen: change not interpretable (missing_early_or_late); app: change not interpretable (missing_early_or_late); keyboard: interpretable early-late change; touch: change not interpretable (missing_early_or_late); activity: interpretable early-late change; aware_log (data quality): ok
