table_name,feature_name,feature_value,calculation_context,Subject_ID_D,Subject_ID_N,device_id_used,global_T1,T1_date_iso,window_rule,window_start_local,window_end_local,feature_status,source_file
bluetooth,unique_bluetooth_addresses,302.0,exploratory_t1_ranked_first_valid_24h_in_T1_week,085,81,b89546ef-9f57-4fd0-ad48-638a4a783d19;ba371144-2edb-4839-9fd5-1d0466e41510,100.0,2025-03-04,exploratory_fallback_first_24h_span_within_T1_week,2025-03-04 10:26:13+0200,2025-03-05 10:26:13+0200,calculated,output/analysis_candidates/phase2_feature_extraction/exploratory_t1_week_24h/phase2_exploratory_t1_week_24h_selected_features_bluetooth.csv
bluetooth,bluetooth_address_diversity_ratio,0.17198177676537585,exploratory_t1_ranked_first_valid_24h_in_T1_week,085,81,b89546ef-9f57-4fd0-ad48-638a4a783d19;ba371144-2edb-4839-9fd5-1d0466e41510,100.0,2025-03-04,exploratory_fallback_first_24h_span_within_T1_week,2025-03-04 10:26:13+0200,2025-03-05 10:26:13+0200,calculated,output/analysis_candidates/phase2_feature_extraction/exploratory_t1_week_24h/phase2_exploratory_t1_week_24h_selected_features_bluetooth.csv
