table_name,feature_name,feature_value,calculation_context,Subject_ID_D,Subject_ID_N,device_id_used,global_T1,T1_date_iso,window_rule,window_start_local,window_end_local,feature_status,source_file
light,median_light_lux,0.0,exploratory_t1_ranked_first_valid_24h_in_T1_week,041,15,3cb4ec3a-332a-441a-9617-a9d2576c6a33;bce3e6dc-a61a-4fc5-8d6f-41ff16761f5b;d74f7acf-f82f-491d-90b9-d7321e6d4bcf,119.4,2025-01-08,exploratory_primary_day_after_T1,2025-01-09 00:00:00+0200,2025-01-10 00:00:00+0200,calculated,output/analysis_candidates/phase2_feature_extraction/exploratory_t1_week_24h/phase2_exploratory_t1_week_24h_selected_features_light.csv
light,percent_dark_samples,64.99485134631817,exploratory_t1_ranked_first_valid_24h_in_T1_week,041,15,3cb4ec3a-332a-441a-9617-a9d2576c6a33;bce3e6dc-a61a-4fc5-8d6f-41ff16761f5b;d74f7acf-f82f-491d-90b9-d7321e6d4bcf,119.4,2025-01-08,exploratory_primary_day_after_T1,2025-01-09 00:00:00+0200,2025-01-10 00:00:00+0200,calculated,output/analysis_candidates/phase2_feature_extraction/exploratory_t1_week_24h/phase2_exploratory_t1_week_24h_selected_features_light.csv
light,night_mean_light_lux,2.705371515143317e-06,exploratory_t1_ranked_first_valid_24h_in_T1_week,041,15,3cb4ec3a-332a-441a-9617-a9d2576c6a33;bce3e6dc-a61a-4fc5-8d6f-41ff16761f5b;d74f7acf-f82f-491d-90b9-d7321e6d4bcf,119.4,2025-01-08,exploratory_primary_day_after_T1,2025-01-09 00:00:00+0200,2025-01-10 00:00:00+0200,calculated,output/analysis_candidates/phase2_feature_extraction/exploratory_t1_week_24h/phase2_exploratory_t1_week_24h_selected_features_light.csv
light,light_lux_iqr,18.1,exploratory_t1_ranked_first_valid_24h_in_T1_week,041,15,3cb4ec3a-332a-441a-9617-a9d2576c6a33;bce3e6dc-a61a-4fc5-8d6f-41ff16761f5b;d74f7acf-f82f-491d-90b9-d7321e6d4bcf,119.4,2025-01-08,exploratory_primary_day_after_T1,2025-01-09 00:00:00+0200,2025-01-10 00:00:00+0200,calculated,output/analysis_candidates/phase2_feature_extraction/exploratory_t1_week_24h/phase2_exploratory_t1_week_24h_selected_features_light.csv
