Subject_ID_D,Subject_ID_N,global_T1,T1_date_iso,source_table,feature_name,feature_value,feature_status,window_start_local,window_end_local,device_ids_used,protocol_variant
003,11,106.5,2025-01-06,accelerometer,accelerometer_exact_duplicate_rows_removed,9093576.0,calculated,2025-01-06 12:09:05+0200,2025-01-07 12:09:05+0200,cc373e47-1b4b-4e15-a7e7-7882510d4949,accelerometer_special_phase3_24h_sensor-metadata
003,11,106.5,2025-01-06,accelerometer,accelerometer_valid_signal_minutes,1440.0,calculated,2025-01-06 12:09:05+0200,2025-01-07 12:09:05+0200,cc373e47-1b4b-4e15-a7e7-7882510d4949,accelerometer_special_phase3_24h_sensor-metadata
003,11,106.5,2025-01-06,accelerometer,accelerometer_valid_chunk_count,288.0,calculated,2025-01-06 12:09:05+0200,2025-01-07 12:09:05+0200,cc373e47-1b4b-4e15-a7e7-7882510d4949,accelerometer_special_phase3_24h_sensor-metadata
003,11,106.5,2025-01-06,accelerometer,accelerometer_median_sampling_interval_ms,196.0,calculated,2025-01-06 12:09:05+0200,2025-01-07 12:09:05+0200,cc373e47-1b4b-4e15-a7e7-7882510d4949,accelerometer_special_phase3_24h_sensor-metadata
003,11,106.5,2025-01-06,accelerometer,accelerometer_gap_burden_fraction,0.0011645717592592593,calculated,2025-01-06 12:09:05+0200,2025-01-07 12:09:05+0200,cc373e47-1b4b-4e15-a7e7-7882510d4949,accelerometer_special_phase3_24h_sensor-metadata
003,11,106.5,2025-01-06,accelerometer,accelerometer_dynamic_magnitude_mean,0.07069887646573905,calculated,2025-01-06 12:09:05+0200,2025-01-07 12:09:05+0200,cc373e47-1b4b-4e15-a7e7-7882510d4949,accelerometer_special_phase3_24h_sensor-metadata
003,11,106.5,2025-01-06,accelerometer,accelerometer_dynamic_magnitude_sd,0.136356193473819,calculated,2025-01-06 12:09:05+0200,2025-01-07 12:09:05+0200,cc373e47-1b4b-4e15-a7e7-7882510d4949,accelerometer_special_phase3_24h_sensor-metadata
003,11,106.5,2025-01-06,accelerometer,accelerometer_still_phone_minutes,1365.0,calculated,2025-01-06 12:09:05+0200,2025-01-07 12:09:05+0200,cc373e47-1b4b-4e15-a7e7-7882510d4949,accelerometer_special_phase3_24h_sensor-metadata
003,11,106.5,2025-01-06,accelerometer,accelerometer_stillness_fraction,0.9479166666666666,calculated,2025-01-06 12:09:05+0200,2025-01-07 12:09:05+0200,cc373e47-1b4b-4e15-a7e7-7882510d4949,accelerometer_special_phase3_24h_sensor-metadata
003,11,106.5,2025-01-06,accelerometer,accelerometer_phone_handling_minutes,25.0,calculated,2025-01-06 12:09:05+0200,2025-01-07 12:09:05+0200,cc373e47-1b4b-4e15-a7e7-7882510d4949,accelerometer_special_phase3_24h_sensor-metadata
003,11,106.5,2025-01-06,accelerometer,accelerometer_walking_like_minutes,0.0,calculated,2025-01-06 12:09:05+0200,2025-01-07 12:09:05+0200,cc373e47-1b4b-4e15-a7e7-7882510d4949,accelerometer_special_phase3_24h_sensor-metadata
003,11,106.5,2025-01-06,accelerometer,accelerometer_shaking_like_minutes,0.0,calculated,2025-01-06 12:09:05+0200,2025-01-07 12:09:05+0200,cc373e47-1b4b-4e15-a7e7-7882510d4949,accelerometer_special_phase3_24h_sensor-metadata
003,11,106.5,2025-01-06,accelerometer,accelerometer_high_motion_chunk_fraction,0.020890627343133447,calculated,2025-01-06 12:09:05+0200,2025-01-07 12:09:05+0200,cc373e47-1b4b-4e15-a7e7-7882510d4949,accelerometer_special_phase3_24h_sensor-metadata
003,11,106.5,2025-01-06,accelerometer,accelerometer_tremor_band_power_mean,0.0039508527172896985,calculated,2025-01-06 12:09:05+0200,2025-01-07 12:09:05+0200,cc373e47-1b4b-4e15-a7e7-7882510d4949,accelerometer_special_phase3_24h_sensor-metadata
003,11,106.5,2025-01-06,accelerometer,accelerometer_day_motion_minutes,25.0,calculated,2025-01-06 12:09:05+0200,2025-01-07 12:09:05+0200,cc373e47-1b4b-4e15-a7e7-7882510d4949,accelerometer_special_phase3_24h_sensor-metadata
003,11,106.5,2025-01-06,accelerometer,accelerometer_night_motion_minutes,0.0,calculated,2025-01-06 12:09:05+0200,2025-01-07 12:09:05+0200,cc373e47-1b4b-4e15-a7e7-7882510d4949,accelerometer_special_phase3_24h_sensor-metadata
003,11,106.5,2025-01-06,accelerometer,accelerometer_day_night_motion_ratio,,calculated,2025-01-06 12:09:05+0200,2025-01-07 12:09:05+0200,cc373e47-1b4b-4e15-a7e7-7882510d4949,accelerometer_special_phase3_24h_sensor-metadata
003,11,106.5,2025-01-06,accelerometer,accelerometer_hourly_motion_entropy,2.321928094887362,calculated,2025-01-06 12:09:05+0200,2025-01-07 12:09:05+0200,cc373e47-1b4b-4e15-a7e7-7882510d4949,accelerometer_special_phase3_24h_sensor-metadata
