Subject_ID_D,device_id,chunk_start_ms,chunk_end_ms,chunk_start_local,chunk_end_local,rows_downloaded,cumulative_rows_downloaded,status,error_message
089,e361ed72-5d8b-48b9-b2eb-c5eeb03da274,1737628385000,1737628685000,2025-01-23 12:33:05+0200,2025-01-23 12:38:05+0200,0,0,ok,
089,e361ed72-5d8b-48b9-b2eb-c5eeb03da274,1737628685000,1737628985000,2025-01-23 12:38:05+0200,2025-01-23 12:43:05+0200,0,0,ok,
089,e361ed72-5d8b-48b9-b2eb-c5eeb03da274,1737628985000,1737629285000,2025-01-23 12:43:05+0200,2025-01-23 12:48:05+0200,0,0,ok,
089,e361ed72-5d8b-48b9-b2eb-c5eeb03da274,1737629285000,1737629585000,2025-01-23 12:48:05+0200,2025-01-23 12:53:05+0200,0,0,ok,
089,e361ed72-5d8b-48b9-b2eb-c5eeb03da274,1737629585000,1737629885000,2025-01-23 12:53:05+0200,2025-01-23 12:58:05+0200,0,0,ok,
089,e361ed72-5d8b-48b9-b2eb-c5eeb03da274,1737629885000,1737630185000,2025-01-23 12:58:05+0200,2025-01-23 13:03:05+0200,0,0,ok,
089,e361ed72-5d8b-48b9-b2eb-c5eeb03da274,1737630185000,1737630485000,2025-01-23 13:03:05+0200,2025-01-23 13:08:05+0200,0,0,ok,
089,e361ed72-5d8b-48b9-b2eb-c5eeb03da274,1737630485000,1737630785000,2025-01-23 13:08:05+0200,2025-01-23 13:13:05+0200,0,0,ok,
089,e361ed72-5d8b-48b9-b2eb-c5eeb03da274,1737630785000,1737631085000,2025-01-23 13:13:05+0200,2025-01-23 13:18:05+0200,0,0,ok,
089,e361ed72-5d8b-48b9-b2eb-c5eeb03da274,1737631085000,1737631385000,2025-01-23 13:18:05+0200,2025-01-23 13:23:05+0200,0,0,ok,
089,e361ed72-5d8b-48b9-b2eb-c5eeb03da274,1737631385000,1737631685000,2025-01-23 13:23:05+0200,2025-01-23 13:28:05+0200,0,0,initial_anchor_no_rows,Stopped after 12 consecutive empty initial chunks.
044,e2569598-0fd8-4d72-a20e-378428f477a0,1738664552000,1738664852000,2025-02-04 12:22:32+0200,2025-02-04 12:27:32+0200,0,0,ok,
044,e2569598-0fd8-4d72-a20e-378428f477a0,1738664852000,1738665152000,2025-02-04 12:27:32+0200,2025-02-04 12:32:32+0200,0,0,ok,
044,e2569598-0fd8-4d72-a20e-378428f477a0,1738665152000,1738665452000,2025-02-04 12:32:32+0200,2025-02-04 12:37:32+0200,0,0,ok,
044,e2569598-0fd8-4d72-a20e-378428f477a0,1738665452000,1738665752000,2025-02-04 12:37:32+0200,2025-02-04 12:42:32+0200,0,0,ok,
044,e2569598-0fd8-4d72-a20e-378428f477a0,1738665752000,1738666052000,2025-02-04 12:42:32+0200,2025-02-04 12:47:32+0200,0,0,ok,
044,e2569598-0fd8-4d72-a20e-378428f477a0,1738666052000,1738666352000,2025-02-04 12:47:32+0200,2025-02-04 12:52:32+0200,0,0,ok,
044,e2569598-0fd8-4d72-a20e-378428f477a0,1738666352000,1738666652000,2025-02-04 12:52:32+0200,2025-02-04 12:57:32+0200,0,0,ok,
044,e2569598-0fd8-4d72-a20e-378428f477a0,1738666652000,1738666952000,2025-02-04 12:57:32+0200,2025-02-04 13:02:32+0200,0,0,ok,
044,e2569598-0fd8-4d72-a20e-378428f477a0,1738666952000,1738667252000,2025-02-04 13:02:32+0200,2025-02-04 13:07:32+0200,0,0,ok,
044,e2569598-0fd8-4d72-a20e-378428f477a0,1738667252000,1738667552000,2025-02-04 13:07:32+0200,2025-02-04 13:12:32+0200,0,0,ok,
044,e2569598-0fd8-4d72-a20e-378428f477a0,1738667552000,1738667852000,2025-02-04 13:12:32+0200,2025-02-04 13:17:32+0200,0,0,ok,
044,e2569598-0fd8-4d72-a20e-378428f477a0,1738667852000,1738668152000,2025-02-04 13:17:32+0200,2025-02-04 13:22:32+0200,0,0,initial_anchor_no_rows,Stopped after 12 consecutive empty initial chunks.
007,26b25b93-8dcc-4a4e-8ca2-0d920e37acba,1737620372000,1737620672000,2025-01-23 10:19:32+0200,2025-01-23 10:24:32+0200,0,0,ok,
007,26b25b93-8dcc-4a4e-8ca2-0d920e37acba,1737620672000,1737620972000,2025-01-23 10:24:32+0200,2025-01-23 10:29:32+0200,0,0,ok,
007,26b25b93-8dcc-4a4e-8ca2-0d920e37acba,1737620972000,1737621272000,2025-01-23 10:29:32+0200,2025-01-23 10:34:32+0200,0,0,ok,
007,26b25b93-8dcc-4a4e-8ca2-0d920e37acba,1737621272000,1737621572000,2025-01-23 10:34:32+0200,2025-01-23 10:39:32+0200,0,0,ok,
007,26b25b93-8dcc-4a4e-8ca2-0d920e37acba,1737621572000,1737621872000,2025-01-23 10:39:32+0200,2025-01-23 10:44:32+0200,0,0,ok,
007,26b25b93-8dcc-4a4e-8ca2-0d920e37acba,1737621872000,1737622172000,2025-01-23 10:44:32+0200,2025-01-23 10:49:32+0200,0,0,ok,
007,26b25b93-8dcc-4a4e-8ca2-0d920e37acba,1737622172000,1737622472000,2025-01-23 10:49:32+0200,2025-01-23 10:54:32+0200,0,0,ok,
007,26b25b93-8dcc-4a4e-8ca2-0d920e37acba,1737622472000,1737622772000,2025-01-23 10:54:32+0200,2025-01-23 10:59:32+0200,0,0,ok,
