Subject_ID_D,device_id,local_hour,valid_chunks,valid_minutes,mean_dynamic_magnitude,median_dynamic_magnitude,very_low_lt_0_3hz_candidate_minutes,very_low_lt_0_3hz_mean_power_ratio,handling_0_3_1hz_candidate_minutes,handling_0_3_1hz_mean_power_ratio,walking_like_1_3hz_candidate_minutes,walking_like_1_3hz_mean_power_ratio,vigorous_2_5_4hz_candidate_minutes,vigorous_2_5_4hz_mean_power_ratio,shaking_like_3_8hz_candidate_minutes,shaking_like_3_8hz_mean_power_ratio,high_freq_8_12hz_candidate_minutes,high_freq_8_12hz_mean_power_ratio
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,0,12,60.0,0.010070836402652427,0.006364101083521589,0.0,0.48265322277441863,0.0,0.2682034271384724,0.0,0.28462716127935334,0.0,0.0447737819083184,0.0,0.016866563216106755,0.0,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,1,12,60.0,0.008583333742790984,0.006106591907257375,0.0,0.4714298977777913,0.0,0.26343996334837927,0.0,0.28878346517344594,0.0,0.04302148898538496,0.0,0.016800589848257285,0.0,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,2,12,60.0,0.00975131017752373,0.006442463334808135,0.0,0.4408127275209229,0.0,0.28468945976420834,0.0,0.315167294193298,0.0,0.04891593953434902,0.0,0.018559636101046714,0.0,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,3,12,60.0,0.00881218738776829,0.006211619922863676,0.0,0.39081729519801045,0.0,0.3073425299330279,0.0,0.3205959425948926,0.0,0.049514966730981075,0.0,0.019615321812409835,0.0,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,4,12,60.0,0.008156917534954804,0.005774740356423003,0.0,0.3435532172492802,0.0,0.31234055208977507,0.0,0.33978205074460516,0.0,0.05387099918404233,0.0,0.020373919285245526,0.0,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,5,12,60.0,0.011907655475061571,0.006060617512733124,0.0,0.4088418550413482,0.0,0.27668175550477986,0.0,0.33329464029878336,0.0,0.052057662932260884,0.0,0.019511238361695063,0.0,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,6,12,60.0,0.16197942775535137,0.010711547068980032,5.0,0.48745643359238766,0.0,0.2606451050820454,0.0,0.29519848212403604,0.0,0.04987600782571949,0.0,0.020462350136963094,0.0,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,7,12,60.0,0.30072967771183995,0.02505662501581396,5.0,0.27866288331283445,5.0,0.29967533644662264,20.0,0.3962995517423395,0.0,0.06593708181329704,0.0,0.035221311526521214,0.0,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,8,11,55.0,0.14551133813278638,0.020596949360999872,5.0,0.46658169088903034,0.0,0.2766405419907023,5.0,0.3334692137566004,0.0,0.05508438659337187,0.0,0.021895081521364074,0.0,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,9,12,60.0,0.048951561398244296,0.012218892082262567,5.0,0.3051417298641312,0.0,0.33667763940754086,0.0,0.3385040603670366,0.0,0.05055403734579364,0.0,0.021960140138900408,0.0,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,10,12,60.0,0.4502194793475726,0.19116548773644793,45.0,0.4685038841490017,0.0,0.2522989628115346,5.0,0.2809534447384707,0.0,0.05663197592483885,0.0,0.04202125197083195,0.0,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,11,12,60.0,0.14530653926758572,0.06574586868948407,10.0,0.4065541366925037,0.0,0.2894255801115816,0.0,0.28410172940046485,0.0,0.05590000936957771,0.0,0.03414269540447074,0.0,
041,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,12,12,60.0,0.38446764363277675,0.18494484476104134,40.0,0.4300037366180846,0.0,0.26651283442004997,10.0,0.3243163314990269,0.0,0.05971520912408954,0.0,0.037072590262110634,0.0,
