repeat,fold,model,feature,importance_mean,importance_std
1,1,random_forest,missing__17,0.0018924202344994256,0.006438997946338913
1,1,random_forest,missing__18,0.0,0.0
1,1,random_forest,missing__19,0.0,0.0
1,1,random_forest,missing__20,0.0,0.0
1,1,random_forest,missing__21,0.0,0.0
1,1,random_forest,missing__22,0.0,0.0
1,1,random_forest,missing__23,0.0,0.0
1,1,random_forest,missing__24,0.0,0.0
1,1,random_forest,missing__25,0.0,0.0
1,1,random_forest,missing__26,0.0,0.0
1,1,random_forest,missing__27,0.0,0.0
1,1,random_forest,missing__28,0.0,0.0
1,1,random_forest,missing__29,0.0,0.0
1,1,random_forest,missing__30,0.003086008807913506,0.00502196869277853
1,1,random_forest,missing__31,0.010599356338181801,0.011642550995442081
1,1,random_forest,missing__32,0.01283639203851313,0.008274031159335083
1,1,random_forest,missing__33,0.0005109362358085198,0.0027748418555134254
1,1,random_forest,missing__34,0.0,0.0
1,1,random_forest,missing__35,0.0,0.0
1,1,random_forest,missing__36,-0.0009211684511936843,0.001196173626422326
1,1,random_forest,missing__37,0.0,0.0
1,1,random_forest,missing__38,0.004880083866642219,0.013146314270502989
1,1,random_forest,missing__39,0.0,0.0
1,1,random_forest,missing__40,0.0,0.0
1,1,random_forest,missing__41,0.002426422508610434,0.0074852548209731265
1,1,random_forest,missing__42,0.0055145299913797645,0.020412472398580107
1,1,random_forest,missing__43,0.0,0.0
1,1,random_forest,missing__44,0.0,0.0
1,1,random_forest,missing__45,0.0,0.0
1,1,random_forest,missing__46,0.0,0.0
1,1,random_forest,missing__47,0.0,0.0
1,1,random_forest,missing__48,0.0,0.0
1,1,random_forest,missing__49,0.0,0.0
1,1,random_forest,missing__50,0.0,0.0
1,1,random_forest,missing__51,0.0,0.0
1,1,random_forest,missing__52,0.0,0.0
1,1,random_forest,missing__53,0.0,0.0
1,1,random_forest,missing__54,0.0,0.0
1,1,random_forest,missing__55,0.0,0.0
1,1,random_forest,missing__56,0.0,0.0
1,1,random_forest,missing__57,0.0,0.0
