device_id,day_local,band,top_freq_hz,share_pct
fdce7e53-e549-45b0-a477-8c300329c656,2025-07-10,0.5-1,0.6,6.5399
fdce7e53-e549-45b0-a477-8c300329c656,2025-07-10,1-2,1.8,9.4379
fdce7e53-e549-45b0-a477-8c300329c656,2025-07-10,2-3.5,2.6,9.1849
fdce7e53-e549-45b0-a477-8c300329c656,2025-07-10,3.5-5.5,5.45,22.8996
fdce7e53-e549-45b0-a477-8c300329c656,2025-07-10,5.5-8,7.25,51.9377
001,877c14a8-9ab8-48d4-8fe3-ad3df98c3750,2025-01-08,0.5-1,0.55,51.2395,ok
001,877c14a8-9ab8-48d4-8fe3-ad3df98c3750,2025-01-08,1-2,1.0917,27.761,ok
001,877c14a8-9ab8-48d4-8fe3-ad3df98c3750,2025-01-08,2-3.5,2.0083,16.3346,ok
001,877c14a8-9ab8-48d4-8fe3-ad3df98c3750,2025-01-08,3.5-5.5,3.825,4.6649,ok
001,877c14a8-9ab8-48d4-8fe3-ad3df98c3750,2025-01-08,5.5-8,,0.0,ok
001,877c14a8-9ab8-48d4-8fe3-ad3df98c3750,2025-01-08,0.5-1,0.55,50.1636,ok
001,877c14a8-9ab8-48d4-8fe3-ad3df98c3750,2025-01-08,1-2,1.0917,26.9924,ok
001,877c14a8-9ab8-48d4-8fe3-ad3df98c3750,2025-01-08,2-3.5,2.0083,15.8824,ok
001,877c14a8-9ab8-48d4-8fe3-ad3df98c3750,2025-01-08,3.5-5.5,3.825,6.9615,ok
001,877c14a8-9ab8-48d4-8fe3-ad3df98c3750,2025-01-08,5.5-8,,0.0,ok
