repeat,fold,feature,gradient_weight,extra_weight
1,1,app_foreground_event_count,1.1461996253106284,0.14619962531062836
1,1,app_use_diversity,1.0255238269990434,0.02552382699904343
1,1,unique_foreground_apps,1.0568466742005114,0.05684667420051137
1,1,gsm_cell_transition_count,1.2220240091270151,0.22202400912701514
1,1,unique_gsm_cell_count,1.2510714341995577,0.2510714341995577
1,1,unique_gsm_lac_count,1.2459709542074164,0.24597095420741644
1,1,keyboard_deletion_event_count,1.0419609981224436,0.04196099812244358
1,1,keyboard_inter_event_interval_iqr_ms,1.0174444948390484,0.01744449483904842
1,1,keyboard_long_pause_count_2s,1.1046513308367023,0.1046513308367023
1,1,keyboard_median_inter_event_interval_ms,1.1599395894723403,0.15993958947234033
1,1,keyboard_typing_burst_count,1.1143367355604656,0.11433673556046564
1,1,message_distinct_event_count,1.2462427495092765,0.2462427495092765
1,1,outgoing_message_count,1.0,0.0
1,1,activity_active_hour_count,1.0600023206543596,0.06000232065435962
1,1,activity_state_diversity,1.0002419208527904,0.00024192085279040043
1,1,activity_still_fraction,1.0309872785389667,0.030987278538966656
1,1,activity_transition_count,1.1181048388056913,0.11810483880569134
1,1,activity_unknown_fraction,1.0667701553701618,0.06677015537016184
1,1,median_unlocked_session_duration_seconds,1.0645406434491127,0.0645406434491127
1,1,night_screen_event_count,1.0167395780628334,0.016739578062833438
1,1,screen_active_hour_count,1.1300476487599833,0.13004764875998331
1,1,screen_event_count,1.2386008389076721,0.23860083890767214
1,1,screen_off_event_count,1.2266720245850515,0.22667202458505153
1,1,screen_on_event_count,1.2400900008952798,0.24009000089527976
1,1,screen_transition_count,1.103778982972375,0.10377898297237498
1,1,screen_unlock_event_count,1.286493407628119,0.2864934076281189
1,1,telephony_event_count,1.0701786220579548,0.07017862205795478
1,1,telephony_mobile_data_enabled_fraction,1.269820202308391,0.2698202023083911
1,1,telephony_network_type_diversity,1.1445942976316958,0.14459429763169585
1,1,touch_active_hour_count,1.0437918439265965,0.04379184392659652
1,1,touch_app_diversity,1.0441349504921928,0.04413495049219285
1,1,touch_click_event_count,1.0237769292352892,0.02377692923528918
1,1,touch_distinct_event_count,1.0144572526416906,0.014457252641690621
1,1,touch_scroll_direction_change_count,1.0546470511102324,0.05464705111023238
1,1,touch_scroll_event_count,1.0194524495677233,0.019452449567723296
1,1,touch_scroll_index_change_median,1.1250060161616235,0.12500601616162355
1,1,touch_unique_app_count,1.0948878557125707,0.09488785571257075
1,2,app_foreground_event_count,1.0911706430322528,0.09117064303225275
1,2,app_use_diversity,1.0370752361853368,0.03707523618533681
1,2,unique_foreground_apps,1.0220794239422732,0.022079423942273246
1,2,gsm_cell_transition_count,1.031876531376698,0.03187653137669799
1,2,unique_gsm_cell_count,1.0394082791477985,0.03940827914779854
1,2,unique_gsm_lac_count,1.0033734312983271,0.003373431298327123
1,2,keyboard_deletion_event_count,1.1746283259343713,0.17462832593437128
1,2,keyboard_inter_event_interval_iqr_ms,1.060117389935312,0.060117389935312016
1,2,keyboard_long_pause_count_2s,1.2064923654133102,0.20649236541331017
1,2,keyboard_median_inter_event_interval_ms,1.2094842916419681,0.20948429164196813
1,2,keyboard_typing_burst_count,1.077188579268789,0.07718857926878897
1,2,message_distinct_event_count,1.110102265763143,0.11010226576314297
1,2,outgoing_message_count,1.1670601060325907,0.1670601060325907
1,2,activity_active_hour_count,1.2902070433448314,0.2902070433448314
1,2,activity_state_diversity,1.0819672134135316,0.08196721341353164
1,2,activity_still_fraction,1.0939207653696716,0.09392076536967164
1,2,activity_transition_count,1.2217478548748473,0.22174785487484727
1,2,activity_unknown_fraction,1.0551796274105154,0.05517962741051541
1,2,median_unlocked_session_duration_seconds,1.2134640894817006,0.2134640894817006
1,2,night_screen_event_count,1.0588632812715866,0.058863281271586576
1,2,screen_active_hour_count,1.0422365839284,0.04223658392840002
1,2,screen_event_count,1.1669859064395716,0.16698590643957156
1,2,screen_off_event_count,1.139550881604893,0.13955088160489293
1,2,screen_on_event_count,1.1588796370005263,0.15887963700052632
1,2,screen_transition_count,1.0382544522221244,0.038254452222124424
1,2,screen_unlock_event_count,1.21718526643768,0.2171852664376801
1,2,telephony_event_count,1.1457879681957361,0.14578796819573614
1,2,telephony_mobile_data_enabled_fraction,1.1697553091416082,0.1697553091416082
1,2,telephony_network_type_diversity,1.1179613892122533,0.1179613892122533
1,2,touch_active_hour_count,1.0936331268065285,0.09363312680652847
1,2,touch_app_diversity,1.056557807008009,0.05655780700800905
1,2,touch_click_event_count,1.0529108721426588,0.05291087214265877
1,2,touch_distinct_event_count,1.0836160633260743,0.0836160633260743
1,2,touch_scroll_direction_change_count,1.0475981241309207,0.04759812413092068
1,2,touch_scroll_event_count,1.1246645119777428,0.12466451197774275
1,2,touch_scroll_index_change_median,1.0618969081167735,0.06189690811677351
1,2,touch_unique_app_count,1.061800472142645,0.06180047214264506
1,3,app_foreground_event_count,1.160299661856089,0.16029966185608902
1,3,app_use_diversity,1.0872592807038017,0.08725928070380173
1,3,unique_foreground_apps,1.1658451533840921,0.16584515338409211
1,3,gsm_cell_transition_count,1.2050876332877212,0.20508763328772117
1,3,unique_gsm_cell_count,1.2241318341722727,0.22413183417227267
1,3,unique_gsm_lac_count,1.2221657514678228,0.2221657514678228
1,3,keyboard_deletion_event_count,1.134856670035579,0.1348566700355791
1,3,keyboard_inter_event_interval_iqr_ms,1.0047915668469034,0.004791566846903406
1,3,keyboard_long_pause_count_2s,1.1928806622846986,0.19288066228469858
1,3,keyboard_median_inter_event_interval_ms,1.1404364683128756,0.1404364683128756
1,3,keyboard_typing_burst_count,1.0913184965758942,0.09131849657589419
1,3,message_distinct_event_count,1.1581148022914836,0.15811480229148356
1,3,outgoing_message_count,1.1430031582376527,0.14300315823765275
1,3,activity_active_hour_count,1.2180564353401586,0.21805643534015862
1,3,activity_state_diversity,1.0597709037133138,0.05977090371331384
1,3,activity_still_fraction,1.0198417992983722,0.019841799298372154
1,3,activity_transition_count,1.0287435193656602,0.02874351936566022
1,3,activity_unknown_fraction,1.0290664430508902,0.029066443050890234
1,3,median_unlocked_session_duration_seconds,1.0935785904723132,0.0935785904723132
1,3,night_screen_event_count,1.020770619034421,0.020770619034421012
1,3,screen_active_hour_count,1.0710512573106308,0.07105125731063078
1,3,screen_event_count,1.1603615307863555,0.1603615307863555
1,3,screen_off_event_count,1.1707106079767484,0.17071060797674842
1,3,screen_on_event_count,1.1435170157448589,0.14351701574485887
1,3,screen_transition_count,1.0584817489081046,0.05848174890810465
1,3,screen_unlock_event_count,1.2127774882167306,0.2127774882167306
1,3,telephony_event_count,1.0952308338155325,0.09523083381553255
1,3,telephony_mobile_data_enabled_fraction,1.2614548311671208,0.26145483116712076
1,3,telephony_network_type_diversity,1.133958035009534,0.13395803500953396
1,3,touch_active_hour_count,1.105568591532609,0.105568591532609
1,3,touch_app_diversity,1.1352657006823594,0.13526570068235944
1,3,touch_click_event_count,1.050473788813775,0.050473788813774956
1,3,touch_distinct_event_count,1.0158243309499766,0.015824330949976595
1,3,touch_scroll_direction_change_count,1.0596080117930962,0.05960801179309616
1,3,touch_scroll_event_count,1.0140608035573664,0.014060803557366386
1,3,touch_scroll_index_change_median,1.1256908549365134,0.12569085493651344
1,3,touch_unique_app_count,1.2728047337384016,0.27280473373840164
