repeat,fold,feature,slope,selected
1,4,keyboard_deletion_event_count,0.7750000000000047,False
1,4,keyboard_inter_event_interval_iqr_ms,0.09000000000000727,False
1,4,keyboard_long_pause_count_2s,-0.4999999999999843,False
1,4,keyboard_median_inter_event_interval_ms,-1.1000000000000085,True
1,4,keyboard_typing_burst_count,-0.07499999999999175,False
1,4,message_distinct_event_count,1.5000000000000098,False
1,4,activity_active_hour_count,1.6249999999999964,True
1,4,activity_state_diversity,-0.13999999999999835,False
1,4,activity_still_fraction,0.13000000000000012,False
1,4,activity_transition_count,0.48000000000000764,False
1,4,activity_unknown_fraction,-1.6050000000000026,True
1,4,median_unlocked_session_duration_seconds,-1.5400000000000051,True
1,4,screen_active_hour_count,1.1050000000000064,False
1,4,screen_event_count,1.0300000000000027,False
1,4,screen_off_event_count,1.0300000000000027,False
1,4,screen_on_event_count,0.7750000000000056,False
1,4,screen_transition_count,0.04000000000000583,False
1,4,screen_unlock_event_count,1.8849999999999991,True
1,4,telephony_event_count,-0.4399999999999966,False
1,4,telephony_mobile_data_enabled_fraction,-1.0499999999999872,False
1,4,touch_active_hour_count,2.649999999999996,True
1,4,touch_app_diversity,2.339999999999997,True
1,4,touch_click_event_count,0.4300000000000036,False
1,4,touch_distinct_event_count,-0.15999999999999737,False
1,4,touch_scroll_direction_change_count,1.1999999999999984,False
1,4,touch_scroll_event_count,-0.37000000000000655,False
1,4,touch_scroll_index_change_median,1.3450000000000126,False
1,4,touch_unique_app_count,1.7000000000000024,True
1,5,app_foreground_event_count,0.7150000000000033,False
1,5,app_use_diversity,-0.3699999999999988,False
1,5,unique_foreground_apps,0.7300000000000019,False
1,5,gsm_cell_transition_count,1.8500000000000105,True
1,5,unique_gsm_cell_count,2.3500000000000174,True
1,5,keyboard_deletion_event_count,3.2500000000000138,True
1,5,keyboard_inter_event_interval_iqr_ms,0.9200000000000095,False
1,5,keyboard_long_pause_count_2s,2.100000000000012,True
1,5,keyboard_median_inter_event_interval_ms,-0.15999999999999737,False
1,5,keyboard_typing_burst_count,0.7000000000000167,False
1,5,message_distinct_event_count,0.6000000000000062,False
1,5,activity_active_hour_count,1.22,False
1,5,activity_state_diversity,-0.1949999999999872,False
1,5,activity_still_fraction,-0.10500000000001107,False
1,5,activity_transition_count,1.3000000000000116,False
1,5,activity_unknown_fraction,0.1350000000000005,False
1,5,median_unlocked_session_duration_seconds,-1.3899999999999981,True
1,5,screen_active_hour_count,0.7950000000000097,False
1,5,screen_event_count,0.6200000000000009,False
1,5,screen_off_event_count,0.7700000000000026,False
1,5,screen_on_event_count,0.8800000000000062,False
1,5,screen_transition_count,-0.35499999999998977,False
1,5,screen_unlock_event_count,0.9599999999999997,False
1,5,telephony_event_count,-0.8699999999999977,True
1,5,touch_active_hour_count,0.7000000000000092,False
1,5,touch_app_diversity,2.8099999999999934,True
1,5,touch_click_event_count,-0.10000000000000808,False
1,5,touch_distinct_event_count,-0.47499999999999687,False
1,5,touch_scroll_direction_change_count,0.369999999999991,False
1,5,touch_scroll_event_count,-0.6849999999999983,True
1,5,touch_scroll_index_change_median,1.2300000000000009,False
1,5,touch_unique_app_count,1.280000000000005,False
2,1,app_foreground_event_count,2.069999999999996,True
2,1,app_use_diversity,-0.5050000000000019,False
2,1,unique_foreground_apps,0.13000000000000272,False
2,1,gsm_cell_transition_count,-0.04999999999999577,False
2,1,unique_gsm_cell_count,-0.04999999999998817,False
2,1,keyboard_deletion_event_count,1.1750000000000127,False
2,1,keyboard_inter_event_interval_iqr_ms,0.26500000000000323,False
2,1,keyboard_long_pause_count_2s,2.250000000000007,True
2,1,keyboard_median_inter_event_interval_ms,-0.9150000000000065,False
2,1,keyboard_typing_burst_count,-0.1499999999999873,False
2,1,message_distinct_event_count,-0.09999999999999154,False
2,1,activity_active_hour_count,1.639999999999995,False
2,1,activity_state_diversity,0.7500000000000009,False
2,1,activity_still_fraction,-0.4650000000000064,False
2,1,activity_transition_count,2.8300000000000107,True
2,1,activity_unknown_fraction,0.854999999999999,False
2,1,median_unlocked_session_duration_seconds,-1.0799999999999939,True
2,1,screen_active_hour_count,-0.2149999999999966,False
2,1,screen_event_count,1.365000000000004,False
2,1,screen_off_event_count,1.7099999999999878,False
2,1,screen_on_event_count,1.0950000000000002,False
2,1,screen_transition_count,-0.219999999999997,False
2,1,screen_unlock_event_count,1.8999999999999848,True
2,1,telephony_event_count,-0.44000000000000183,False
2,1,telephony_mobile_data_enabled_fraction,-1.799999999999992,True
2,1,touch_active_hour_count,1.47500000000001,False
2,1,touch_app_diversity,1.7100000000000057,True
2,1,touch_click_event_count,-0.3849999999999922,False
2,1,touch_distinct_event_count,-0.5400000000000073,False
2,1,touch_scroll_direction_change_count,-0.045000000000003634,False
2,1,touch_scroll_event_count,-1.1249999999999976,True
2,1,touch_scroll_index_change_median,0.930000000000005,False
2,1,touch_unique_app_count,0.9200000000000043,False
2,2,app_foreground_event_count,1.1399999999999937,False
2,2,app_use_diversity,-0.4049999999999912,False
2,2,unique_foreground_apps,0.5150000000000079,False
