analysis_scope,repeat,cohort_size,domain,model,n_predictions,rmse,mae,r2
repeat,3,10,Processing speed,ridge,9,12.717028361249952,11.326092656038472,0.07087894782927895
repeat,4,10,Processing speed,ridge,9,13.341520388471626,10.446929759273532,-0.02261384738598271
repeat,5,10,Processing speed,ridge,9,14.342118690984321,12.153605758078633,-0.18175553571344283
repeat,6,10,Processing speed,ridge,9,14.908373947045455,11.399490985553689,-0.2769137868835101
repeat,7,10,Processing speed,ridge,9,14.371496490945038,11.89569593976204,-0.18660181195705872
repeat,8,10,Processing speed,ridge,9,12.085096173143334,9.576093376849405,0.16092410942132773
repeat,9,10,Processing speed,ridge,9,14.957832085823942,13.092015385725967,-0.2854000959881895
repeat,10,10,Processing speed,ridge,9,14.078301889127902,12.173892422817467,-0.138679674143527
repeat,1,10,Processing speed,domain_group_ridge,9,18.699807147980945,14.655842083778502,-1.008978440604845
repeat,2,10,Processing speed,domain_group_ridge,9,25.9215065012476,21.600724923215807,-2.8603039141343305
repeat,3,10,Processing speed,domain_group_ridge,9,24.924244869352506,18.740691699341834,-2.5689876037426456
repeat,4,10,Processing speed,domain_group_ridge,9,19.41011893751621,15.564588391450194,-1.164499121960965
repeat,5,10,Processing speed,domain_group_ridge,9,18.532970453032572,13.211618608637373,-0.9732907837123888
