repeat,fold,feature,slope,selected,coefficient_constraint
8,4,gsm_cell_transition_count,-0.4499999999999885,False,not selected
8,4,unique_gsm_cell_count,0.7750000000000237,False,not selected
8,4,keyboard_deletion_event_count,-0.02499999999998459,False,not selected
8,4,keyboard_inter_event_interval_iqr_ms,-0.7449999999999979,False,not selected
8,4,keyboard_long_pause_count_2s,0.2200000000000048,False,not selected
8,4,keyboard_median_inter_event_interval_ms,-1.2749999999999941,True,<= 0
8,4,keyboard_typing_burst_count,-0.3499999999999894,False,not selected
8,4,message_distinct_event_count,0.5000000000000032,False,not selected
8,4,activity_active_hour_count,1.425000000000001,True,>= 0
8,4,activity_state_diversity,0.08500000000000688,False,not selected
8,4,activity_still_fraction,-0.46500000000000385,False,not selected
8,4,activity_transition_count,1.3399999999999994,True,>= 0
8,4,activity_unknown_fraction,0.5250000000000035,False,not selected
8,4,median_unlocked_session_duration_seconds,-2.1700000000000066,True,<= 0
8,4,screen_active_hour_count,0.02999999999999983,False,not selected
8,4,screen_event_count,0.6299999999999965,False,not selected
8,4,screen_off_event_count,0.6750000000000078,False,not selected
8,4,screen_on_event_count,0.7400000000000079,False,not selected
8,4,screen_transition_count,-0.7799999999999878,False,not selected
8,4,screen_unlock_event_count,1.9099999999999986,True,>= 0
8,4,telephony_event_count,-0.5999999999999992,False,not selected
8,4,telephony_mobile_data_enabled_fraction,-0.9999999999999989,False,not selected
8,4,touch_active_hour_count,0.8500000000000079,True,>= 0
8,4,touch_app_diversity,2.744999999999996,True,>= 0
8,4,touch_click_event_count,-0.8649999999999998,False,not selected
8,4,touch_distinct_event_count,-0.8599999999999969,False,not selected
8,4,touch_scroll_direction_change_count,-0.4000000000000012,False,not selected
8,4,touch_scroll_event_count,-1.0150000000000041,True,<= 0
8,4,touch_scroll_index_change_median,-0.13499999999999535,False,not selected
8,4,touch_unique_app_count,0.11499999999999631,False,not selected
8,5,app_foreground_event_count,1.0949999999999975,False,not selected
8,5,app_use_diversity,-0.8799999999999985,False,not selected
8,5,unique_foreground_apps,0.45000000000000523,False,not selected
8,5,gsm_cell_transition_count,1.9000000000000177,True,>= 0
8,5,unique_gsm_cell_count,1.5750000000000168,False,not selected
8,5,keyboard_deletion_event_count,1.375000000000007,False,not selected
8,5,keyboard_inter_event_interval_iqr_ms,1.4500000000000057,False,not selected
8,5,keyboard_long_pause_count_2s,2.2500000000000187,True,>= 0
8,5,keyboard_median_inter_event_interval_ms,-0.7699999999999948,False,not selected
8,5,keyboard_typing_burst_count,0.7500000000000163,False,not selected
8,5,message_distinct_event_count,1.9000000000000101,True,>= 0
8,5,activity_active_hour_count,1.209999999999994,False,not selected
8,5,activity_state_diversity,-0.3299999999999955,False,not selected
8,5,activity_still_fraction,0.26000000000000545,False,not selected
8,5,activity_transition_count,0.7700000000000103,False,not selected
8,5,activity_unknown_fraction,-0.9299999999999998,True,<= 0
8,5,median_unlocked_session_duration_seconds,-1.115000000000002,True,<= 0
8,5,screen_active_hour_count,0.5099999999999945,False,not selected
8,5,screen_event_count,0.5150000000000001,False,not selected
8,5,screen_off_event_count,0.48499999999999766,False,not selected
8,5,screen_on_event_count,0.5700000000000046,False,not selected
8,5,screen_transition_count,-0.8449999999999956,False,not selected
8,5,screen_unlock_event_count,1.9149999999999965,True,>= 0
8,5,telephony_event_count,-0.439999999999994,False,not selected
8,5,telephony_mobile_data_enabled_fraction,-2.7999999999999985,True,<= 0
