repeat,fold,term_name,coefficient,constraint,alpha
1,1,telephony_network_type_diversity,0.23189570598390374,>= 0,117.21022975334817
1,1,screen_unlock_event_count,0.5232384207899426,>= 0,117.21022975334817
1,1,touch_scroll_index_change_median,0.269533341133857,>= 0,117.21022975334817
1,1,screen_off_event_count,0.4757534814667262,>= 0,117.21022975334817
1,1,touch_app_diversity,1.7149997170652794e-12,>= 0,117.21022975334817
1,1,telephony_mobile_data_enabled_fraction,-0.532065483684115,<= 0,117.21022975334817
1,1,activity_unknown_fraction,-0.17144541646435324,<= 0,117.21022975334817
1,1,keyboard_median_inter_event_interval_ms,-0.10483607858943665,<= 0,117.21022975334817
1,1,missing__telephony_network_type_diversity,0.3059598163680583,unconstrained,117.21022975334817
1,1,missing__screen_unlock_event_count,0.37530929912047284,unconstrained,117.21022975334817
1,1,missing__touch_scroll_index_change_median,0.04301939221747442,unconstrained,117.21022975334817
1,1,missing__screen_off_event_count,0.3753092991204726,unconstrained,117.21022975334817
1,1,missing__touch_app_diversity,-0.14703681073074393,unconstrained,117.21022975334817
1,1,missing__telephony_mobile_data_enabled_fraction,0.30595981636805825,unconstrained,117.21022975334817
1,1,missing__activity_unknown_fraction,0.30595981636805814,unconstrained,117.21022975334817
1,1,missing__keyboard_median_inter_event_interval_ms,-0.33093960322775,unconstrained,117.21022975334817
1,2,activity_active_hour_count,0.04796599607205437,>= 0,22.122162910704503
1,2,keyboard_long_pause_count_2s,1.1592822125129927,>= 0,22.122162910704503
1,2,keyboard_deletion_event_count,0.5817877706351903,>= 0,22.122162910704503
1,2,screen_unlock_event_count,1.632009637141692,>= 0,22.122162910704503
1,2,touch_app_diversity,4.663976019050946e-24,>= 0,22.122162910704503
1,2,median_unlocked_session_duration_seconds,-1.016969122481482,<= 0,22.122162910704503
1,2,touch_distinct_event_count,-0.43209620521554803,<= 0,22.122162910704503
1,2,touch_scroll_event_count,-0.6280497903756586,<= 0,22.122162910704503
1,2,missing__activity_active_hour_count,1.203518146829519,unconstrained,22.122162910704503
1,2,missing__keyboard_long_pause_count_2s,-0.8496268333903384,unconstrained,22.122162910704503
1,2,missing__keyboard_deletion_event_count,-0.8496268333903382,unconstrained,22.122162910704503
1,2,missing__screen_unlock_event_count,1.427918767362313,unconstrained,22.122162910704503
1,2,missing__touch_app_diversity,-0.24817601951021037,unconstrained,22.122162910704503
1,2,missing__median_unlocked_session_duration_seconds,0.7238793765819328,unconstrained,22.122162910704503
1,2,missing__touch_distinct_event_count,-0.24817601951021082,unconstrained,22.122162910704503
1,2,missing__touch_scroll_event_count,-0.24817601951021037,unconstrained,22.122162910704503
1,3,message_distinct_event_count,0.5773580244949433,>= 0,117.21022975334817
1,3,activity_active_hour_count,0.27059555549143816,>= 0,117.21022975334817
1,3,keyboard_long_pause_count_2s,0.5873839867380557,>= 0,117.21022975334817
1,3,unique_gsm_cell_count,0.1275517464517443,>= 0,117.21022975334817
1,3,keyboard_deletion_event_count,0.19506040205365546,>= 0,117.21022975334817
1,3,telephony_mobile_data_enabled_fraction,-0.43863591965612886,<= 0,117.21022975334817
1,3,touch_scroll_event_count,-0.1141241474001386,<= 0,117.21022975334817
1,3,keyboard_median_inter_event_interval_ms,-0.08229936848080426,<= 0,117.21022975334817
1,3,missing__message_distinct_event_count,0.4345727343417834,unconstrained,117.21022975334817
1,3,missing__activity_active_hour_count,0.49146400798905054,unconstrained,117.21022975334817
1,3,missing__keyboard_long_pause_count_2s,-0.3201441023018082,unconstrained,117.21022975334817
1,3,missing__unique_gsm_cell_count,0.49146400798905054,unconstrained,117.21022975334817
1,3,missing__keyboard_deletion_event_count,-0.32014410230180834,unconstrained,117.21022975334817
1,3,missing__telephony_mobile_data_enabled_fraction,0.4914640079890506,unconstrained,117.21022975334817
1,3,missing__touch_scroll_event_count,-0.052057295391190236,unconstrained,117.21022975334817
1,3,missing__keyboard_median_inter_event_interval_ms,-0.3201441023018077,unconstrained,117.21022975334817
1,4,touch_active_hour_count,1.6528624891154995,>= 0,22.122162910704503
1,4,touch_app_diversity,3.53770558590876e-18,>= 0,22.122162910704503
1,4,screen_unlock_event_count,0.9063253713411187,>= 0,22.122162910704503
1,4,touch_unique_app_count,0.5256616577623379,>= 0,22.122162910704503
1,4,activity_active_hour_count,0.16283546854567021,>= 0,22.122162910704503
1,4,activity_unknown_fraction,-1.840811106443554,<= 0,22.122162910704503
1,4,median_unlocked_session_duration_seconds,-1.291635218261939,<= 0,22.122162910704503
1,4,keyboard_median_inter_event_interval_ms,-0.6622614921244964,<= 0,22.122162910704503
1,4,missing__touch_active_hour_count,-0.6128062346457392,unconstrained,22.122162910704503
1,4,missing__touch_app_diversity,-0.6128062346457394,unconstrained,22.122162910704503
1,4,missing__screen_unlock_event_count,0.6939639283588733,unconstrained,22.122162910704503
1,4,missing__touch_unique_app_count,-0.6128062346457388,unconstrained,22.122162910704503
1,4,missing__activity_active_hour_count,0.6939639283588752,unconstrained,22.122162910704503
1,4,missing__activity_unknown_fraction,0.693963928358875,unconstrained,22.122162910704503
1,4,missing__median_unlocked_session_duration_seconds,1.0166261470449633,unconstrained,22.122162910704503
1,4,missing__keyboard_median_inter_event_interval_ms,-0.12014185816927914,unconstrained,22.122162910704503
1,5,keyboard_deletion_event_count,0.12175701733493774,>= 0,204.33597178569437
1,5,touch_app_diversity,0.45366992002324175,>= 0,204.33597178569437
1,5,unique_gsm_cell_count,0.11995971133952085,>= 0,204.33597178569437
1,5,keyboard_long_pause_count_2s,0.20736428273525437,>= 0,204.33597178569437
1,5,gsm_cell_transition_count,0.024021151869877234,>= 0,204.33597178569437
1,5,median_unlocked_session_duration_seconds,-0.05682204278609492,<= 0,204.33597178569437
1,5,telephony_event_count,-3.0739370405990714e-17,<= 0,204.33597178569437
1,5,touch_scroll_event_count,-4.536634112296722e-17,<= 0,204.33597178569437
1,5,missing__keyboard_deletion_event_count,-0.20601765407758382,unconstrained,204.33597178569437
1,5,missing__touch_app_diversity,0.004160121207619433,unconstrained,204.33597178569437
1,5,missing__unique_gsm_cell_count,0.19708246289051884,unconstrained,204.33597178569437
1,5,missing__keyboard_long_pause_count_2s,-0.20601765407758374,unconstrained,204.33597178569437
1,5,missing__gsm_cell_transition_count,0.1970824628905189,unconstrained,204.33597178569437
1,5,missing__median_unlocked_session_duration_seconds,0.26547356926821125,unconstrained,204.33597178569437
1,5,missing__telephony_event_count,0.1970824628905189,unconstrained,204.33597178569437
1,5,missing__touch_scroll_event_count,0.004160121207619618,unconstrained,204.33597178569437
2,1,activity_transition_count,0.6447009756222659,>= 0,22.122162910704503
2,1,keyboard_long_pause_count_2s,1.2012978738591058,>= 0,22.122162910704503
2,1,app_foreground_event_count,0.14516760870884804,>= 0,22.122162910704503
2,1,screen_unlock_event_count,1.4681836245362772,>= 0,22.122162910704503
2,1,touch_app_diversity,0.42397865287198566,>= 0,22.122162910704503
2,1,telephony_mobile_data_enabled_fraction,-0.8561771957064465,<= 0,22.122162910704503
2,1,touch_scroll_event_count,-0.5936124200639814,<= 0,22.122162910704503
2,1,median_unlocked_session_duration_seconds,-0.6758844176181518,<= 0,22.122162910704503
2,1,missing__activity_transition_count,0.6956942461302958,unconstrained,22.122162910704503
2,1,missing__keyboard_long_pause_count_2s,-0.3380625158228571,unconstrained,22.122162910704503
2,1,missing__app_foreground_event_count,0.7164435039652957,unconstrained,22.122162910704503
2,1,missing__screen_unlock_event_count,0.9196439249452437,unconstrained,22.122162910704503
2,1,missing__touch_app_diversity,-0.8020567146715423,unconstrained,22.122162910704503
2,1,missing__telephony_mobile_data_enabled_fraction,0.6956942461302952,unconstrained,22.122162910704503
2,1,missing__touch_scroll_event_count,-0.8020567146715427,unconstrained,22.122162910704503
2,1,missing__median_unlocked_session_duration_seconds,0.596344485030395,unconstrained,22.122162910704503
2,2,keyboard_deletion_event_count,0.07227122654561426,>= 0,117.21022975334817
2,2,touch_unique_app_count,0.3981521393369842,>= 0,117.21022975334817
2,2,touch_active_hour_count,0.48740146330363643,>= 0,117.21022975334817
2,2,touch_app_diversity,1.5812357358777912e-15,>= 0,117.21022975334817
2,2,screen_active_hour_count,0.29881788460920977,>= 0,117.21022975334817
2,2,median_unlocked_session_duration_seconds,-0.06571164449380922,<= 0,117.21022975334817
2,2,keyboard_median_inter_event_interval_ms,-0.15340330713872358,<= 0,117.21022975334817
2,2,telephony_event_count,-1.1264256068532737e-18,<= 0,117.21022975334817
2,2,missing__keyboard_deletion_event_count,-0.23332968437782275,unconstrained,117.21022975334817
2,2,missing__touch_unique_app_count,0.09685367938189533,unconstrained,117.21022975334817
2,2,missing__touch_active_hour_count,0.09685367938189526,unconstrained,117.21022975334817
2,2,missing__touch_app_diversity,0.09685367938189539,unconstrained,117.21022975334817
2,2,missing__screen_active_hour_count,0.5917990345280966,unconstrained,117.21022975334817
2,2,missing__median_unlocked_session_duration_seconds,0.42633908841855184,unconstrained,117.21022975334817
2,2,missing__keyboard_median_inter_event_interval_ms,-0.2333296843778227,unconstrained,117.21022975334817
2,2,missing__telephony_event_count,0.4868358243154693,unconstrained,117.21022975334817
2,3,unique_gsm_lac_count,0.0041611567183598725,>= 0,10000.0
2,3,message_distinct_event_count,0.009930693942672705,>= 0,10000.0
2,3,touch_app_diversity,5.164129040597466e-13,>= 0,10000.0
2,3,activity_active_hour_count,0.006291202305007194,>= 0,10000.0
2,3,keyboard_long_pause_count_2s,0.005974936183650352,>= 0,10000.0
2,3,median_unlocked_session_duration_seconds,-0.0057623253223292835,<= 0,10000.0
2,3,screen_transition_count,-1.4739623346881613e-30,<= 0,10000.0
2,3,keyboard_median_inter_event_interval_ms,-0.0015550333129650147,<= 0,10000.0
2,3,missing__unique_gsm_lac_count,0.0068526579485243475,unconstrained,10000.0
2,3,missing__message_distinct_event_count,0.009368181834735633,unconstrained,10000.0
2,3,missing__touch_app_diversity,-0.0003699136918507874,unconstrained,10000.0
2,3,missing__activity_active_hour_count,0.006852657948524346,unconstrained,10000.0
2,3,missing__keyboard_long_pause_count_2s,-0.005282719346518849,unconstrained,10000.0
2,3,missing__median_unlocked_session_duration_seconds,0.007695441814533942,unconstrained,10000.0
2,3,missing__screen_transition_count,0.007869509639850858,unconstrained,10000.0
2,3,missing__keyboard_median_inter_event_interval_ms,-0.005282719346518856,unconstrained,10000.0
2,4,message_distinct_event_count,1.2514794507975566,>= 0,38.56620421163472
2,4,unique_gsm_cell_count,0.1053931198863402,>= 0,38.56620421163472
2,4,screen_off_event_count,0.5515666779838329,>= 0,38.56620421163472
2,4,screen_event_count,0.6255995159184383,>= 0,38.56620421163472
2,4,keyboard_long_pause_count_2s,0.7343549525217385,>= 0,38.56620421163472
2,4,telephony_mobile_data_enabled_fraction,-1.3933737780104332,<= 0,38.56620421163472
2,4,median_unlocked_session_duration_seconds,-0.914245638871275,<= 0,38.56620421163472
2,4,app_use_diversity,-9.208018448599685e-19,<= 0,38.56620421163472
2,4,missing__message_distinct_event_count,0.7070565669254077,unconstrained,38.56620421163472
2,4,missing__unique_gsm_cell_count,0.41757878850154234,unconstrained,38.56620421163472
2,4,missing__screen_off_event_count,0.5314524899079359,unconstrained,38.56620421163472
2,4,missing__screen_event_count,0.5314524899079357,unconstrained,38.56620421163472
2,4,missing__keyboard_long_pause_count_2s,-1.4618023153372797,unconstrained,38.56620421163472
2,4,missing__telephony_mobile_data_enabled_fraction,0.4175787885015425,unconstrained,38.56620421163472
2,4,missing__median_unlocked_session_duration_seconds,0.44126307309762347,unconstrained,38.56620421163472
2,4,missing__app_use_diversity,-0.4893794420132916,unconstrained,38.56620421163472
2,5,unique_gsm_cell_count,0.1323646699136241,>= 0,117.21022975334817
2,5,screen_off_event_count,0.4022224811814946,>= 0,117.21022975334817
2,5,message_distinct_event_count,0.50353460076998,>= 0,117.21022975334817
2,5,touch_active_hour_count,0.2736516081206232,>= 0,117.21022975334817
2,5,screen_unlock_event_count,0.5610506575015703,>= 0,117.21022975334817
2,5,activity_unknown_fraction,-0.47867776863975153,<= 0,117.21022975334817
2,5,telephony_mobile_data_enabled_fraction,-0.19231763732258914,<= 0,117.21022975334817
2,5,touch_distinct_event_count,-0.0802249118516576,<= 0,117.21022975334817
2,5,missing__unique_gsm_cell_count,0.3390968412480445,unconstrained,117.21022975334817
2,5,missing__screen_off_event_count,0.3390968412480449,unconstrained,117.21022975334817
2,5,missing__message_distinct_event_count,0.3969651038187704,unconstrained,117.21022975334817
2,5,missing__touch_active_hour_count,-0.1905995169068142,unconstrained,117.21022975334817
2,5,missing__screen_unlock_event_count,0.33909684124804484,unconstrained,117.21022975334817
2,5,missing__activity_unknown_fraction,0.3390968412480446,unconstrained,117.21022975334817
2,5,missing__telephony_mobile_data_enabled_fraction,0.33909684124804446,unconstrained,117.21022975334817
2,5,missing__touch_distinct_event_count,-0.19059951690681404,unconstrained,117.21022975334817
3,1,touch_scroll_index_change_median,1.040398460712897,>= 0,38.56620421163472
3,1,telephony_network_type_diversity,0.08403876517864446,>= 0,38.56620421163472
3,1,screen_unlock_event_count,0.5768081164551271,>= 0,38.56620421163472
3,1,activity_active_hour_count,3.310390404039619e-12,>= 0,38.56620421163472
3,1,screen_off_event_count,0.7120686813829991,>= 0,38.56620421163472
3,1,median_unlocked_session_duration_seconds,-0.645315766806244,<= 0,38.56620421163472
3,1,touch_distinct_event_count,-6.63275587139091e-18,<= 0,38.56620421163472
3,1,activity_unknown_fraction,-0.6873766167675333,<= 0,38.56620421163472
3,1,missing__touch_scroll_index_change_median,-0.5636140287562245,unconstrained,38.56620421163472
3,1,missing__telephony_network_type_diversity,0.4783114128714112,unconstrained,38.56620421163472
3,1,missing__screen_unlock_event_count,0.6068427241468021,unconstrained,38.56620421163472
3,1,missing__activity_active_hour_count,0.47831141287140994,unconstrained,38.56620421163472
3,1,missing__screen_off_event_count,0.6068427241468022,unconstrained,38.56620421163472
3,1,missing__median_unlocked_session_duration_seconds,0.45565466379241687,unconstrained,38.56620421163472
3,1,missing__touch_distinct_event_count,-1.4883904167010993,unconstrained,38.56620421163472
3,1,missing__activity_unknown_fraction,0.47831141287141116,unconstrained,38.56620421163472
3,2,keyboard_deletion_event_count,0.8490773293334162,>= 0,67.23357536499334
3,2,message_distinct_event_count,0.7271107878101626,>= 0,67.23357536499334
3,2,gsm_cell_transition_count,3.1500402574030006e-19,>= 0,67.23357536499334
3,2,keyboard_long_pause_count_2s,0.5764305449047487,>= 0,67.23357536499334
3,2,keyboard_typing_burst_count,0.47158697028667407,>= 0,67.23357536499334
3,2,keyboard_median_inter_event_interval_ms,-3.1306382191476865e-19,<= 0,67.23357536499334
3,2,median_unlocked_session_duration_seconds,-1.218386135941352e-15,<= 0,67.23357536499334
3,2,touch_distinct_event_count,-2.243965064417483e-19,<= 0,67.23357536499334
3,2,missing__keyboard_deletion_event_count,-0.15204558128753046,unconstrained,67.23357536499334
3,2,missing__message_distinct_event_count,0.4724405017437949,unconstrained,67.23357536499334
3,2,missing__gsm_cell_transition_count,0.7715453995376386,unconstrained,67.23357536499334
3,2,missing__keyboard_long_pause_count_2s,-0.15204558128753035,unconstrained,67.23357536499334
3,2,missing__keyboard_typing_burst_count,-0.15204558128753057,unconstrained,67.23357536499334
3,2,missing__keyboard_median_inter_event_interval_ms,-0.15204558128753082,unconstrained,67.23357536499334
3,2,missing__median_unlocked_session_duration_seconds,0.6541605296972527,unconstrained,67.23357536499334
3,2,missing__touch_distinct_event_count,0.2860452954979517,unconstrained,67.23357536499334
3,3,keyboard_long_pause_count_2s,0.4383023482589783,>= 0,67.23357536499334
3,3,screen_unlock_event_count,0.728655293263697,>= 0,67.23357536499334
3,3,screen_off_event_count,0.4678892185769136,>= 0,67.23357536499334
3,3,activity_active_hour_count,0.3882440958610643,>= 0,67.23357536499334
3,3,touch_unique_app_count,0.25908027819365426,>= 0,67.23357536499334
3,3,telephony_mobile_data_enabled_fraction,-0.5639022855254745,<= 0,67.23357536499334
3,3,keyboard_median_inter_event_interval_ms,-0.4476473002270411,<= 0,67.23357536499334
3,3,activity_unknown_fraction,-0.29591539483006957,<= 0,67.23357536499334
3,3,missing__keyboard_long_pause_count_2s,-0.765457053200876,unconstrained,67.23357536499334
3,3,missing__screen_unlock_event_count,0.4402347218716718,unconstrained,67.23357536499334
3,3,missing__screen_off_event_count,0.4402347218716714,unconstrained,67.23357536499334
3,3,missing__activity_active_hour_count,0.3971903898768751,unconstrained,67.23357536499334
3,3,missing__touch_unique_app_count,-0.3494278158818918,unconstrained,67.23357536499334
3,3,missing__telephony_mobile_data_enabled_fraction,0.39719038987687544,unconstrained,67.23357536499334
3,3,missing__keyboard_median_inter_event_interval_ms,-0.7654570532008758,unconstrained,67.23357536499334
3,3,missing__activity_unknown_fraction,0.39719038987687516,unconstrained,67.23357536499334
3,4,message_distinct_event_count,0.008961325691486109,>= 0,10000.0
3,4,keyboard_long_pause_count_2s,0.007793200925231361,>= 0,10000.0
3,4,touch_active_hour_count,0.01074743770189239,>= 0,10000.0
3,4,unique_gsm_cell_count,0.004487289666617266,>= 0,10000.0
3,4,touch_app_diversity,0.0027923540167914436,>= 0,10000.0
3,4,telephony_mobile_data_enabled_fraction,-0.005259240648609134,<= 0,10000.0
3,4,median_unlocked_session_duration_seconds,-0.0036481635808670474,<= 0,10000.0
3,4,keyboard_median_inter_event_interval_ms,-0.0015319477348895493,<= 0,10000.0
3,4,missing__message_distinct_event_count,0.010930310874860563,unconstrained,10000.0
3,4,missing__keyboard_long_pause_count_2s,-0.0009176664636522165,unconstrained,10000.0
3,4,missing__touch_active_hour_count,0.0033052322985365197,unconstrained,10000.0
