Subject_ID_N,Subject_ID_D,device_id,device_episode_index,n_devices_for_subject,table_name,window_name,window_start_ms,window_end_ms,table_has_data,n_raw_rows,n_active_days,extraction_status,error_message,screen_event_count,active_screen_days,night_screen_event_count,screen_events_per_active_day,app_foreground_event_count,active_app_days,unique_foreground_apps,app_use_diversity,app_events_per_active_day,aware_log_rows,aware_log_active_days,data_logging_coverage_days,system_log_density,json_parse_errors
82,093,7dbb6700-04f4-4492-a0fe-23253c23ff39,1,1,screen,early_window,1741212000000,1741816800000,True,211,3.0,ok_has_data,,211.0,3.0,34.0,70.33333333333333,,,,,,,,,,0
82,093,7dbb6700-04f4-4492-a0fe-23253c23ff39,1,1,screen,late_window,1757538000000,1758142800000,False,0,,ok_no_data,,,,,,,,,,,,,,,0
82,093,7dbb6700-04f4-4492-a0fe-23253c23ff39,1,1,applications_foreground,early_window,1741212000000,1741816800000,True,354,2.0,ok_has_data,,,,,,354.0,2.0,12.0,2.6778174805826787,177.0,,,,,0
82,093,7dbb6700-04f4-4492-a0fe-23253c23ff39,1,1,applications_foreground,late_window,1757538000000,1758142800000,False,0,,ok_no_data,,,,,,,,,,,,,,,0
82,093,7dbb6700-04f4-4492-a0fe-23253c23ff39,1,1,aware_log,early_window,1741212000000,1741816800000,True,25744,7.0,ok_has_data,,,,,,,,,,,25744.0,7.0,7.0,3677.714285714286,0
82,093,7dbb6700-04f4-4492-a0fe-23253c23ff39,1,1,aware_log,late_window,1757538000000,1758142800000,False,0,,ok_no_data,,,,,,,,,,,,,,,0
40,062,358c4427-b62c-4a51-8a8f-748e7cc05ced,1,3,screen,early_window,1736978400000,1737583200000,True,610,5.0,ok_has_data,,610.0,5.0,124.0,122.0,,,,,,,,,,0
40,062,358c4427-b62c-4a51-8a8f-748e7cc05ced,1,3,screen,late_window,1757365200000,1757970000000,False,0,,ok_no_data,,,,,,,,,,,,,,,0
40,062,358c4427-b62c-4a51-8a8f-748e7cc05ced,1,3,applications_foreground,early_window,1736978400000,1737583200000,True,706,4.0,ok_has_data,,,,,,706.0,4.0,19.0,3.8052335226383915,176.5,,,,,0
40,062,358c4427-b62c-4a51-8a8f-748e7cc05ced,1,3,applications_foreground,late_window,1757365200000,1757970000000,False,0,,ok_no_data,,,,,,,,,,,,,,,0
40,062,358c4427-b62c-4a51-8a8f-748e7cc05ced,1,3,aware_log,early_window,1736978400000,1737583200000,True,8106,7.0,ok_has_data,,,,,,,,,,,8106.0,7.0,7.0,1158.0,0
40,062,358c4427-b62c-4a51-8a8f-748e7cc05ced,1,3,aware_log,late_window,1757365200000,1757970000000,False,0,,ok_no_data,,,,,,,,,,,,,,,0
40,062,b8abe44e-8a03-4fc1-adb4-1c98b27b9822,2,3,screen,early_window,1736978400000,1737583200000,False,0,,ok_no_data,,,,,,,,,,,,,,,0
40,062,b8abe44e-8a03-4fc1-adb4-1c98b27b9822,2,3,screen,late_window,1757365200000,1757970000000,False,0,,ok_no_data,,,,,,,,,,,,,,,0
40,062,b8abe44e-8a03-4fc1-adb4-1c98b27b9822,2,3,applications_foreground,early_window,1736978400000,1737583200000,False,0,,ok_no_data,,,,,,,,,,,,,,,0
40,062,b8abe44e-8a03-4fc1-adb4-1c98b27b9822,2,3,applications_foreground,late_window,1757365200000,1757970000000,False,0,,ok_no_data,,,,,,,,,,,,,,,0
40,062,b8abe44e-8a03-4fc1-adb4-1c98b27b9822,2,3,aware_log,early_window,1736978400000,1737583200000,False,0,,ok_no_data,,,,,,,,,,,,,,,0
40,062,b8abe44e-8a03-4fc1-adb4-1c98b27b9822,2,3,aware_log,late_window,1757365200000,1757970000000,False,0,,ok_no_data,,,,,,,,,,,,,,,0
40,062,d3933de9-24b5-4b1d-910e-a4b479b1931a,3,3,screen,early_window,1736978400000,1737583200000,False,0,,ok_no_data,,,,,,,,,,,,,,,0
40,062,d3933de9-24b5-4b1d-910e-a4b479b1931a,3,3,screen,late_window,1757365200000,1757970000000,False,0,,ok_no_data,,,,,,,,,,,,,,,0
40,062,d3933de9-24b5-4b1d-910e-a4b479b1931a,3,3,applications_foreground,early_window,1736978400000,1737583200000,False,0,,ok_no_data,,,,,,,,,,,,,,,0
40,062,d3933de9-24b5-4b1d-910e-a4b479b1931a,3,3,applications_foreground,late_window,1757365200000,1757970000000,False,0,,ok_no_data,,,,,,,,,,,,,,,0
40,062,d3933de9-24b5-4b1d-910e-a4b479b1931a,3,3,aware_log,early_window,1736978400000,1737583200000,False,0,,ok_no_data,,,,,,,,,,,,,,,0
40,062,d3933de9-24b5-4b1d-910e-a4b479b1931a,3,3,aware_log,late_window,1757365200000,1757970000000,False,0,,ok_no_data,,,,,,,,,,,,,,,0
68,024,ea530d49-d351-4456-8892-510264486b17,1,2,screen,early_window,1738015200000,1738620000000,False,0,,ok_no_data,,,,,,,,,,,,,,,0
68,024,ea530d49-d351-4456-8892-510264486b17,1,2,screen,late_window,1757278800000,1757883600000,True,20,1.0,ok_has_data,,20.0,1.0,20.0,20.0,,,,,,,,,,0
68,024,ea530d49-d351-4456-8892-510264486b17,1,2,applications_foreground,early_window,1738015200000,1738620000000,False,0,,ok_no_data,,,,,,,,,,,,,,,0
68,024,ea530d49-d351-4456-8892-510264486b17,1,2,applications_foreground,late_window,1757278800000,1757883600000,True,1,1.0,ok_has_data,,,,,,1.0,1.0,1.0,0.0,1.0,,,,,0
68,024,ea530d49-d351-4456-8892-510264486b17,1,2,aware_log,early_window,1738015200000,1738620000000,False,0,,ok_no_data,,,,,,,,,,,,,,,0
68,024,ea530d49-d351-4456-8892-510264486b17,1,2,aware_log,late_window,1757278800000,1757883600000,True,68897,7.0,ok_has_data,,,,,,,,,,,68897.0,7.0,7.0,9842.42857142857,0
68,024,f3b5cf93-5f92-4d02-be6e-4f0c6e5d2042,2,2,screen,early_window,1738015200000,1738620000000,True,428,3.0,ok_has_data,,428.0,3.0,50.0,142.66666666666666,,,,,,,,,,0
68,024,f3b5cf93-5f92-4d02-be6e-4f0c6e5d2042,2,2,screen,late_window,1757278800000,1757883600000,False,0,,ok_no_data,,,,,,,,,,,,,,,0
68,024,f3b5cf93-5f92-4d02-be6e-4f0c6e5d2042,2,2,applications_foreground,early_window,1738015200000,1738620000000,True,386,3.0,ok_has_data,,,,,,386.0,3.0,13.0,2.842764305932299,128.66666666666666,,,,,0
68,024,f3b5cf93-5f92-4d02-be6e-4f0c6e5d2042,2,2,applications_foreground,late_window,1757278800000,1757883600000,False,0,,ok_no_data,,,,,,,,,,,,,,,0
68,024,f3b5cf93-5f92-4d02-be6e-4f0c6e5d2042,2,2,aware_log,early_window,1738015200000,1738620000000,True,9375,7.0,ok_has_data,,,,,,,,,,,9375.0,7.0,7.0,1339.2857142857142,0
68,024,f3b5cf93-5f92-4d02-be6e-4f0c6e5d2042,2,2,aware_log,late_window,1757278800000,1757883600000,False,0,,ok_no_data,,,,,,,,,,,,,,,0
72,087,5013dc15-16ee-47df-876b-349a95732edb,1,3,screen,early_window,1738620000000,1739224800000,False,0,,ok_no_data,,,,,,,,,,,,,,,0
72,087,5013dc15-16ee-47df-876b-349a95732edb,1,3,screen,late_window,1757538000000,1758142800000,False,0,,ok_no_data,,,,,,,,,,,,,,,0
72,087,5013dc15-16ee-47df-876b-349a95732edb,1,3,applications_foreground,early_window,1738620000000,1739224800000,False,0,,ok_no_data,,,,,,,,,,,,,,,0
72,087,5013dc15-16ee-47df-876b-349a95732edb,1,3,applications_foreground,late_window,1757538000000,1758142800000,False,0,,ok_no_data,,,,,,,,,,,,,,,0
72,087,5013dc15-16ee-47df-876b-349a95732edb,1,3,aware_log,early_window,1738620000000,1739224800000,False,0,,ok_no_data,,,,,,,,,,,,,,,0
72,087,5013dc15-16ee-47df-876b-349a95732edb,1,3,aware_log,late_window,1757538000000,1758142800000,False,0,,ok_no_data,,,,,,,,,,,,,,,0
72,087,52edeca1-615e-4163-832e-ba395caaa2eb,2,3,screen,early_window,1738620000000,1739224800000,True,875,2.0,ok_has_data,,875.0,2.0,0.0,437.5,,,,,,,,,,0
72,087,52edeca1-615e-4163-832e-ba395caaa2eb,2,3,screen,late_window,1757538000000,1758142800000,False,0,,ok_no_data,,,,,,,,,,,,,,,0
