Subject_ID_N,Subject_ID_D,device_id,device_episode_index,n_devices_for_subject,table_name,window_name,window_start_ms,window_end_ms,table_has_data,n_raw_rows,n_active_days,extraction_status,error_message,json_parse_errors,keyboard_event_count,active_keyboard_days,keyboard_events_per_active_day,touch_event_count,active_touch_days,touch_events_per_active_day,activity_event_count,active_activity_days,still_event_count,walking_event_count,in_vehicle_event_count,activity_diversity,high_confidence_activity_event_count,mean_activity_confidence
82,093,7dbb6700-04f4-4492-a0fe-23253c23ff39,1,1,plugin_google_activity_recognition,early_window,1741212000000,1741816800000,True,1404,7.0,ok_has_data,,0,,,,,,,1404.0,7.0,690.0,0.0,80.0,1.8369175362228676,975.0,79.7094017094017
82,093,7dbb6700-04f4-4492-a0fe-23253c23ff39,1,1,plugin_google_activity_recognition,late_window,1757538000000,1758142800000,False,0,,ok_no_data,,0,,,,,,,,,,,,,,
40,062,358c4427-b62c-4a51-8a8f-748e7cc05ced,1,3,keyboard,early_window,1736978400000,1737583200000,True,2948,1.0,ok_has_data,,0,2948.0,1.0,2948.0,,,,,,,,,,,
40,062,358c4427-b62c-4a51-8a8f-748e7cc05ced,1,3,keyboard,late_window,1757365200000,1757970000000,False,0,,ok_no_data,,0,,,,,,,,,,,,,,
40,062,358c4427-b62c-4a51-8a8f-748e7cc05ced,1,3,touch,early_window,1736978400000,1737583200000,True,2334,3.0,ok_has_data,,0,,,,2334.0,3.0,778.0,,,,,,,,
40,062,358c4427-b62c-4a51-8a8f-748e7cc05ced,1,3,touch,late_window,1757365200000,1757970000000,False,0,,ok_no_data,,0,,,,,,,,,,,,,,
40,062,358c4427-b62c-4a51-8a8f-748e7cc05ced,1,3,plugin_google_activity_recognition,early_window,1736978400000,1737583200000,True,2443,7.0,ok_has_data,,0,,,,,,,2443.0,7.0,1006.0,0.0,316.0,2.103988154755752,1805.0,81.39787146950471
40,062,358c4427-b62c-4a51-8a8f-748e7cc05ced,1,3,plugin_google_activity_recognition,late_window,1757365200000,1757970000000,False,0,,ok_no_data,,0,,,,,,,,,,,,,,
40,062,b8abe44e-8a03-4fc1-adb4-1c98b27b9822,2,3,keyboard,early_window,1736978400000,1737583200000,False,0,,ok_no_data,,0,,,,,,,,,,,,,,
40,062,b8abe44e-8a03-4fc1-adb4-1c98b27b9822,2,3,keyboard,late_window,1757365200000,1757970000000,False,0,,ok_no_data,,0,,,,,,,,,,,,,,
40,062,b8abe44e-8a03-4fc1-adb4-1c98b27b9822,2,3,touch,early_window,1736978400000,1737583200000,False,0,,ok_no_data,,0,,,,,,,,,,,,,,
40,062,b8abe44e-8a03-4fc1-adb4-1c98b27b9822,2,3,touch,late_window,1757365200000,1757970000000,False,0,,ok_no_data,,0,,,,,,,,,,,,,,
40,062,b8abe44e-8a03-4fc1-adb4-1c98b27b9822,2,3,plugin_google_activity_recognition,early_window,1736978400000,1737583200000,False,0,,ok_no_data,,0,,,,,,,,,,,,,,
40,062,b8abe44e-8a03-4fc1-adb4-1c98b27b9822,2,3,plugin_google_activity_recognition,late_window,1757365200000,1757970000000,False,0,,ok_no_data,,0,,,,,,,,,,,,,,
40,062,d3933de9-24b5-4b1d-910e-a4b479b1931a,3,3,keyboard,early_window,1736978400000,1737583200000,False,0,,ok_no_data,,0,,,,,,,,,,,,,,
40,062,d3933de9-24b5-4b1d-910e-a4b479b1931a,3,3,keyboard,late_window,1757365200000,1757970000000,False,0,,ok_no_data,,0,,,,,,,,,,,,,,
40,062,d3933de9-24b5-4b1d-910e-a4b479b1931a,3,3,touch,early_window,1736978400000,1737583200000,False,0,,ok_no_data,,0,,,,,,,,,,,,,,
40,062,d3933de9-24b5-4b1d-910e-a4b479b1931a,3,3,touch,late_window,1757365200000,1757970000000,False,0,,ok_no_data,,0,,,,,,,,,,,,,,
40,062,d3933de9-24b5-4b1d-910e-a4b479b1931a,3,3,plugin_google_activity_recognition,early_window,1736978400000,1737583200000,False,0,,ok_no_data,,0,,,,,,,,,,,,,,
40,062,d3933de9-24b5-4b1d-910e-a4b479b1931a,3,3,plugin_google_activity_recognition,late_window,1757365200000,1757970000000,False,0,,ok_no_data,,0,,,,,,,,,,,,,,
68,024,ea530d49-d351-4456-8892-510264486b17,1,2,keyboard,early_window,1738015200000,1738620000000,False,0,,ok_no_data,,0,,,,,,,,,,,,,,
68,024,ea530d49-d351-4456-8892-510264486b17,1,2,keyboard,late_window,1757278800000,1757883600000,False,0,,ok_no_data,,0,,,,,,,,,,,,,,
68,024,ea530d49-d351-4456-8892-510264486b17,1,2,touch,early_window,1738015200000,1738620000000,False,0,,ok_no_data,,0,,,,,,,,,,,,,,
68,024,ea530d49-d351-4456-8892-510264486b17,1,2,touch,late_window,1757278800000,1757883600000,False,0,,ok_no_data,,0,,,,,,,,,,,,,,
68,024,ea530d49-d351-4456-8892-510264486b17,1,2,plugin_google_activity_recognition,early_window,1738015200000,1738620000000,False,0,,ok_no_data,,0,,,,,,,,,,,,,,
68,024,ea530d49-d351-4456-8892-510264486b17,1,2,plugin_google_activity_recognition,late_window,1757278800000,1757883600000,True,476,6.0,ok_has_data,,0,,,,,,,476.0,6.0,264.0,0.0,21.0,1.6531609468693407,368.0,84.03781512605042
68,024,f3b5cf93-5f92-4d02-be6e-4f0c6e5d2042,2,2,keyboard,early_window,1738015200000,1738620000000,True,205,2.0,ok_has_data,,0,205.0,2.0,102.5,,,,,,,,,,,
68,024,f3b5cf93-5f92-4d02-be6e-4f0c6e5d2042,2,2,keyboard,late_window,1757278800000,1757883600000,False,0,,ok_no_data,,0,,,,,,,,,,,,,,
68,024,f3b5cf93-5f92-4d02-be6e-4f0c6e5d2042,2,2,touch,early_window,1738015200000,1738620000000,True,1521,3.0,ok_has_data,,0,,,,1521.0,3.0,507.0,,,,,,,,
68,024,f3b5cf93-5f92-4d02-be6e-4f0c6e5d2042,2,2,touch,late_window,1757278800000,1757883600000,False,0,,ok_no_data,,0,,,,,,,,,,,,,,
68,024,f3b5cf93-5f92-4d02-be6e-4f0c6e5d2042,2,2,plugin_google_activity_recognition,early_window,1738015200000,1738620000000,True,597,7.0,ok_has_data,,0,,,,,,,597.0,7.0,320.0,0.0,9.0,1.6734602328520332,461.0,84.21608040201005
68,024,f3b5cf93-5f92-4d02-be6e-4f0c6e5d2042,2,2,plugin_google_activity_recognition,late_window,1757278800000,1757883600000,False,0,,ok_no_data,,0,,,,,,,,,,,,,,
72,087,5013dc15-16ee-47df-876b-349a95732edb,1,3,keyboard,early_window,1738620000000,1739224800000,False,0,,ok_no_data,,0,,,,,,,,,,,,,,
72,087,5013dc15-16ee-47df-876b-349a95732edb,1,3,keyboard,late_window,1757538000000,1758142800000,False,0,,ok_no_data,,0,,,,,,,,,,,,,,
72,087,5013dc15-16ee-47df-876b-349a95732edb,1,3,touch,early_window,1738620000000,1739224800000,False,0,,ok_no_data,,0,,,,,,,,,,,,,,
72,087,5013dc15-16ee-47df-876b-349a95732edb,1,3,touch,late_window,1757538000000,1758142800000,False,0,,ok_no_data,,0,,,,,,,,,,,,,,
72,087,5013dc15-16ee-47df-876b-349a95732edb,1,3,plugin_google_activity_recognition,early_window,1738620000000,1739224800000,False,0,,ok_no_data,,0,,,,,,,,,,,,,,
72,087,5013dc15-16ee-47df-876b-349a95732edb,1,3,plugin_google_activity_recognition,late_window,1757538000000,1758142800000,False,0,,ok_no_data,,0,,,,,,,,,,,,,,
72,087,52edeca1-615e-4163-832e-ba395caaa2eb,2,3,keyboard,early_window,1738620000000,1739224800000,True,261,2.0,ok_has_data,,0,261.0,2.0,130.5,,,,,,,,,,,
72,087,52edeca1-615e-4163-832e-ba395caaa2eb,2,3,keyboard,late_window,1757538000000,1758142800000,False,0,,ok_no_data,,0,,,,,,,,,,,,,,
72,087,52edeca1-615e-4163-832e-ba395caaa2eb,2,3,touch,early_window,1738620000000,1739224800000,True,1160,2.0,ok_has_data,,0,,,,1160.0,2.0,580.0,,,,,,,,
72,087,52edeca1-615e-4163-832e-ba395caaa2eb,2,3,touch,late_window,1757538000000,1758142800000,False,0,,ok_no_data,,0,,,,,,,,,,,,,,
72,087,52edeca1-615e-4163-832e-ba395caaa2eb,2,3,plugin_google_activity_recognition,early_window,1738620000000,1739224800000,True,878,7.0,ok_has_data,,0,,,,,,,878.0,7.0,576.0,0.0,29.0,1.5187599783324914,742.0,89.19248291571753
