repeat,fold,feature,gradient_weight,extra_weight
1,1,app_foreground_event_count,1.1397175164448754,0.1397175164448754
1,1,app_use_diversity,1.1185978700300154,0.11859787003001543
1,1,unique_foreground_apps,1.0540226202915814,0.05402262029158145
1,1,gsm_cell_transition_count,1.046889987075674,0.046889987075674044
1,1,unique_gsm_cell_count,1.1132551995477642,0.1132551995477642
1,1,unique_gsm_lac_count,1.0340710121042165,0.03407101210421648
1,1,keyboard_deletion_event_count,1.0757533087423556,0.07575330874235564
1,1,keyboard_inter_event_interval_iqr_ms,1.090322954654737,0.09032295465473705
1,1,keyboard_long_pause_count_2s,1.0225962889731306,0.022596288973130596
1,1,keyboard_median_inter_event_interval_ms,1.1700638986168896,0.17006389861688964
1,1,keyboard_typing_burst_count,1.0547518423858793,0.05475184238587927
1,1,message_distinct_event_count,1.006361563270941,0.006361563270941062
1,1,outgoing_message_count,1.119765378597823,0.11976537859782299
1,1,activity_active_hour_count,1.1268291875702294,0.12682918757022943
1,1,activity_state_diversity,1.080493557520616,0.08049355752061604
1,1,activity_still_fraction,1.0729398096598703,0.07293980965987035
1,1,activity_transition_count,1.0337873636152295,0.03378736361522949
1,1,activity_unknown_fraction,1.1003178731732517,0.10031787317325169
1,1,median_unlocked_session_duration_seconds,1.0175342653962107,0.017534265396210724
1,1,night_screen_event_count,1.0135358589089496,0.013535858908949594
1,1,screen_active_hour_count,1.052762202426351,0.05276220242635099
1,1,screen_event_count,1.1946033559236262,0.1946033559236262
1,1,screen_off_event_count,1.1442416780444997,0.14424167804449972
1,1,screen_on_event_count,1.1649487885407444,0.16494878854074435
1,1,screen_transition_count,1.0701251137763608,0.07012511377636077
1,1,screen_unlock_event_count,1.2420421395112766,0.24204213951127662
1,1,telephony_event_count,1.101069829973869,0.10106982997386904
1,1,telephony_mobile_data_enabled_fraction,1.3644788790237117,0.3644788790237117
1,1,telephony_network_type_diversity,1.0726007345865347,0.07260073458653471
1,1,touch_active_hour_count,1.045953847220909,0.045953847220908894
1,1,touch_app_diversity,1.003225676407616,0.0032256764076159516
1,1,touch_click_event_count,1.0506854840357878,0.050685484035787765
1,1,touch_distinct_event_count,1.0584072582544461,0.05840725825444615
1,1,touch_scroll_direction_change_count,1.0346676925254519,0.034667692525451876
1,1,touch_scroll_event_count,1.0609072582625756,0.06090725826257559
1,1,touch_scroll_index_change_median,1.0689740815052977,0.06897408150529771
1,1,touch_unique_app_count,1.0178748420394155,0.017874842039415473
1,2,app_foreground_event_count,1.1392886239753122,0.13928862397531216
1,2,app_use_diversity,1.1034030233215035,0.10340302332150353
1,2,unique_foreground_apps,1.1046135438562432,0.10461354385624322
1,2,gsm_cell_transition_count,1.1159324348603832,0.11593243486038318
1,2,unique_gsm_cell_count,1.1830365305646295,0.18303653056462954
1,2,unique_gsm_lac_count,1.0828332568021275,0.0828332568021275
1,2,keyboard_deletion_event_count,1.0014825156068956,0.001482515606895607
1,2,keyboard_inter_event_interval_iqr_ms,1.1791174820364319,0.17911748203643185
1,2,keyboard_long_pause_count_2s,1.0762350498294389,0.07623504982943885
1,2,keyboard_median_inter_event_interval_ms,1.261108207995669,0.26110820799566903
1,2,keyboard_typing_burst_count,1.033364172914752,0.03336417291475202
1,2,message_distinct_event_count,1.0021127731924122,0.0021127731924122095
1,2,outgoing_message_count,1.11716961284912,0.11716961284911998
1,2,activity_active_hour_count,1.2172744184913697,0.21727441849136975
1,2,activity_state_diversity,1.09236042249168,0.09236042249168008
1,2,activity_still_fraction,1.0901596467994956,0.09015964679949562
1,2,activity_transition_count,1.1300826211129085,0.13008262111290847
1,2,activity_unknown_fraction,1.0816812486410796,0.08168124864107962
1,2,median_unlocked_session_duration_seconds,1.0701801203987553,0.07018012039875532
1,2,night_screen_event_count,1.067898505011288,0.06789850501128791
1,2,screen_active_hour_count,1.1326901313808009,0.13269013138080088
1,2,screen_event_count,1.0464846022199736,0.046484602219973636
1,2,screen_off_event_count,1.006477746632939,0.0064777466329390965
1,2,screen_on_event_count,1.0139453806659922,0.013945380665992158
1,2,screen_transition_count,1.0878965000686622,0.08789650006866223
1,2,screen_unlock_event_count,1.1204621590209887,0.12046215902098867
1,2,telephony_event_count,1.0101383652485527,0.010138365248552716
1,2,telephony_mobile_data_enabled_fraction,1.2768042068459409,0.27680420684594087
1,2,telephony_network_type_diversity,1.0576612635368101,0.057661263536810115
1,2,touch_active_hour_count,1.0838275502868442,0.08382755028684419
1,2,touch_app_diversity,1.0394938261062554,0.0394938261062554
1,2,touch_click_event_count,1.046562061623825,0.046562061623824924
1,2,touch_distinct_event_count,1.0028320661362584,0.0028320661362584154
1,2,touch_scroll_direction_change_count,1.0449405717875417,0.04494057178754174
1,2,touch_scroll_event_count,1.0216110019716709,0.021611001971670873
1,2,touch_scroll_index_change_median,1.0329340292856546,0.03293402928565459
1,2,touch_unique_app_count,1.038694561023173,0.038694561023173035
1,3,app_foreground_event_count,1.2086303516908454,0.20863035169084543
1,3,app_use_diversity,1.2411466480534055,0.24114664805340547
1,3,unique_foreground_apps,1.1603648166936507,0.16036481669365066
1,3,gsm_cell_transition_count,1.1562530056920728,0.1562530056920728
1,3,unique_gsm_cell_count,1.1980811310815498,0.1980811310815498
1,3,unique_gsm_lac_count,1.1061054804673076,0.10610548046730761
1,3,keyboard_deletion_event_count,1.0060698080156039,0.006069808015603861
1,3,keyboard_inter_event_interval_iqr_ms,1.1049510826352251,0.10495108263522512
1,3,keyboard_long_pause_count_2s,1.0878898019061645,0.08788980190616447
1,3,keyboard_median_inter_event_interval_ms,1.2157469940225245,0.2157469940225245
1,3,keyboard_typing_burst_count,1.0558564487008073,0.055856448700807304
1,3,message_distinct_event_count,1.1174581490983928,0.1174581490983928
1,3,outgoing_message_count,1.031302930644538,0.03130293064453804
1,3,activity_active_hour_count,1.1748195902491818,0.1748195902491818
1,3,activity_state_diversity,1.0898883319140615,0.08988833191406154
1,3,activity_still_fraction,1.0854585167889332,0.08545851678893324
1,3,activity_transition_count,1.0079367520991882,0.007936752099188205
1,3,activity_unknown_fraction,1.0209493340292526,0.020949334029252586
1,3,median_unlocked_session_duration_seconds,1.0985285540411862,0.09852855404118621
