analysis_scope,repeat,domain,model,n_predictions,rmse,mae,r2
repeat,14,Executive function,mean_baseline,81,11.48299123432911,9.336483262108262,-0.013337888877720694
repeat,14,Executive function,domain_group_ridge,81,11.324582343689473,9.099101222137362,0.01442744190649492
repeat,15,Executive function,mean_baseline,81,11.483951121916727,9.279804724596392,-0.013507310084508228
repeat,15,Executive function,domain_group_ridge,81,11.636147270814952,9.374583904832825,-0.040549232103097355
repeat,16,Executive function,mean_baseline,81,11.5622046675962,9.308591820987655,-0.02736678359209166
repeat,16,Executive function,domain_group_ridge,81,11.586447074061232,9.320025757184684,-0.03167944780115084
repeat,17,Executive function,mean_baseline,81,11.577746134995628,9.408825083095914,-0.030130533032994622
repeat,17,Executive function,domain_group_ridge,81,11.700115145564695,9.392040659670526,-0.05202118715078052
repeat,18,Executive function,mean_baseline,81,11.459297129721653,9.254765254036085,-0.009160342785059727
repeat,18,Executive function,domain_group_ridge,81,11.376053913797232,9.113834712929997,0.005447993470607981
repeat,19,Executive function,mean_baseline,81,11.519603066826148,9.280345738366574,-0.019809948377806252
repeat,19,Executive function,domain_group_ridge,81,11.566585136225543,9.298503445992134,-0.02814538950661505
repeat,20,Executive function,mean_baseline,81,11.448302165273278,9.258088793922129,-0.007224733833741004
repeat,20,Executive function,domain_group_ridge,81,11.261922511117293,9.057676367399303,0.025303774410788904
pooled,pooled,Executive function,mean_baseline,1620,11.419716072905375,9.230320438627729,-0.0022009894083481196
pooled,pooled,Executive function,domain_group_ridge,1620,11.681464874605151,9.427479639095186,-0.0486699650152842
repeat,1,Processing speed,mean_baseline,71,13.6611284752683,11.165302340357934,-0.019149528691427387
repeat,1,Processing speed,domain_group_ridge,71,13.832467156858312,11.383473412480331,-0.044874311595119565
repeat,2,Processing speed,mean_baseline,71,13.74369052296874,11.275589501923823,-0.0315053651242172
repeat,2,Processing speed,domain_group_ridge,71,14.028502319320442,11.606404843369498,-0.07470030778686887
repeat,3,Processing speed,mean_baseline,71,13.567254416710327,11.144680804122984,-0.005191239227434696
repeat,3,Processing speed,domain_group_ridge,71,13.931192121288506,11.829937305964663,-0.05984247268987142
repeat,4,Processing speed,mean_baseline,71,13.762466520248385,11.287688852412725,-0.034325680587404594
repeat,4,Processing speed,domain_group_ridge,71,13.912898449110532,11.250828961625439,-0.0570608470124947
repeat,5,Processing speed,mean_baseline,71,13.56063062333353,11.110344082036079,-0.004209971604214102
repeat,5,Processing speed,domain_group_ridge,71,13.64379750194252,11.179481236097637,-0.016565313268849913
repeat,6,Processing speed,mean_baseline,71,13.981191668149156,11.505297133679269,-0.06746374980209668
repeat,6,Processing speed,domain_group_ridge,71,14.275470643988696,12.208972919384433,-0.11287305471130615
repeat,7,Processing speed,mean_baseline,71,13.73686941013005,11.32689823149423,-0.030481729084107734
repeat,7,Processing speed,domain_group_ridge,71,13.779483918766772,11.49613017867697,-0.03688516576330403
repeat,8,Processing speed,mean_baseline,71,13.61342729644653,11.19356886935649,-0.01204473364517833
repeat,8,Processing speed,domain_group_ridge,71,13.992981162079763,11.571883526658265,-0.06926476415381844
repeat,9,Processing speed,mean_baseline,71,13.645384811893717,11.12448815701225,-0.016801860036765648
repeat,9,Processing speed,domain_group_ridge,71,13.480549342699028,11.087128863288783,0.007615579923988425
repeat,10,Processing speed,mean_baseline,71,13.651600176105383,11.22019838328215,-0.01772836130972899
repeat,10,Processing speed,domain_group_ridge,71,13.456917195908211,11.035171487048288,0.011091939412719576
repeat,11,Processing speed,mean_baseline,71,13.658922280778741,11.207864732253167,-0.01882038157550525
repeat,11,Processing speed,domain_group_ridge,71,13.212612627811215,11.01957391939099,0.046672411296190375
repeat,12,Processing speed,mean_baseline,71,13.70023243941097,11.26984935931378,-0.024992358515764312
repeat,12,Processing speed,domain_group_ridge,71,31.15772114750103,14.618916955299765,-4.301467813505267
repeat,13,Processing speed,mean_baseline,71,13.704035361069987,11.320855836775037,-0.02556147391698138
repeat,13,Processing speed,domain_group_ridge,71,13.898552103246837,11.495765212713527,-0.054881985165972536
repeat,14,Processing speed,mean_baseline,71,13.65655439585959,11.257625136785624,-0.018467170647375797
repeat,14,Processing speed,domain_group_ridge,71,13.453340017229692,11.15183877494471,0.01161762157314461
repeat,15,Processing speed,mean_baseline,71,13.984610396829764,11.449730841187474,-0.06798585338262986
repeat,15,Processing speed,domain_group_ridge,71,14.14653868800444,11.498223783123883,-0.0928615334045444
repeat,16,Processing speed,mean_baseline,71,13.540049416417943,11.090617388541778,-0.00116407059794299
repeat,16,Processing speed,domain_group_ridge,71,13.555193801527526,11.220050515338377,-0.0034049034107699327
repeat,17,Processing speed,mean_baseline,71,13.991750570365836,11.438252320943201,-0.06907670265580745
repeat,17,Processing speed,domain_group_ridge,71,13.764576927192008,11.266757939177786,-0.03464292247999845
repeat,18,Processing speed,mean_baseline,71,13.932478851172345,11.36567210279219,-0.06003826267671486
repeat,18,Processing speed,domain_group_ridge,71,13.834519307093577,11.555466744349644,-0.045184364472458105
repeat,19,Processing speed,mean_baseline,71,13.663103750723442,11.243952751597305,-0.0194442695821051
