analysis_scope,repeat,domain,model,n_predictions,rmse,mae,r2
repeat,14,Executive function,mean_baseline,81,11.48299123432911,9.336483262108262,-0.013337888877720694
repeat,14,Executive function,domain_group_ridge,81,11.621637972746726,9.402805711168195,-0.03795589500132457
repeat,15,Executive function,mean_baseline,81,11.483951121916727,9.279804724596392,-0.013507310084508228
repeat,15,Executive function,domain_group_ridge,81,11.732283946154956,9.549113842062422,-0.05781408457922543
repeat,16,Executive function,mean_baseline,81,11.5622046675962,9.308591820987655,-0.02736678359209166
repeat,16,Executive function,domain_group_ridge,81,12.057968884284504,9.753349953395485,-0.117358487745306
repeat,17,Executive function,mean_baseline,81,11.577746134995628,9.408825083095914,-0.030130533032994622
repeat,17,Executive function,domain_group_ridge,81,11.60676132353348,9.519258446618833,-0.03530025855551355
repeat,18,Executive function,mean_baseline,81,11.459297129721653,9.254765254036085,-0.009160342785059727
repeat,18,Executive function,domain_group_ridge,81,11.52512103237408,9.445022464684767,-0.020787173700425488
repeat,19,Executive function,mean_baseline,81,11.519603066826148,9.280345738366574,-0.019809948377806252
repeat,19,Executive function,domain_group_ridge,81,11.715836301486773,9.583835063322693,-0.05485023633984221
repeat,20,Executive function,mean_baseline,81,11.448302165273278,9.258088793922129,-0.007224733833741004
repeat,20,Executive function,domain_group_ridge,81,11.5899298165616,9.571141607981916,-0.0322997611471485
pooled,pooled,Executive function,mean_baseline,1620,11.419716072905375,9.230320438627729,-0.0022009894083481196
pooled,pooled,Executive function,domain_group_ridge,1620,11.46512620019871,9.285958792505475,-0.010187275384718975
repeat,1,Processing speed,mean_baseline,71,13.6611284752683,11.165302340357934,-0.019149528691427387
repeat,1,Processing speed,domain_group_ridge,71,14.151804477382111,11.543325439313946,-0.09367528012184012
repeat,2,Processing speed,mean_baseline,71,13.74369052296874,11.275589501923823,-0.0315053651242172
repeat,2,Processing speed,domain_group_ridge,71,14.433826011779377,11.751964768615752,-0.13769981773773332
repeat,3,Processing speed,mean_baseline,71,13.567254416710327,11.144680804122984,-0.005191239227434696
repeat,3,Processing speed,domain_group_ridge,71,13.48324423667656,10.916924281689639,0.007218765514495296
repeat,4,Processing speed,mean_baseline,71,13.762466520248385,11.287688852412725,-0.034325680587404594
repeat,4,Processing speed,domain_group_ridge,71,14.65875868791723,11.841752839663275,-0.17343529727951745
repeat,5,Processing speed,mean_baseline,71,13.56063062333353,11.110344082036079,-0.004209971604214102
repeat,5,Processing speed,domain_group_ridge,71,14.198684992366449,11.205538281814542,-0.10093329228745507
repeat,6,Processing speed,mean_baseline,71,13.981191668149156,11.505297133679269,-0.06746374980209668
repeat,6,Processing speed,domain_group_ridge,71,15.251580723833925,12.312238182115651,-0.2702654097890096
repeat,7,Processing speed,mean_baseline,71,13.73686941013005,11.32689823149423,-0.030481729084107734
repeat,7,Processing speed,domain_group_ridge,71,14.157891281682897,11.687346518668182,-0.09461627941576234
repeat,8,Processing speed,mean_baseline,71,13.61342729644653,11.19356886935649,-0.01204473364517833
repeat,8,Processing speed,domain_group_ridge,71,13.561892484255422,10.957581028964787,-0.004396870327886937
repeat,9,Processing speed,mean_baseline,71,13.645384811893717,11.12448815701225,-0.016801860036765648
repeat,9,Processing speed,domain_group_ridge,71,13.373649986489129,10.939112905058465,0.023292186329723408
repeat,10,Processing speed,mean_baseline,71,13.651600176105383,11.22019838328215,-0.01772836130972899
repeat,10,Processing speed,domain_group_ridge,71,14.274118479356495,11.37711508440056,-0.11266224326334595
repeat,11,Processing speed,mean_baseline,71,13.658922280778741,11.207864732253167,-0.01882038157550525
repeat,11,Processing speed,domain_group_ridge,71,13.277251804554533,10.771013559196698,0.03732179343057551
repeat,12,Processing speed,mean_baseline,71,13.70023243941097,11.26984935931378,-0.024992358515764312
repeat,12,Processing speed,domain_group_ridge,71,13.73411034792015,11.148543448598133,-0.030067824345564542
repeat,13,Processing speed,mean_baseline,71,13.704035361069987,11.320855836775037,-0.02556147391698138
repeat,13,Processing speed,domain_group_ridge,71,14.019478838791228,11.224967035310803,-0.07331820466093752
repeat,14,Processing speed,mean_baseline,71,13.65655439585959,11.257625136785624,-0.018467170647375797
repeat,14,Processing speed,domain_group_ridge,71,14.20099024247717,11.401635892971397,-0.10129080886309083
repeat,15,Processing speed,mean_baseline,71,13.984610396829764,11.449730841187474,-0.06798585338262986
repeat,15,Processing speed,domain_group_ridge,71,14.518865641683341,11.604531566067452,-0.15114525910711674
repeat,16,Processing speed,mean_baseline,71,13.540049416417943,11.090617388541778,-0.00116407059794299
repeat,16,Processing speed,domain_group_ridge,71,13.330680622464097,10.98211559652551,0.029558402581679077
repeat,17,Processing speed,mean_baseline,71,13.991750570365836,11.438252320943201,-0.06907670265580745
repeat,17,Processing speed,domain_group_ridge,71,14.475898860314588,11.373517703926975,-0.1443419976079714
repeat,18,Processing speed,mean_baseline,71,13.932478851172345,11.36567210279219,-0.06003826267671486
repeat,18,Processing speed,domain_group_ridge,71,13.998383718028865,11.209684223093955,-0.07009058930461154
repeat,19,Processing speed,mean_baseline,71,13.663103750723442,11.243952751597305,-0.0194442695821051
repeat,19,Processing speed,domain_group_ridge,71,13.744742353302161,11.310103588438546,-0.031663257234440634
repeat,20,Processing speed,mean_baseline,71,13.609849560374073,11.178165484132867,-0.011512853894722674
repeat,20,Processing speed,domain_group_ridge,71,13.645845450074463,11.198947976477259,-0.016870511184555737
