repeat,fold,feature_scope,term_name,coefficient,ridge_alpha
1,1,primary_37,app_foreground_event_count,0.09827047863027312,621.0169418915616
1,1,primary_37,app_use_diversity,0.10150206818775251,621.0169418915616
1,1,primary_37,unique_foreground_apps,0.06168092815361411,621.0169418915616
1,1,primary_37,gsm_cell_transition_count,-0.011001332478987838,621.0169418915616
1,1,primary_37,unique_gsm_cell_count,-0.01868986006814828,621.0169418915616
1,1,primary_37,unique_gsm_lac_count,-0.05608169224203141,621.0169418915616
1,1,primary_37,keyboard_deletion_event_count,0.05513662889935929,621.0169418915616
1,1,primary_37,keyboard_inter_event_interval_iqr_ms,-0.01937125302893597,621.0169418915616
1,1,primary_37,keyboard_long_pause_count_2s,0.03823867160790101,621.0169418915616
1,1,primary_37,keyboard_median_inter_event_interval_ms,-0.013231331342972923,621.0169418915616
1,1,primary_37,keyboard_typing_burst_count,0.03857015264202111,621.0169418915616
1,1,primary_37,message_distinct_event_count,-0.018840632547397457,621.0169418915616
1,1,primary_37,outgoing_message_count,0.05695782052337899,621.0169418915616
1,1,primary_37,activity_active_hour_count,-0.02982002978878582,621.0169418915616
1,1,primary_37,activity_state_diversity,0.01561906084116968,621.0169418915616
1,1,primary_37,activity_still_fraction,-0.011930992184698702,621.0169418915616
1,1,primary_37,activity_transition_count,-0.0695134826006383,621.0169418915616
1,1,primary_37,activity_unknown_fraction,0.027695268981815867,621.0169418915616
1,1,primary_37,median_unlocked_session_duration_seconds,0.006704421585638574,621.0169418915616
1,1,primary_37,night_screen_event_count,-0.05582236729154379,621.0169418915616
1,1,primary_37,screen_active_hour_count,-0.007356794779556286,621.0169418915616
1,1,primary_37,screen_event_count,0.08946403967577835,621.0169418915616
1,1,primary_37,screen_off_event_count,0.07275062096531415,621.0169418915616
1,1,primary_37,screen_on_event_count,0.09906219484080457,621.0169418915616
1,1,primary_37,screen_transition_count,-0.0246933778503923,621.0169418915616
1,1,primary_37,screen_unlock_event_count,0.1442293844267227,621.0169418915616
1,1,primary_37,telephony_event_count,0.03840173302429529,621.0169418915616
1,1,primary_37,telephony_mobile_data_enabled_fraction,-0.24121205503242318,621.0169418915616
1,1,primary_37,telephony_network_type_diversity,0.05229679957076774,621.0169418915616
1,1,primary_37,touch_active_hour_count,0.044436708401950735,621.0169418915616
1,1,primary_37,touch_app_diversity,-0.048740221671667736,621.0169418915616
1,1,primary_37,touch_click_event_count,0.05942984974515177,621.0169418915616
1,1,primary_37,touch_distinct_event_count,0.056086610363240114,621.0169418915616
1,1,primary_37,touch_scroll_direction_change_count,0.043378053642258774,621.0169418915616
1,1,primary_37,touch_scroll_event_count,0.050321592420948524,621.0169418915616
1,1,primary_37,touch_scroll_index_change_median,0.05195462965471666,621.0169418915616
1,1,primary_37,touch_unique_app_count,0.008190808256243586,621.0169418915616
1,1,primary_37,missingindicator_app_foreground_event_count,-0.010630252504351723,621.0169418915616
1,1,primary_37,missingindicator_app_use_diversity,-0.010630252504351723,621.0169418915616
1,1,primary_37,missingindicator_unique_foreground_apps,-0.010630252504351723,621.0169418915616
1,1,primary_37,missingindicator_gsm_cell_transition_count,0.07186798563617477,621.0169418915616
1,1,primary_37,missingindicator_unique_gsm_cell_count,0.07186798563617477,621.0169418915616
1,1,primary_37,missingindicator_unique_gsm_lac_count,0.07186798563617477,621.0169418915616
1,1,primary_37,missingindicator_keyboard_deletion_event_count,-0.066447419170977,621.0169418915616
1,1,primary_37,missingindicator_keyboard_inter_event_interval_iqr_ms,-0.066447419170977,621.0169418915616
1,1,primary_37,missingindicator_keyboard_long_pause_count_2s,-0.066447419170977,621.0169418915616
1,1,primary_37,missingindicator_keyboard_median_inter_event_interval_ms,-0.066447419170977,621.0169418915616
1,1,primary_37,missingindicator_keyboard_typing_burst_count,-0.066447419170977,621.0169418915616
1,1,primary_37,missingindicator_message_distinct_event_count,0.041991146769686474,621.0169418915616
1,1,primary_37,missingindicator_outgoing_message_count,0.041991146769686474,621.0169418915616
1,1,primary_37,missingindicator_activity_active_hour_count,0.07186798563617477,621.0169418915616
1,1,primary_37,missingindicator_activity_state_diversity,0.07186798563617477,621.0169418915616
1,1,primary_37,missingindicator_activity_still_fraction,0.07186798563617477,621.0169418915616
1,1,primary_37,missingindicator_activity_transition_count,0.07186798563617477,621.0169418915616
1,1,primary_37,missingindicator_activity_unknown_fraction,0.07186798563617477,621.0169418915616
1,1,primary_37,missingindicator_median_unlocked_session_duration_seconds,0.07186798563617477,621.0169418915616
1,1,primary_37,missingindicator_night_screen_event_count,0.09159296329245284,621.0169418915616
1,1,primary_37,missingindicator_screen_active_hour_count,0.09159296329245284,621.0169418915616
1,1,primary_37,missingindicator_screen_event_count,0.09159296329245284,621.0169418915616
1,1,primary_37,missingindicator_screen_off_event_count,0.09159296329245284,621.0169418915616
1,1,primary_37,missingindicator_screen_on_event_count,0.09159296329245284,621.0169418915616
1,1,primary_37,missingindicator_screen_transition_count,0.09159296329245284,621.0169418915616
1,1,primary_37,missingindicator_screen_unlock_event_count,0.09159296329245284,621.0169418915616
1,1,primary_37,missingindicator_telephony_event_count,0.07186798563617477,621.0169418915616
1,1,primary_37,missingindicator_telephony_mobile_data_enabled_fraction,0.07186798563617477,621.0169418915616
1,1,primary_37,missingindicator_telephony_network_type_diversity,0.07186798563617477,621.0169418915616
1,1,primary_37,missingindicator_touch_active_hour_count,-0.023003734834694346,621.0169418915616
1,1,primary_37,missingindicator_touch_app_diversity,-0.023003734834694346,621.0169418915616
1,1,primary_37,missingindicator_touch_click_event_count,-0.023003734834694346,621.0169418915616
1,1,primary_37,missingindicator_touch_distinct_event_count,-0.023003734834694346,621.0169418915616
1,1,primary_37,missingindicator_touch_scroll_direction_change_count,0.032275344355792525,621.0169418915616
1,1,primary_37,missingindicator_touch_scroll_event_count,-0.023003734834694346,621.0169418915616
1,1,primary_37,missingindicator_touch_scroll_index_change_median,0.032275344355792525,621.0169418915616
1,1,primary_37,missingindicator_touch_unique_app_count,-0.023003734834694346,621.0169418915616
