feature_scope,term_name,coefficient_mean,coefficient_sd,coefficient_median,coefficient_positive_fraction,n_outer_folds,absolute_mean_coefficient
all_available,unique_gsm_neighbor_lac_count,-0.11433359808049877,0.19753052939945723,-0.015829788638048348,0.0,100,0.11433359808049877
all_available,telephony_mobile_data_enabled_fraction,-0.1143261622418234,0.20153716732762572,-0.01633228106871245,0.0,100,0.1143261622418234
all_available,app_use_diversity,0.09732481247791482,0.15381730375498343,0.0171401463278428,1.0,100,0.09732481247791482
all_available,unique_gsm_neighbor_cell_count,-0.09387348715213095,0.1670782163120039,-0.0138397678568495,0.03,100,0.09387348715213095
all_available,outgoing_call_count,-0.06649250141463264,0.099298060822044,-0.011420960104585251,0.0,100,0.06649250141463264
all_available,app_foreground_event_count,0.061459458994801965,0.09748332737373235,0.008495642989875901,1.0,100,0.061459458994801965
all_available,call_event_count,-0.056245786030231,0.08588728861327563,-0.0090193518022188,0.0,100,0.056245786030231
all_available,screen_unlock_event_count,0.055234292308862065,0.08358525476887148,0.0090448239640563,1.0,100,0.055234292308862065
all_available,unique_foreground_apps,0.053740274978887316,0.08354622449236469,0.0100323584600138,1.0,100,0.053740274978887316
all_available,missingindicator_message_distinct_event_count,0.047039206239319106,0.07818734671726456,0.009004102758966251,1.0,100,0.047039206239319106
all_available,missingindicator_outgoing_message_count,0.047039206239319106,0.07818734671726456,0.009004102758966251,1.0,100,0.047039206239319106
all_available,missingindicator_keyboard_deletion_event_count,-0.04553077475926512,0.06794504646366077,-0.008506477172864051,0.0,100,0.04553077475926512
all_available,missingindicator_keyboard_inter_event_interval_iqr_ms,-0.04553077475926512,0.06794504646366077,-0.008506477172864051,0.0,100,0.04553077475926512
all_available,missingindicator_keyboard_long_pause_count_2s,-0.04553077475926512,0.06794504646366077,-0.008506477172864051,0.0,100,0.04553077475926512
all_available,missingindicator_keyboard_median_inter_event_interval_ms,-0.04553077475926512,0.06794504646366077,-0.008506477172864051,0.0,100,0.04553077475926512
all_available,missingindicator_keyboard_typing_burst_count,-0.04553077475926512,0.06794504646366077,-0.008506477172864051,0.0,100,0.04553077475926512
all_available,keyboard_deletion_event_count,0.041404821072733126,0.08545542784448415,0.0060761522440843,1.0,100,0.041404821072733126
all_available,night_screen_event_count,-0.04062519640335318,0.0678878210167603,-0.00976657084859245,0.04,100,0.04062519640335318
