endpoint,feature_name,source_table,patients_compared,available_24h,available_10d,coverage_24h_percent,coverage_10d_percent,coverage_change_percentage_points
T2,sensor_linear_accelerometer_active_hour_count,sensor_linear_accelerometer,61,16,16,26.23,26.23,0.0
T2,sensor_linear_accelerometer_event_count,sensor_linear_accelerometer,61,16,16,26.23,26.23,0.0
T2,sensor_linear_accelerometer_maximum_range,sensor_linear_accelerometer,61,16,16,26.23,26.23,0.0
T2,sensor_linear_accelerometer_power_ma,sensor_linear_accelerometer,61,16,16,26.23,26.23,0.0
T2,sensor_linear_accelerometer_resolution,sensor_linear_accelerometer,61,16,16,26.23,26.23,0.0
T2,significant_active_hour_count,significant,61,23,23,37.7,37.7,0.0
T2,significant_motion_transition_count,significant,61,23,23,37.7,37.7,0.0
T2,significant_moving_event_count,significant,61,23,23,37.7,37.7,0.0
T2,significant_moving_fraction,significant,61,23,23,37.7,37.7,0.0
T2,telephony_event_count,telephony,61,22,22,36.07,36.07,0.0
T2,telephony_mobile_data_enabled_fraction,telephony,61,22,22,36.07,36.07,0.0
T2,telephony_network_type_diversity,telephony,61,22,22,36.07,36.07,0.0
T2,total_call_duration_seconds,calls,61,9,9,14.75,14.75,0.0
T2,touch_active_hour_count,touch,61,1,1,1.64,1.64,0.0
T2,touch_app_diversity,touch,61,1,1,1.64,1.64,0.0
T2,touch_click_event_count,touch,61,1,1,1.64,1.64,0.0
T2,touch_distinct_event_count,touch,61,1,1,1.64,1.64,0.0
T2,touch_scroll_event_count,touch,61,1,1,1.64,1.64,0.0
T2,touch_unique_app_count,touch,61,1,1,1.64,1.64,0.0
T2,unique_bluetooth_addresses,bluetooth,61,4,4,6.56,6.56,0.0
T2,unique_foreground_apps,applications_foreground,61,22,22,36.07,36.07,0.0
T2,unique_gsm_cell_count,gsm,61,22,22,36.07,36.07,0.0
T2,unique_gsm_lac_count,gsm,61,22,22,36.07,36.07,0.0
T2,unique_gsm_neighbor_cell_count,gsm_neighbor,61,20,20,32.79,32.79,0.0
T2,unique_gsm_neighbor_lac_count,gsm_neighbor,61,1,1,1.64,1.64,0.0
T2,location_total_distance_km,locations,61,22,23,36.07,37.7,1.64
T2,touch_scroll_direction_change_count,touch,61,0,1,0.0,1.64,1.64
T2,touch_scroll_index_change_median,touch,61,0,1,0.0,1.64,1.64
T2,median_unlocked_session_duration_seconds,screen,61,8,15,13.11,24.59,11.48
