feature_scope,term_name,coefficient_mean,coefficient_sd,coefficient_median,coefficient_positive_fraction,n_outer_folds,absolute_mean_coefficient
all_available,screen_unlock_event_count,0.043073097835139025,0.061732778424982475,0.0121649932077209,1.0,100,0.043073097835139025
all_available,screen_on_event_count,0.04158645009447969,0.058444467610579164,0.011929098997095551,1.0,100,0.04158645009447969
all_available,message_distinct_event_count,0.041311680360376614,0.06911287874303482,0.01093551788968275,1.0,100,0.041311680360376614
all_available,night_screen_event_count,-0.04013736231681835,0.09517771581408055,-0.0154731638556282,0.2,100,0.04013736231681835
all_available,percent_dark_samples,0.03994343684443706,0.06072663170986389,0.01068948403628905,1.0,100,0.03994343684443706
all_available,screen_event_count,0.039452536812082106,0.05369999780179057,0.0115011356511752,1.0,100,0.039452536812082106
all_available,significant_moving_event_count,0.03811337992808836,0.06571009048997767,0.01001516846395045,0.94,100,0.03811337992808836
all_available,total_call_duration_seconds,-0.037676529079974326,0.053829374347347414,-0.01421599741658795,0.05,100,0.037676529079974326
all_available,touch_active_hour_count,0.03642387954261822,0.050482852142955864,0.0116803032013064,1.0,100,0.03642387954261822
all_available,screen_off_event_count,0.03595053872800416,0.04670329419564576,0.01085182327753565,1.0,100,0.03595053872800416
all_available,screen_transition_count,0.03504894909287605,0.0508993523021294,0.0099613752180195,1.0,100,0.03504894909287605
all_available,median_light_lux,-0.034766315395017636,0.04939449666379665,-0.011809302534176,0.01,100,0.034766315395017636
all_available,keyboard_long_pause_count_2s,0.03343602064587437,0.06386418053550084,0.00858343225586035,1.0,100,0.03343602064587437
all_available,telephony_mobile_data_enabled_fraction,-0.030530145110117392,0.04698003494457433,-0.0095422238365638,0.01,100,0.030530145110117392
all_available,call_event_count,-0.02952974035805342,0.04465477917098498,-0.0109845846763695,0.06,100,0.02952974035805342
all_available,unique_foreground_apps,0.02937681648635214,0.03639624860292461,0.0102920691884408,1.0,100,0.02937681648635214
all_available,missingindicator_night_screen_event_count,0.028381815114960438,0.03146893310222349,0.0113204846653903,1.0,100,0.028381815114960438
all_available,missingindicator_screen_active_hour_count,0.028381815114960438,0.03146893310222349,0.0113204846653903,1.0,100,0.028381815114960438
all_available,missingindicator_screen_event_count,0.028381815114960438,0.03146893310222349,0.0113204846653903,1.0,100,0.028381815114960438
all_available,missingindicator_screen_off_event_count,0.028381815114960438,0.03146893310222349,0.0113204846653903,1.0,100,0.028381815114960438
all_available,missingindicator_screen_on_event_count,0.028381815114960438,0.03146893310222349,0.0113204846653903,1.0,100,0.028381815114960438
all_available,missingindicator_screen_transition_count,0.028381815114960438,0.03146893310222349,0.0113204846653903,1.0,100,0.028381815114960438
all_available,missingindicator_screen_unlock_event_count,0.028381815114960438,0.03146893310222349,0.0113204846653903,1.0,100,0.028381815114960438
all_available,missingindicator_median_unlocked_session_duration_seconds,0.028030742295494973,0.03718193964986889,0.01001361839495625,1.0,100,0.028030742295494973
all_available,outgoing_call_count,-0.026872157179374606,0.03756821152985792,-0.011470687959295,0.05,100,0.026872157179374606
all_available,missingindicator_message_distinct_event_count,0.02584843532996159,0.03594299992675076,0.00958469997127535,1.0,100,0.02584843532996159
all_available,missingindicator_outgoing_message_count,0.02584843532996159,0.03594299992675076,0.00958469997127535,1.0,100,0.02584843532996159
all_available,missingindicator_activity_active_hour_count,0.025801019968995944,0.028831619703493006,0.0107565368864657,1.0,100,0.025801019968995944
all_available,missingindicator_activity_state_diversity,0.025801019968995944,0.028831619703493006,0.0107565368864657,1.0,100,0.025801019968995944
all_available,missingindicator_activity_still_fraction,0.025801019968995944,0.028831619703493006,0.0107565368864657,1.0,100,0.025801019968995944
all_available,missingindicator_activity_transition_count,0.025801019968995944,0.028831619703493006,0.0107565368864657,1.0,100,0.025801019968995944
all_available,missingindicator_activity_unknown_fraction,0.025801019968995944,0.028831619703493006,0.0107565368864657,1.0,100,0.025801019968995944
all_available,missingindicator_gsm_cell_transition_count,0.025801019968995944,0.028831619703493006,0.0107565368864657,1.0,100,0.025801019968995944
all_available,missingindicator_telephony_event_count,0.025801019968995944,0.028831619703493006,0.0107565368864657,1.0,100,0.025801019968995944
all_available,missingindicator_telephony_mobile_data_enabled_fraction,0.025801019968995944,0.028831619703493006,0.0107565368864657,1.0,100,0.025801019968995944
all_available,missingindicator_telephony_network_type_diversity,0.025801019968995944,0.028831619703493006,0.0107565368864657,1.0,100,0.025801019968995944
all_available,missingindicator_unique_gsm_cell_count,0.025801019968995944,0.028831619703493006,0.0107565368864657,1.0,100,0.025801019968995944
all_available,missingindicator_unique_gsm_lac_count,0.025801019968995944,0.028831619703493006,0.0107565368864657,1.0,100,0.025801019968995944
all_available,touch_unique_app_count,0.024584699773486027,0.03121385183654834,0.009563266742623,1.0,100,0.024584699773486027
all_available,keyboard_deletion_event_count,0.024348646411253706,0.05613311361269756,0.00591077399219385,0.96,100,0.024348646411253706
all_available,screen_active_hour_count,0.02354717415426733,0.03521315806477929,0.00797859020635505,1.0,100,0.02354717415426733
all_available,incoming_call_count,-0.023088929753707625,0.040688516847337215,-0.0073948638092064,0.07,100,0.023088929753707625
all_available,touch_scroll_index_change_median,0.022850476349519006,0.0366258493938381,0.00812216480351585,0.98,100,0.022850476349519006
all_available,missed_rejected_blocked_call_count,-0.022384428525731526,0.038182136702965455,-0.0074619475566674,0.13,100,0.022384428525731526
all_available,median_unlocked_session_duration_seconds,-0.022239225053379226,0.042427974572424774,-0.0057998730998005,0.05,100,0.022239225053379226
all_available,keyboard_median_word_completion_time_ms,-0.02207997282297545,0.056919349446546745,-0.006109905926990599,0.15,100,0.02207997282297545
all_available,missingindicator_keyboard_deletion_event_count,-0.021475234182351567,0.03221578920253268,-0.0072285399506154,0.0,100,0.021475234182351567
all_available,missingindicator_keyboard_inter_event_interval_iqr_ms,-0.021475234182351567,0.03221578920253268,-0.0072285399506154,0.0,100,0.021475234182351567
all_available,missingindicator_keyboard_long_pause_count_2s,-0.021475234182351567,0.03221578920253268,-0.0072285399506154,0.0,100,0.021475234182351567
all_available,missingindicator_keyboard_median_inter_event_interval_ms,-0.021475234182351567,0.03221578920253268,-0.0072285399506154,0.0,100,0.021475234182351567
all_available,missingindicator_keyboard_typing_burst_count,-0.021475234182351567,0.03221578920253268,-0.0072285399506154,0.0,100,0.021475234182351567
all_available,missingindicator_sensor_linear_accelerometer_active_hour_count,-0.021113608639001392,0.029276880562144218,-0.00765381417938385,0.01,100,0.021113608639001392
all_available,missingindicator_sensor_linear_accelerometer_event_count,-0.021113608639001392,0.029276880562144218,-0.00765381417938385,0.01,100,0.021113608639001392
all_available,missingindicator_sensor_linear_accelerometer_maximum_range,-0.021113608639001392,0.029276880562144218,-0.00765381417938385,0.01,100,0.021113608639001392
all_available,missingindicator_sensor_linear_accelerometer_power_ma,-0.021113608639001392,0.029276880562144218,-0.00765381417938385,0.01,100,0.021113608639001392
all_available,missingindicator_sensor_linear_accelerometer_resolution,-0.021113608639001392,0.029276880562144218,-0.00765381417938385,0.01,100,0.021113608639001392
all_available,keyboard_typing_burst_count,0.018653614455597642,0.04661525991676355,0.00457172294430235,0.97,100,0.018653614455597642
all_available,unique_gsm_lac_count,0.01858447416185788,0.02334188821231391,0.006737006256041201,1.0,100,0.01858447416185788
all_available,missingindicator_call_event_count,0.017790747181009724,0.03114489617513417,0.00576183709622605,0.9,100,0.017790747181009724
all_available,missingindicator_incoming_call_count,0.017790747181009724,0.03114489617513417,0.00576183709622605,0.9,100,0.017790747181009724
all_available,missingindicator_missed_rejected_blocked_call_count,0.017790747181009724,0.03114489617513417,0.00576183709622605,0.9,100,0.017790747181009724
all_available,missingindicator_outgoing_call_count,0.017790747181009724,0.03114489617513417,0.00576183709622605,0.9,100,0.017790747181009724
all_available,missingindicator_total_call_duration_seconds,0.017790747181009724,0.03114489617513417,0.00576183709622605,0.9,100,0.017790747181009724
all_available,gsm_neighbor_cell_transition_count,0.017508256940863914,0.02998730201398916,0.00444370731059485,0.98,100,0.017508256940863914
all_available,night_mean_light_lux,-0.016998494962587745,0.03054335345353488,-0.00295147063118265,0.17,100,0.016998494962587745
all_available,missingindicator_keyboard_median_word_completion_time_ms,-0.0166626444833396,0.02973050295847002,-0.0054354925858217,0.12,100,0.0166626444833396
all_available,outgoing_message_count,0.016507645843484738,0.028435321077354078,0.0051473232505814,0.8,100,0.016507645843484738
all_available,sensor_linear_accelerometer_resolution,0.01641346087905384,0.02841648529738961,0.00457734099176075,0.89,100,0.01641346087905384
all_available,activity_active_hour_count,0.016379751973017113,0.026657193956158644,0.0064855714936785,0.99,100,0.016379751973017113
all_available,app_use_diversity,0.015810548752642154,0.023189485493142762,0.007028567170271701,0.9,100,0.015810548752642154
all_available,activity_unknown_fraction,-0.01508984137129582,0.03792141408969186,-0.005409764724610751,0.12,100,0.01508984137129582
all_available,missingindicator_night_mean_light_lux,-0.013924851053536644,0.04040429509307115,-0.0024078356208043503,0.29,100,0.013924851053536644
all_available,sensor_linear_accelerometer_maximum_range,0.013879864333661425,0.02640610478590736,0.0040208679385020495,0.81,100,0.013879864333661425
all_available,touch_app_diversity,0.013281189382049472,0.032020981585924396,0.00556422386454935,0.85,100,0.013281189382049472
all_available,app_foreground_event_count,0.013279121610058137,0.02032125644183695,0.0047312935459252,0.99,100,0.013279121610058137
all_available,keyboard_inter_event_interval_iqr_ms,-0.013095164578896867,0.029699647677605804,-0.004093419075565,0.2,100,0.013095164578896867
all_available,unique_gsm_cell_count,0.01235815519839621,0.01656218539223521,0.0043995909177949,0.98,100,0.01235815519839621
all_available,missingindicator_barometer_downward_transition_count,0.010036085120697608,0.013628421059478544,0.00364916577593775,0.8,100,0.010036085120697608
all_available,missingindicator_barometer_estimated_elevation_change_m,0.010036085120697608,0.013628421059478544,0.00364916577593775,0.8,100,0.010036085120697608
all_available,missingindicator_barometer_large_vertical_shift_count,0.010036085120697608,0.013628421059478544,0.00364916577593775,0.8,100,0.010036085120697608
all_available,missingindicator_barometer_pressure_range,0.010036085120697608,0.013628421059478544,0.00364916577593775,0.8,100,0.010036085120697608
all_available,missingindicator_barometer_pressure_sd,0.010036085120697608,0.013628421059478544,0.00364916577593775,0.8,100,0.010036085120697608
all_available,missingindicator_barometer_upward_transition_count,0.010036085120697608,0.013628421059478544,0.00364916577593775,0.8,100,0.010036085120697608
