feature_scope,model,n_patients,rmse,mae,calibration_slope_actual_on_predicted,calibration_intercept,actual_predicted_correlation,actual_mean,predicted_mean
all_available,mean_baseline,81,8.636341207632528,6.878415880223172,-39.909212884717405,4006.163038757328,-0.7010286811969872,97.92962962962963,97.9281004718661
all_available,ridge,81,8.862341574456822,7.04084106542203,-2.5519995164100457,348.2379870345173,-0.29024646428289036,97.92962962962963,98.08323073548306
primary_37,mean_baseline,81,8.636341207632528,6.878415880223172,-39.909212884717405,4006.163038757328,-0.7010286811969872,97.92962962962963,97.9281004718661
primary_37,ridge,81,8.796238244168526,6.994181131874262,-0.5483131081804604,151.683135110144,-0.0951144895481742,97.92962962962963,98.03432505725016
primary_plus_adjusted,mean_baseline,81,8.636341207632528,6.878415880223172,-39.909212884717405,4006.163038757328,-0.7010286811969872,97.92962962962963,97.9281004718661
primary_plus_adjusted,ridge,81,8.74856164103179,6.975788899000137,-1.5134835014884394,246.2630992744581,-0.17142376660292127,97.92962962962963,98.00798588088308
t1_week_all_available,mean_baseline,81,8.636341207632528,6.878415880223172,-39.909212884717405,4006.163038757328,-0.7010286811969872,97.92962962962963,97.9281004718661
t1_week_all_available,ridge,81,8.982398213377916,7.1384530183030845,-1.2617410449428335,221.76432305484292,-0.22097958023212835,97.92962962962963,98.14588652842306
